Sentno	Sentence	WordCount
62	قالك زوج مزطولين يتمشو في طريق شافو واحد سرواله مثقوب مرول واحد قال صاحبه هذا باين استاذ تاع عربية قالو لاخر كيفاه عرفت قاله من فتحة ظاهرة على اخره	29
63	واحد الكافي كان يدوش عيط لمرته قالها @@Lاط@@ء @@Lاط@@ء وين راه الشومبوان قاتله راه قدامك قالها يا واحد الحابسة هاذامكتوب عليه للشعر الجاف وانا شعري راه مشمخ	27
64	قالك خطرة في وقت الإرهاب 4 صحاب واحد فيهم عمى ركبوا في مازدة باشي بغاو يفوجوا .	17
65	تفاهموا باش يوصلوا بكري وما يحبسوهمش في الباراجات أمالي تفاهموا باش كي يطيحوا في باراج يبداو يباعروا كي لكباش باش ما يحبسوهمش .	23
66	الباراج 1 طاحوا في لجندارم بداو يباعروا باع باع خلاوهم يفوتو .	12
67	الباراج 2 تع ميليتار بداو يباعروا باع باع خلاوهم يفوتوا .	11
68	الباراج 3 طاحوا في فوباراج تع الإرهاب سكتوا قاع غي لعمى ماشافش بقى يبعرر باع باع حتى ضربه صاحبه وقالوا أسكت رانا وصلنا للباطوار .	25
69	قالك خطرة هواري الدوفان كان عنده حفلة في معسكر , أيا المعسكرية قعدو يقارعوله فالبور	15
70	واحد نهار واحد عروبي عنده دراهم بشكارة بصح مشي عايش جا عنده واحد منا من وهران فاهم وقاري قاله خويا نتا عندك دراهم بص مشي عايش جيب شويا دراهم و رواح تروح معيا لوهران تشوف دنيا كي دايرة	38
71	جاب شكارة وجا عدله سقده بكوستمة رده مستيكي متأمنش أيا قعد كراله في اوتال شباب قعد يديه يحوس بيه لديسكو للبحر قلشاه أيا بطا على بوه	26
72	زيفطله بوه زيفطله مع واحد قاله قول لولدي يجي لرض لراها قاعدة غي هاكك ارواح تخدم لرض تع فلاحة و بقري و حيا جا قاله قول لبويا غي دزاير لي ما نوليلها حساب روحه راه فخارج ه	37
73	سلام و عليكم كيراك لباس فطرت غاية فطرت غاية ليوم واه غاية شا كليت كليت بوراك ببطاطا أيا بصحتك ولدي	20
74	سلام و عليكم يا خويا ضحكني قالك واحد شيباني سقساواه كيراك مع رمضان قالهم كون مشي ديك جغمة تع وضو كون راني ميت ه	24
75	قالك واحد خطرة واحد عروبي مع طريق دوبلينو كان في لاقونا 22 نهار لي خرجت قالك دار أكسيدون خرجله واحد قالهم أودي لوطو معليش مول عبايا بيضا شكون هو	29
76	قالك واحد نهار واحد مرته ماتت أيا يروح دايمن للقبر ناس حسبوه يبغيها و لا و راه مارهش قادر على فراقها كي لحقوه ناس لقاوه يقولها يا دودة مترطيش و كوليها مسكينة تشف الله يرحمها	35
77	صحا فطوركم قالك خطرة واحد شرا أديداس كبيرة عليه باش تجي قاده كي دار طول ضفاره ه	17
78	@@Lاط@@ذ قالك وحد النهار وحد المعسكري شركة قادرة هود لوهران دخل عند حانوت تع الالكتروميناجي قاله شحال هد المشينا لافي ( الة الغسيل ) ايا مول لحانوت قاللو منبيعش للمعسكريين	30
79	ايا عاود على غدوا ولا بستيل وخداخور و قاله شحال هد المشينة لافي مول حانوت قاله منبيعش للمعسكريين .	19
80	اييا عاود غدوا جا ببيريك باش ميعقلش عليه و قاله شحال هده المشينة لافي قاله مانبيعش للمعسكريين	17
81	ايا قاله كيفاش عرفتني بلي معسكري مول حانوت قاله هده فريجيدان مشي مشينا لافي	14
82	قالك واحد ليفريزون تع باتيسري يدير بانشوكولا و كرواسون يديه لواحد دوار ايا دار اكسيدون كلشي دفق في لرض جاو صحاب دوار بمطارق يقولو عقارب عقارب بصح علاع قالو عقارب باسكو بنالهم كرواسون كي عقرب	35
83	واحد نقرا سمع بلي واحد كاين واحد نقرا وخداخور يسكن فدوار قالهم و الله غير نروحو عنده نشوف هدا نقرا غادي نكمل عليه .	24
84	كي راح عنده يتمشى يتمشى هو يسكن في دوار في جبل لقا واحد شيباني قاله حمبوك هدا نقرا وين يسكن ?	21
85	داك شيباني كان رافد قرعة تع غاز رفدها وقاله يسكن لهيه قال هدا شيباني يرفد قرعة تع غاز لاخور كي يكون ولا لدوارهم .	24
86	واحد سيد عند ليكونتونار فلبور غبنوه ديوانا لراح للجامع يا ربي سلكني منهم يا ربي سلكني منهم لقا واحد يا ربي عطيني خبزة لقاه ماعندهش باش يتعشى قاله هاي كارونتميل غير خلي ربي ترونكيل	34
87	قالك واحدة شيبانية معندهاش سنين راحت عند دونتيست أيا سقساته شعال نيبان قالها ساميل 50 دينارو شعال دروص قالها فاميل 200 دينار قاتله ديرهوملي قاع نيبان	26
88	واحد فرونسي سقسا ارجيغيا قاله علا نتوما مين تهدروا دخلو هدرتنا معاكم قاله انا جامي قلتها	16
89	واحد مغندف قاضب طرف غلاصو دايره فشمس حبة غلاصو جا عنده صاحبه قاله شا راك دير قاله باغي نقضب فويت وين راهي ه	23
90	واح بغا ينتاحر قعاد يطلع فوق بنك و يقيس روحه شافه وحد راجل قاله شا راك دير قاله باغي نقيس روحي قاله الا باغي تنتحر وتقيس روحك روح طلع فوق بطيمات وقيس روحك قاله علاه راك باغيني نموت .	39
91	خطرة واحد دخل عند كوافير ايا جمع قعد يحسن كي حسنله و كمل قاله خلصني قعد يفريفي ما لقاش عنده دراهم قاله معنديش قاله أملي قعد هنا كي تتغوفل خرج	30
92	واحد شومور حطيست كان يحوس على خدمة يدور يدور دخل كزيرنة قلاهم ماخصكمش كلونيل هنا صاحبي ه لا ماخصناش صحيت	20
93	اويحي قالهم هدا شعب يبغي ياكل كل يوم ياوغرت جوع كلبك يتبعك	12
94	زعما شعب جوعه يتبع حكومة علبالها يدخل حبس خير باسكو هادي مشي هدرة و سقسوه كيفاش نتا قالو بلي عندك ألف كار هو قاله لا عندي الف و خمسمية بصح على مرتي	32
95	كيفاش مرتك عندها قالهم كيفها كيفكم مواطنة جزايرية عندها حق تدي شوف اسيدي ايا يروح واحد شعب ولا مواطن عادي مسكين و لا قليل شوف الا يعطوه و الله ما يكحل عليها وولد عباس رى يس تع حزب @@Lاط@@ًLٌ قالهم حنا رنا عايشين خير من لسويد هادا مشي مخلخل في عقله هدا مهبول	52
96	ليوم فلمسلسل مين كان مرزاق يعنق في حبيبته جداتي قاتلي صاي لقا خته قتلها واه صايي لقاها مسكين قاتلي و انا كنت حاسبة زوليخة هي لي خته	27
97	واحد سيد يموت من مرته قاتله روح شريلي بابوش كي هود للمرشي يشريلها بابوش كي جا طالع شاف طابلة تع دومينو و هو يموت على دومينو	26
98	و مرته قاتله خوف مطوالش عليا عندك خمس دقايق تشريلي بابوش و تجي	13
99	و هو يموت على دومينو جا فات على حومة لقا جماعة يلعبو فدومينو دبل سيس طول ما ضربش ساعة ضرب 4 سوايع	22
100	كي يدير كي يدير شا يقول لمرته دروك بطيت كي يقولها شا دار حط ببوشة عند باب حبة من حبة و حبة ططب حلت باب قاتله هدا وين تجي و الله لجبتهم أبيي من مرشي لدار .	37
101	وحد مرا كانت حاط ولدها فوق ماريو دخلت جارتها قالتلها علاه راكي حطاته فوق مريو قالتها باش كي يطيح نسمعه	20
102	قالك واحد النهار واحد معسكري طلع لتموشنت ومشى لحانوت نتاع مواد غذائية وسقساه شعال يدير العلك ?	17
103	قاله ما نبيعش انت معسكري . عاود رجع عنده غدوا ولابس حطه .	13
104	وسقساه شعال العلك ? قاله مانبيعش نتا معسكري خرج ومن بعد رجع عنده قاله كيفا ش عرفتني بلي معسكري	19
105	قاله التموشنتي هذا ماشي علك هادا جومبو	7
106	قالك وحد الوهراني فات على حومة في معسكر باللوطو ديكابوطابل ايا المعسكريين بدبو عليه سلامات سلامات حسبوه دار أكسيدون	19
107	مين يزيد مزيود جديد عند كل فاميلية وهرانية نفرحوا و نزهاو الا كانت شيرة و لا شير لخطرش غادي ينور الدار	21
108	نعرضو قاع الغاشي كيم لحباب و جوارين ونديروا نفاس هي القصعة .	12
109	نوجدوا لهم بركوكس و ليموناد و ما تقنة حلوة و قاطو و قهوة و لتاي و نحطوهم لناس معروضين و نفوتوها بالهدرة تقصارو غي ضحك قاع ديك لعشية .	29
110	كاين لي يمد لنافسة دراهم و كاين لي يمد كادويات كل وحدة دجيب لنجمت عليه	15
111	لي فيده كل يوم عيده زعما لي عنده دايمان يشري و فرحان	12
112	لي حرثه فرد دكه جمل	5
113	بهلول وموصي	2
114	خدم يا باقي لشاقي و كول يا مستراح	8
115	خبز دار يكلو براني	4
116	جات حماتي ليوم و بغات تتحكم فيا في داري و الله الا غايا قالو ناس زمان في عشنا و ينشنا في داري و باغيا تستعمرني	25
117	@@Lاط@@ذ الي باغها قاع خلاها قاع	6
118	كرش كبيرة تتقطع	3
119	مدبوحة تعيب على مسلوخة و مقطعة شابعة ضحك	8
120	الي ما هو ليك غير يعييك	6
121	عزيزتي جزائرية واجد باش نصلح اوتوروت من غربه مغنية الى شرقه طارف ببروصادون ادا بينتيلي بلي هنا هو اهم شرط لزواج .	22
122	ردت عليه قاتله عزيزي جزايري اني واجدة باش نعاود موراك ببابيي مشوار ادا بينتلي بلي شاب جزايري ميهمهش زين شيرة و يشوف غير فعايل	24
123	اخت سناء كيراكي و كيراهم ناس وهران	7
124	راني غايا غايا ونهديلكم هدي الغنية	6
125	@@Lاط@@ذ @@Lاط@@ذ @@Lاط@@ذ داورو ها شبيبة داورو @@Lاط@@ذ @@Lاط@@ذ @@Lاط@@ذ @@Lاط@@ذ	11
126	حنا عدنا تاريخ ماشي غير هدرة في الريح	8
127	تالي فينا شيخ ما شي لبارح بدينا	7
128	لا شيعا لا لا نفيخ حنايا عدنا ساس صحيح	9
129	عمر راسك مليح و هدا العام الشوبيونا	7
130	و هايا هايا داورو هاشبيبة داورو	6
131	وهايا هايا وفكرونا بيام زمان	5
132	وهايا هايا عيطو لصوارا يصورو	5
133	وهايا هايا قولنالكم فور و مزال	6
134	عدنا جمهور مريض في الستاد روبلة مهبولة	7
135	نحبس ولا نزيد ولا سايي بركانا	6
136	ماعدناش الفيد ومافيناش الي يتبلى	5
137	كيتنود تحسب عيد تقول نتا برشلونا	6
138	الا ربحنا دزاقات تتخبل قاع الحية	6
139	الروبلة و علامات وشا نحكيلك يا خويا	7
140	النار عليها قدات هي ممو عينيا	6
141	حنايا اولوفات ساكنتنا هذي الجنية	5
142	عمر راسك مليح و هدا العام الشوبيونا	7
143	. ايا من بعد ايا	5
144	ا ربي سيدي عييت بزاف انا والله الشكوة لربي منعرت علاش دارو الليسي ? لوكان غير تضرب الزنزلة مشي خير ? وقاع الكوليجات يطيحو ?	25
145	ختي مدينة جديدة حتى واحد ما راحلها انا رحتلها قبل رمضان بغيت نطرطق الغاشي بزاف	15
146	وليزاقريصيون ما تلبسي ني ذهب ني والو وما تبينيش بورطابل تاعك وشوفي ايالا يخونوك	14
147	هوما ليجون يغريسوك ايلا شافوك تبيني في دوك الخواتم والمسايس وراكي عارفة بصح لا ماكان غير الخير ان شالله	19
148	وي سعاد شركي دايرة فيها كاش عيد ? يا ودي العيد راه غير هو انا شريت سروال جينز و 2 تع لي بودي شابين باقيلي غي الصباط غادي نطلع للبلاد ولا لشوبو باه نشري شا قلتي راهم غاليين ولا لا ?	41
149	شويا راهم غاليين نتي ساومي و شوفي متحصيش تطيحي في حاجة شابة عينك هي ميزانك	15
150	ليوم ديك دليلة قبلت تتزوج بواحد ديجا متزوج و قابلة بلي شرع حلل ربعة بصح كون رجلها يبغي يتزوج عليها تقوله شرع تعرفوه غير فنسا شاولا تتزوج عليا غير هادي لي متصراش ارواح نتا وفهم	35
151	سمحيلي ختي باغي نسقسيك هدي هي جامعة تع علوم و تكنولوجيا ايسطو واه هدي هي جامعة حاجة .	18
152	و الله كبيرة مصباح راني ندور هنا عند جامعة نسقسي هكا مكانش قاع لي بغا يقولي سيرتو شيرات لي نقولها مسكينة تحشم هكا و انا نخاف	26
153	لا مفيها والو مكانش مشكل سقسيت جامعة هايلا جامعة	9
154	تع شا غادي يخرجوا منها هاد جامعة غير مخاخ باينة غادي تخرجي حاجا كبيرة نتيا .	16
155	خويا نتا باغي تهدر مراكش باغي تسقسي . مشي تليفون راه يصوني لا ? لا خويا معنديش تليفون . انا قلت حس تع تليفون صحا باغي نسقسيك ما دايرين لكمش ترونسوبور هنا	32
156	علاه تخمم علينا نتا دروك راني نسقسي هدا مكان ما فيه والو ايا صفا و الله كبيرة جامعة هنا . ما صبت ما نهدر .	25
157	علابلك من وين راني جاي .	6
158	خصك حاجة . ما خصني والو خصني نتيا بصراحة .	10
159	أنا ?	2
160	واه و الله عجبتيني ناس ملاح عاقلة	7
161	يسلمك .	2
162	قيساش تخرجي هاد وقت اه	5
163	خويا شا راك تحوس اقزكتمون .	6
164	ما راني نحوس والو بصراحة مادام مكان ني غاشي ني والو أنا و الله غي نقولهالك علبالك بلي انا سماطة انا سامط ه راكي تضحكي باينة بنت حلال و الله	30
165	يسلمك .	2
166	بصح مسرارة .	3
167	خويا معندك ما تخدم أنا كنت نقرا و دروك راني رايحة لدار .	13
168	انا تاني كنت نخدم و راني جاي عندك هنايا . علبالك باي اني قريب واحد شهر راني نجي هنا .	20
169	شهر ?	2
170	مشتنيش قاع مشتنيش ?	4
171	لا جامي .	3
172	انا و الله لكنت متمني نقرى هنا . كون قريت هنا شا كنت تقارع .	15
173	ها قراية قراية قراية نقابلو رزق و لا قراية . تقارعي ترولي ?	13
174	راني نقارع ترونسبور تع جامعة .	6
175	ادا مجابوهش براس شبانية نطير لسما و نجيبلك لوطو و نجيبها شابة على خطرك مكانش فيها هدرة .	18
176	مقلقة ? نقارع معك .	5
177	معليش مداري نقارع وحدي	4
178	يا أنا سامط واه لا سامط نقعد هنا .	9
179	لا مكانش بروبلام نقارع وحدي .	6
180	لا معليش . وين تسكني ? تسكني هنا فوهران . راكي مهودة للافيل ? معندكش حبة علك ?	18
181	أنت راك باغي تهدر و انا معنديش وقت راسي راه دارني مل قراية .	14
182	صحا قولي ختي سمحيلي الله يرحم شوابين سمحيلي .	9
183	واه	1
184	باغي غدوة نشاء اللع نعرضك فطور .	7
185	انشاء الله	2
186	يا قالت انشاء الله املي سير ? أيا غدوة نشاء الله على 4 راني هنا .	16
187	صحا فطوركم . فوهران فصيف فرح و زواج هادي مواكل هدا هاراج و عرس هرس يا لوكان مجاش فيه زغاريت	20
188	و فخريف شيعة زواج على حواج ها رواح نقولك ادا بغيت تكسب اكسب ارض كبيرة نهار صبا تغنيك و لا بغيت تتزوج تزوج مع مرا كبيرة نهار لي تغرق دبر عليك و عازب الا عوج بغا زواج .	38
189	ا حزيم ?	3
190	اه حميد طلع خويا طلع	5
191	صباح خير سي حزيم او خويا و الله لراك عاجبني و الله راك منور راك تشعل يادر حزيم خويا ديك قضية . تاعش هاد قضية ?	26
192	كيفاش تاعش هاد قضية راك باغي تقرقجني و لا هداك باب لي قتلك قصدهلي حزيم خويا .	17
193	اه باب لكحل هداك تع فيلة تع 2 اتاج . اه صحا . لي مقابلة بوشطة صغيرة ياك ? قهوك تحت . واه صايي .	25
194	هديك تع ولد حاج عكرمي واه . هداك حبيبي روح فروح قرا معايا و كبر معايا و لعبنا فرحبا يا حصراه دنيا ياه . بصح سياما حميد خويا ليقلك دراهم كبار تماك واه ليق شكارة تاع دراهم .	38
195	ليق شكارة ! ! تسما راك باغيني نقعد كورة ? لا دار لا دوار هاو غايا هكا .	18
196	انا قليل ما تومرت اه حزيم خويا قليل ما شفت غي تمارة انا كنت نطير تعقل شفتني ب 404 باشي معمرة لفت مدورها فحومة و نتا داخلها تضحك عليا .	30
197	فوتها للدار سناديق صناديق قاع لافمي موبيليزي اه حاي عليا بن عودا دور ثلث أيام باقية للعيد فوتناها نو د كوكو صاشيات صاشيات في لابستي و خلصنا دراهم و دراهم راهم عندك . وي .	35
198	نزيد نقولك ? نعطيك تالية أمن و لا بوكلي حواجبك . ديت عليا صبادون في شهر رمضان ولا لا ? واه .	22
199	حاجا فور اه ? حاجة تري بنينة ? سيرتو مدبل و لا سينيي خضر فوق نار و دمر اه خويا مرمد بفرينة حاجة مامي حاجة تفوت وحدها سيرتو اون صوص تومات	31
200	اون صي غيقالي .	4
201	ياك اون صي غيقالي ? هداك دوفان . هداك فليبر . صشيات صشيات . مورصويات مورصويات . دمر لبني عمك في لابستي .	23
202	هاك غاشي كولا عليا و نباع . و دراهمه راهم عندك نتا وي . حميد بيان كوستيمي بابيون الله الله و روايح غي ساتيم سونس و ويتايم سونس و كورتاج يا خويا هادي مبلقة هادي بهلولة هادي عقونة هادي واوا كي يحضروا كلاكسون يا خويا تشالي .	47
203	موراها جماعي معمر بناس يزهو داها داها بسيف على يماها . بصح لا ليقلك شكارة .	16
204	يا ودي يا حميد علاه ما تشوفش مرا قليلة على حسابك ? تكون مرا و نص كي تتزوج و نص يطير تبقى غير مرا كل صبع بصنعة	27
205	كل صبح ديلك بغرير بقهوة و عشية تدلك مطلوع و صبحية داربة فونارة عمش هاك صابح في وجها هكا نتا تقول واو غادي تاكلني مع صباح .	27
206	لا لا مانيش باغي هكدا . راني باغي زين و عوين . وي و حيا واقفة و شوفو دون لو فون @@Lاط@@دَنس @@Lاط@@لe @@Lاط@@ثeنت . حيا فور . باغي رقبة كي طرنيش صافية و وجه مراية لاقي لاقي ها ربي لاقي نار اشواقي في بنت عكرمي . اه مطلوعة .	50
207	اه مطلوعة معليش الي فات على كلمة فات على روح . علبالي بلي راح مدمر .	16
208	ما راني لا مدمر لا نزمر , دراهمي دروك نديهم قاع مدوخنيش .	13
209	اه سمع حميد تكشف فيا قدام غاشي صباح الله . ما تقولي لا نكشفك لا والو . نهبلك و الله ما رها فارية درك براس ما عزيزة مراها فارية قاع حق رسول الله .	34
210	اه سمع براس ما نكشف عند جوارين يوم اه تراتقي متحشمش . دراهمس دايهم دايهم .	16
211	اه تراتقي انيا ? شوف روح تشكي متديش دراهمك تروح و لا متروحش دروك . اه و الله ما راهي فارية اه صحا كل شوفة مخلوفة .	27
212	وحدة متسعفش مها جات خارجة مدارمها قالتلها اه محنطة وين راكي غادية قالتلها متحوسيش عليا جات مها قالتلها اه راكي كيما هكا و الله غي قد ما يجي خوك نحرشه فيك يمحطك ردت عليها و قالتلها دزي معاهم ردخت باب دارت رايها وخرجت	43
213	كي ولت عشية لقات خوها يقرعلها طاح فيها بلبونيات حتى نغلها من هداك نهار ولت تساعف وتسقمت و قالتلهم منزيدش نعاود عمر دواد ما يعاود يعطيه حبة فمراود .	29
214	انا حكاية قرايتي فاردن وحدها غادي نحكيلكم كي مدولي لابوغس للأردن .	12
215	انا كنت كملت قرايتي و مسوتنيا و مكملا ماستير تاعي و كنت نخدم اسيستونس كوماخسيال فوحد سونتخ كوماغسيال	18
216	خدامة عادي من بعد خدمت في جمعية في بروجي و كنتانا انيماتريس مام ندير بيلو و نخدم كومينيكسيون في جمعية .	21
217	وحد خطرة نشوف في فيس بوك فقروب تع جامعة يحوسو عليا و يرسلولي فلي ميساج بلي جامعة راها تحوس عليك و لي يعرفها يقوللها تجي للجامعة ايرجون	27
218	ايا لقيت ميساج تع سكريتار قالي ارواحي عندك بورس قتله ايه لابورس صاي ديتها معلي انا ديجا كان عندي مشكل في لابورس تالية مدخلتنيش	24
219	ايا مديتهاش قاع حتى قالي شا راكي تقولي عندك بورس ليترونجي للاردن ايا طرت بفرحة و رايحة للجامعة نشوف باسكو مأمنتش حتى وصلت	23
220	قالولي بلي كلاسيتي لولا ماجور دبرومو و راه عندك بورس بصحتك و عندك دوصي لايميه و دفعيه .	18
