"source_uid"	"source_id"	"source_locator"	"sentno"	"arabic_original"	"word_count"	"source_file"	"license_id"	"source_status"	"darija_provenance"	"enrichment_state"
"madoran-s6-sentno-0013"	"S6"	"MADOran_Sentences.tsv#Sentno=13"	"13"	"يا مسكينة تروح أبيي على كرعيك أيا قالي هودت بلوطو رفدتها قالي دخلتني في وحد شجر هاكا فلخلا قالي عندها دار فلخلا . مسكينة دخل جبرها وحدها مسكينة عايشة وحدها تسكن وحدها"	"32"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0014"	"S6"	"MADOran_Sentences.tsv#Sentno=14"	"14"	"أيا قالي قلتلها شاندير لك قالي قاتلي بارك الله فيك و قعدت تديعلي في دعوة خير"	"16"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0015"	"S6"	"MADOran_Sentences.tsv#Sentno=15"	"15"	"وليت قالي كي وليت مشيت لدار دخلت قعدت نخمم قعدت نخمم نخمم"	"12"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0016"	"S6"	"MADOran_Sentences.tsv#Sentno=16"	"16"	"قلت أنا مسكينة هادي مرا وحدها و كل شي علاه من غدوة نروح نجيبها"	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0017"	"S6"	"MADOran_Sentences.tsv#Sentno=17"	"17"	"و شفاته شفتني قالي شفتني قلت أنا ندي دعوة خير منها وكلش"	"12"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0018"	"S6"	"MADOran_Sentences.tsv#Sentno=18"	"18"	"قالي غدوة روحت قضبت لوطو روحت عندها قلتلها ياضرا شا قلتي كون تجي عندي"	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0019"	"S6"	"MADOran_Sentences.tsv#Sentno=19"	"19"	"قاتله كيما تبغي قالها معندك حتى ماليك قاتله ما عندي حتى ماليا لا فاميليا لا والو قالي رفدتها وديتها لدار عند ما وبويا"	"23"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0020"	"S6"	"MADOran_Sentences.tsv#Sentno=20"	"20"	"قالي كي ديتها عند ما وبويا . قالوله وهاد شبانيا قالهم هاذي مسكينة شيبانيا عايشة وحدها باغي نجيبها هنايا تعيش معانا مبغاوش ."	"23"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0021"	"S6"	"MADOran_Sentences.tsv#Sentno=21"	"21"	"مبغاوش ناضولي يزعفوا بويا قالي غي هادي لي مديرهاش قاله غي هادي"	"12"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0022"	"S6"	"MADOran_Sentences.tsv#Sentno=22"	"22"	"قتله مسكينة كي دير وعايشة وحدها خليها أنا نتحمل مسؤولية قاله لا كون تخليها غدوة لابوليس يقولوا لك بلي خطفتها و لا حاجة لازم تعلم تحصل لازم ديكلاري"	"28"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0023"	"S6"	"MADOran_Sentences.tsv#Sentno=23"	"23"	"قالي رحت عند جدارميا و قلتلهم بلي هاد مخلوقة باغي نديها و معندها حتى حد مسكينة"	"16"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0024"	"S6"	"MADOran_Sentences.tsv#Sentno=24"	"24"	"قالوله شوف قالوله ليق حتى نديرولك وحد ورقة باش تقبل الا قبلوا الدولة و الحكومة قبلت عاد نخلوك تخليها تعيش عندك"	"21"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0025"	"S6"	"MADOran_Sentences.tsv#Sentno=25"	"25"	"قالوله بصح بشرط الا تقبل تهالى فيها و توكلها قالي قتلهم أني قابل ."	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0026"	"S6"	"MADOran_Sentences.tsv#Sentno=26"	"26"	"داروله قالي دارولي ديك ورقة و جبتها جبتها لدار قالي قعدت تاكل و تشرب و تدعيلي دعوة خير قالي حمد الله ."	"22"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0027"	"S6"	"MADOran_Sentences.tsv#Sentno=27"	"27"	"غي هو وياها ?"	"4"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0028"	"S6"	"MADOran_Sentences.tsv#Sentno=28"	"28"	"واه . هو مع بوه و ماه . اه صحا ."	"11"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0029"	"S6"	"MADOran_Sentences.tsv#Sentno=29"	"29"	"قالوله الا تجيب ورقة خليها . بوه قاله الا تجيب ورقة صحا الا ما تجيبش ورقة ما تخليهاش ."	"19"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0030"	"S6"	"MADOran_Sentences.tsv#Sentno=30"	"30"	"قالي جبت ورقة قالي بويا كي جبت ورقة قبل . قالي فرحت قالي مسكينة هادي كل يوم ولات ما تديها لحمام و تلبسها و تهلا فيها و كل شي فرحت بزاف ولات تدعي غير دعوة خير ."	"37"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0031"	"S6"	"MADOran_Sentences.tsv#Sentno=31"	"31"	"قالي قلت أنا راهي هنايا و كل شي علاه منديرش دوسيي تع سكنة بلاك يعطوها سكنة و نعيش معها وأنا تاني نروح نتزوج و كلش"	"25"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0032"	"S6"	"MADOran_Sentences.tsv#Sentno=32"	"32"	". دار ضوسيي تاع سكنة قالهم أنا أني مع شبانية و عندي بويا و ما و راني لا سكنة لا والو و هاد شبانية مخلوقة مسكينة معندهاش تا حد عطوها سكنة ."	"32"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0033"	"S6"	"MADOran_Sentences.tsv#Sentno=33"	"33"	"داروا لونكات جاب ربي بقدرة الله و دعوة خير عطاوها سكنة سبحان الله ."	"14"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0034"	"S6"	"MADOran_Sentences.tsv#Sentno=34"	"34"	"كي عطاوها سكنة جيت فرحان قلتلها شوفي يا شبانية راهم عطاوك سكنة ."	"13"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0035"	"S6"	"MADOran_Sentences.tsv#Sentno=35"	"35"	"قتله شوف يا وليدي قاتله سكنة كون ديرها على اسمي غدوا كاش حاجة ينوضوا واحد ينوض من فاميلتي و يدوهالك السكنة ديرها على اسمك مديرهاش على اسمي و رانا فيرحبا"	"30"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0036"	"S6"	"MADOran_Sentences.tsv#Sentno=36"	"36"	"قالي روحت عند هادك شاف تاعهم جريت شوي جريت شوي داروها على اسمي أيوا و عطاوها سكنة و روحنا سكنا و قعدنا أنا وياها ."	"25"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0037"	"S6"	"MADOran_Sentences.tsv#Sentno=37"	"37"	"دور ما دور ليام . عندها زوج خوتاتها قاع معلبالهومش بها نهار لي سمعوا بها قاع ما بنوش نهار لي سمعوا بلي دات سكنة و يجو . جاو يجروا كي جاو يجروا ."	"33"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0038"	"S6"	"MADOran_Sentences.tsv#Sentno=38"	"38"	"جاو يطبطبوا سكسوا يطبطبوا قالوله هنايا فلانة قالولها هنا فلانة ."	"11"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0039"	"S6"	"MADOran_Sentences.tsv#Sentno=39"	"39"	"هو كي شافهم قالهم شكون ? حنا خواتتها قال أنا شاندير خواتتها مابغيتش نقعد كاين كلام بينتهم شادرت درت تليفون بوات فوكال و حطيته و خرجت يسجل الهدرة وهوما معلبالهومش ."	"31"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0040"	"S6"	"MADOran_Sentences.tsv#Sentno=40"	"40"	"اه خواتتها حسبوا بلي ما كان تا واحد صايي كي خرج صايي ."	"13"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0041"	"S6"	"MADOran_Sentences.tsv#Sentno=41"	"41"	"كاين غي هوما و هي . أيا قالولها شوفي قالولها سكنة حرزي يديهالك سكنة رديها على اسمنا . . شوطنوها واه قعدوا يقولولها . ."	"25"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0042"	"S6"	"MADOran_Sentences.tsv#Sentno=42"	"42"	"هدا دار بيك و جابك بلعاني غير باش يديلك سكنة جابك و عطاوك سكنة و دروك يحوس يديلك سكنة ."	"20"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0043"	"S6"	"MADOran_Sentences.tsv#Sentno=43"	"43"	"قالولها أنا نقولك رودي سكنة على اسمنا و خطاك شي و حنا نتهلو فيك و حنا مكان حتى مشكل ."	"20"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0044"	"S6"	"MADOran_Sentences.tsv#Sentno=44"	"44"	"أيا قالي دربت و حد ساعة و لا ساعتين و جيت كي جيت دخلت يادرا كيراكم غايا لاباس ?"	"19"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0045"	"S6"	"MADOran_Sentences.tsv#Sentno=45"	"45"	"لاباس حمد الله قلي روحت لتليفون و ضربتلهم بوات فوكال و قلتلهم باغي نسمع هدرة شا هدرتو دار هاكا أيا هدرة قاع شا هدروا سجلها أيا نوضوا خرجوا و مليوم متجوش هاد دار ."	"34"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0046"	"S6"	"MADOran_Sentences.tsv#Sentno=46"	"46"	"عطاوها قعدت أنا و شبانية قاتله ها وليدي قاتله شوف ماكنش راجل كيفك فدنيا هادي نتا عليك دعوة خير و ولد فاميليا و أنيا غادي مام كي نموت ندعيلك غي دعوة خير راك دايها"	"34"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0047"	"S6"	"MADOran_Sentences.tsv#Sentno=47"	"47"	"و سكنة مزية درتها على اسمك خاطش كون درتها على اسمي كانو هادو يديروا شالا بال و يدوهالك . يا سبحان الله ."	"23"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0048"	"S6"	"MADOran_Sentences.tsv#Sentno=48"	"48"	"واه أيا قالي فرحت و عليها روحت تلاقيت بنت فاميليا و تزوجت و راه عندي مرا و عندي بنت و حمد لله"	"22"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0049"	"S6"	"MADOran_Sentences.tsv#Sentno=49"	"49"	"و هي مازال راها عايشة معاه ? و هي مازال عايشة معايا و راني متهلي فيها و مخصها والو ."	"20"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0050"	"S6"	"MADOran_Sentences.tsv#Sentno=50"	"50"	"يا سبحان الله القدرة كي دايرا جيت أنا قتله و الله شوف ديرها زينة تلقاها زينة و هادا ربي راه اللي راه يسير فيها ."	"25"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0051"	"S6"	"MADOran_Sentences.tsv#Sentno=51"	"51"	"أيا عليها أنا بعت لوطو و قتله أيا تبقى على خير قالي مسكين بون قالي مين بعتها ارجى ارجى باش تخرج ارجى دوك نحلك طريق ."	"26"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0052"	"S6"	"MADOran_Sentences.tsv#Sentno=52"	"52"	"قال لوحدين حمبوك وخروا وخروا هادا راه باع لوطو باغي يخرج ."	"12"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0053"	"S6"	"MADOran_Sentences.tsv#Sentno=53"	"53"	"خاطش كانت عاد 11 خاطش حتى 12 يكمونصوا يخرجوا ."	"10"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0054"	"S6"	"MADOran_Sentences.tsv#Sentno=54"	"54"	"مسكين الله يكثر خيره وخلي زوج لواطا دالي طريق"	"9"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0055"	"S6"	"MADOran_Sentences.tsv#Sentno=55"	"55"	"قظبت طريق 11.30 جيت خارج من سوق تلاقيت بهادوك لي يبيعوا دلاع و بتيخ شريت حبة دلاع و جيت لحقت على 12.30 و لا صليت جمعة و رقدت غاية ."	"30"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0056"	"S6"	"MADOran_Sentences.tsv#Sentno=56"	"56"	"بصح سيحان الله ايستواغ كي دايرة ."	"7"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0057"	"S6"	"MADOran_Sentences.tsv#Sentno=57"	"57"	"كي كنا صغار كنا نشوفو سندريلا تخرج نص الليل كابتن ماجد يزرطي من لقراية باه يلعب ماتش و روبن هود خاين نتفرجوه طارزن ديما عريان و الأميرة نايمة خاصها سلمة باش تنوض و يقولك كبرنا مسوفجين ه"	"37"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0058"	"S6"	"MADOran_Sentences.tsv#Sentno=58"	"58"	"واحد خطرة كوبل كان فلبحر أيا قال لخطيبته قالها تعرفي قمر شعال بعيد قالتله واه قالها ريحة كرعيك راها واصلة لتم"	"21"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0059"	"S6"	"MADOran_Sentences.tsv#Sentno=59"	"59"	"قالك واحد نهارة واحد حطيست لبس كوستيمة فور و خرج برا يتمشى دار فيها قارو نسيم فاتت عليه واحدة شابة بزاف درق قارو فجيب و هو شاعل المهم شعلت فيه نار جات عنده قالتله خويا راك تشعل معنتها راها شاعلة فيك نار ."	"43"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0060"	"S6"	"MADOran_Sentences.tsv#Sentno=60"	"60"	"قالها خوك دايمن يشعل حسب قالتله راك تشعل بزين"	"9"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0061"	"S6"	"MADOran_Sentences.tsv#Sentno=61"	"61"	"زوج تزوجوا و ابري 20 عام زواج مرا حملت رفدت بكرش ما تفاهموش هو يقولها نسميه خير الدين و هي تقوله نسموه خير الله المهم كي ولدت بيبي خرج صغير سماوه خير من والوه ."	"35"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0062"	"S6"	"MADOran_Sentences.tsv#Sentno=62"	"62"	"قالك زوج مزطولين يتمشو في طريق شافو واحد سرواله مثقوب مرول واحد قال صاحبه هذا باين استاذ تاع عربية قالو لاخر كيفاه عرفت قاله من فتحة ظاهرة على اخره"	"29"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0063"	"S6"	"MADOran_Sentences.tsv#Sentno=63"	"63"	"واحد الكافي كان يدوش عيط لمرته قالها @@Lاط@@ء @@Lاط@@ء وين راه الشومبوان قاتله راه قدامك قالها يا واحد الحابسة هاذامكتوب عليه للشعر الجاف وانا شعري راه مشمخ"	"27"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0064"	"S6"	"MADOran_Sentences.tsv#Sentno=64"	"64"	"قالك خطرة في وقت الإرهاب 4 صحاب واحد فيهم عمى ركبوا في مازدة باشي بغاو يفوجوا ."	"17"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0065"	"S6"	"MADOran_Sentences.tsv#Sentno=65"	"65"	"تفاهموا باش يوصلوا بكري وما يحبسوهمش في الباراجات أمالي تفاهموا باش كي يطيحوا في باراج يبداو يباعروا كي لكباش باش ما يحبسوهمش ."	"23"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0066"	"S6"	"MADOran_Sentences.tsv#Sentno=66"	"66"	"الباراج 1 طاحوا في لجندارم بداو يباعروا باع باع خلاوهم يفوتو ."	"12"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0067"	"S6"	"MADOran_Sentences.tsv#Sentno=67"	"67"	"الباراج 2 تع ميليتار بداو يباعروا باع باع خلاوهم يفوتوا ."	"11"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0068"	"S6"	"MADOran_Sentences.tsv#Sentno=68"	"68"	"الباراج 3 طاحوا في فوباراج تع الإرهاب سكتوا قاع غي لعمى ماشافش بقى يبعرر باع باع حتى ضربه صاحبه وقالوا أسكت رانا وصلنا للباطوار ."	"25"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0069"	"S6"	"MADOran_Sentences.tsv#Sentno=69"	"69"	"قالك خطرة هواري الدوفان كان عنده حفلة في معسكر , أيا المعسكرية قعدو يقارعوله فالبور"	"15"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0070"	"S6"	"MADOran_Sentences.tsv#Sentno=70"	"70"	"واحد نهار واحد عروبي عنده دراهم بشكارة بصح مشي عايش جا عنده واحد منا من وهران فاهم وقاري قاله خويا نتا عندك دراهم بص مشي عايش جيب شويا دراهم و رواح تروح معيا لوهران تشوف دنيا كي دايرة"	"38"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0071"	"S6"	"MADOran_Sentences.tsv#Sentno=71"	"71"	"جاب شكارة وجا عدله سقده بكوستمة رده مستيكي متأمنش أيا قعد كراله في اوتال شباب قعد يديه يحوس بيه لديسكو للبحر قلشاه أيا بطا على بوه"	"26"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0072"	"S6"	"MADOran_Sentences.tsv#Sentno=72"	"72"	"زيفطله بوه زيفطله مع واحد قاله قول لولدي يجي لرض لراها قاعدة غي هاكك ارواح تخدم لرض تع فلاحة و بقري و حيا جا قاله قول لبويا غي دزاير لي ما نوليلها حساب روحه راه فخارج ه"	"37"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0073"	"S6"	"MADOran_Sentences.tsv#Sentno=73"	"73"	"سلام و عليكم كيراك لباس فطرت غاية فطرت غاية ليوم واه غاية شا كليت كليت بوراك ببطاطا أيا بصحتك ولدي"	"20"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0074"	"S6"	"MADOran_Sentences.tsv#Sentno=74"	"74"	"سلام و عليكم يا خويا ضحكني قالك واحد شيباني سقساواه كيراك مع رمضان قالهم كون مشي ديك جغمة تع وضو كون راني ميت ه"	"24"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0075"	"S6"	"MADOran_Sentences.tsv#Sentno=75"	"75"	"قالك واحد خطرة واحد عروبي مع طريق دوبلينو كان في لاقونا 22 نهار لي خرجت قالك دار أكسيدون خرجله واحد قالهم أودي لوطو معليش مول عبايا بيضا شكون هو"	"29"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0076"	"S6"	"MADOran_Sentences.tsv#Sentno=76"	"76"	"قالك واحد نهار واحد مرته ماتت أيا يروح دايمن للقبر ناس حسبوه يبغيها و لا و راه مارهش قادر على فراقها كي لحقوه ناس لقاوه يقولها يا دودة مترطيش و كوليها مسكينة تشف الله يرحمها"	"35"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
"madoran-s6-sentno-0077"	"S6"	"MADOran_Sentences.tsv#Sentno=77"	"77"	"صحا فطوركم قالك خطرة واحد شرا أديداس كبيرة عليه باش تجي قاده كي دار طول ضفاره ه"	"17"	"MADOran_Sentences.tsv"	"CC-BY-NC-3.0-MADORAN"	"canonical"	"source_exact"	"not_started"
