"ID"	"Sentno"	"Wordno"	"Word"	"diac"	"msa"	"Proclitic"	"Stem"	"Enclitic"	"Root"	"Pattern"	"num"	"gen"	"Sentiment"	"en_gloss"	"fr_gloss"
"35"	"3"	"9"	"تروح"	"تروح"	"رَاحَ"	"t/IV2MS"	"روح/IV"	"(null)/IVSUFF_SUBJ : 2MS"	"روح"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"go"	"partir"
"36"	"3"	"10"	"معيا"	"معيا"	"مَعي"	""	"مع/PREP"	"يا/POSS_PRON_1S"	"none"	"none"	"s"	"m"	"neutral"	""	"with_me;_avec_moi"
"37"	"3"	"11"	"لسوق"	"لسوق"	"سُوق"	"l/PREP"	"سوق/NOUN"	""	"سوق"	"فُعْل"	"s"	"m"	"neutral"	""	"market,mall;_marché,_super_marché"
"38"	"3"	"12"	"قالي"	"قالي"	"قَالَ"	""	"قال/PV"	"(null)/PV SUFF_SUBJ :3MS+ي/POSS_PRON"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"39"	"3"	"13"	"واه"	"واه"	"نعم"	""	"واه/YES_NO_RESP_PART"	""	"none"	"none"	"na"	"na"	"neutral"	"yes"	"oui"
"40"	"3"	"14"	"نروح"	"نروح"	"راحَ"	"n/IV1S"	"روح/IV"	"(null)/IVSUFF_MOOD:S"	"روح"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"go"	"partir"
"41"	"3"	"15"	"معاك"	"معاك"	"مَعَكَ"	""	"معا/PREP"	"ك/POSS_PRON_2MS"	"none"	"none"	"s"	"m"	"neutral"	"with"	"avec"
"42"	"3"	"16"	"لسوق"	"لسوق"	"سُوق"	"l/PREP"	"سوق/NOUN"	""	"سوق"	"فُعْل"	"s"	"m"	"neutral"	""	"market,mall;_marché,_super_marché"
"43"	"3"	"17"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"44"	"4"	"1"	"صباح"	"صباح"	"صَبَاح"	""	"صباح/NOUN"	""	"صبح"	"فعَال"	"s"	"m"	"neutral"	"morning"	"matin"
"45"	"4"	"2"	"بكرنا"	"أبكر"	"أَبْكَر"	""	"بكر/PV"	"(null)/PVSUFF_SUBJ:3MS"	"بكر"	"فعَل - يفعَل"	"na"	"na"	"neutral"	""	"be_the_first,wake_up_early;_se_lever_tot"
"46"	"4"	"3"	"روحنا"	"روحنا"	"رَاحَ"	""	"روح/PV"	"نا/PVSUFF_SUBJ:1P"	"روح"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"went,gone"
"47"	"4"	"4"	"انا"	"انا"	"انا"	""	"انا/PRON_1S"	""	"none"	"none"	"s"	"u"	"neutral"	"me"	"moi"
"48"	"4"	"5"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"49"	"4"	"6"	"ياه"	"ياه"	"مَعَه"	""	"يا/PREP"	"ه/PRON_3MS"	"none"	"none"	"na"	"na"	"neutral"	""	"with_him"
"50"	"4"	"7"	"في"	"في"	"فِي"	""	"في/PREP"	""	"none"	"none"	"na"	"na"	"neutral"	"in"	"dans"
"51"	"4"	"8"	"الطريق"	"الطريق"	"طَرِيق"	"Al/DET"	"طريق/NOUN"	"(null)/CASE_DEF_GEN"	"طرق"	"فَعِيل"	"s"	"m"	"neutral"	"road,_way"	"route"
"52"	"4"	"9"	"قولنا"	"قلنا"	"قَالَ"	""	"قول/PV"	"نا/PVSUFF_SUBJ:1P"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"said,told;_dire"
"53"	"4"	"10"	"نتقهوا"	"نتقهوا"	"احْتَسى"	"n/IV1P"	"تقه/IV"	"وا/IVSUFF_SUBJ:1P"	"قهو"	"تفعَل - يفعَل"	"na"	"na"	"neutral"	""	"have_coffee;_prend_café"
"54"	"4"	"11"	"ايا"	"ايا"	"ثُمَّ"	""	"ايا/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"then,afterwards,next,moreover"
"55"	"4"	"12"	"قالي"	"قالي"	"قَالَ"	""	"قال/PV"	"(null)/PV SUFF_SUBJ :3MS+ي/POSS_PRON"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"56"	"4"	"13"	"نتقهوا"	"نتقهوا"	"احْتَسى"	"n/IV1P"	"تقه/IV"	"وا/IVSUFF_SUBJ:1P"	"قهو"	"تفعَل - يفعَل"	"na"	"na"	"neutral"	""	"have_coffee;_prend_café"
"57"	"4"	"14"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"58"	"5"	"1"	"تقهوينا"	"نَ"	"احْتَسى"	""	"تقه/PV"	"وي/PVSUFF_SUBJ:1P+نا/PVSUFF_DO:1P"	"قهو"	"تفَعل-يَتفَعَل"	"na"	"na"	"neutral"	""	"have_coffee;_prend_café"
"59"	"5"	"2"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"60"	"5"	"3"	"ضربنا"	"ضربنا"	"أَكَل"	""	"ضرب/PV"	"نا/PVSUFF_SUBJ:1P"	"ضرب"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"eat;_manger"
"61"	"5"	"4"	"ميل"	"ميل"	"أَلف"	""	"ميل/FOREIGN"	""	"none"	"none"	"s"	"m"	"neutral"	""	"one_thousand;_mille"
"62"	"5"	"5"	"فاي"	"فاي"	"حلوى"	""	"فاي/FOREIGN"	""	"none"	"none"	"s"	"m"	"neutral"	""	"sweet"
"63"	"5"	"6"	"قهوة"	"قهوة"	"قَهْوَة"	""	"قهو/NOUN"	"ة/NSUFF_FEM_SG"	"قهو"	"فَعْلَة"	"s"	"f"	"neutral"	"coffee"	"café"
"64"	"5"	"7"	"حليب"	"حليب"	"حَلِيب"	""	"حليب/NOUN"	""	"حلب"	"فَعِيل"	"s"	"m"	"neutral"	"milk"	"lait"
"65"	"5"	"8"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"66"	"5"	"9"	"قضبنا"	"قضبنا"	"قَضَبَ"	""	"قضب/PV"	"نا/PVSUFF_SUBJ:1P"	"قضب"	"فعَل - يفعَل"	"na"	"na"	"neutral"	""	"take;_prend"
"67"	"5"	"10"	"الطريق"	"الطريق"	"طَرِيق"	"Al/DET"	"طريق/NOUN"	"(null)/CASE_DEF_GEN"	"طرق"	"فَعِيل"	"s"	"m"	"neutral"	"road,_way"	"route"
"68"	"5"	"11"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"69"	"6"	"1"	"كي"	"كي"	"لَمّا"	""	"كي/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	"when"	"quand"
"70"	"6"	"2"	"وصلنا"	"وصلنا"	"وَصَلَ"	""	"وصل/PV"	"نا/PVSUFF_SUBJ:1P"	"وصل"	"فعَل - يفعِل"	"sp"	"m"	"neutral"	""	"arrivé_à_;reach_at"
"71"	"6"	"3"	"لسوق"	"لسوق"	"سُوق"	"l/PREP"	"سوق/NOUN"	""	"سوق"	"فُعْل"	"s"	"m"	"neutral"	""	"market,mall;_marché,_super_marché"
"72"	"6"	"4"	"خلصنا"	"خلصنا"	"خَلَص"	""	"خلص/PV"	"نا/PVSUFF_SUBJ:1P"	"خلص"	"فعَل - يفعَل"	"na"	"na"	"neutral"	"pay"	"payer"
"73"	"6"	"5"	"ترونتميل"	"ترونتميل"	"ثلاثمائة"	""	"ترونتميل/FOREIGN"	""	"none"	"none"	"na"	"na"	"neutral"	""	"three_hundred;_trois_cent"
"74"	"6"	"6"	"قاله"	"قاله"	"قالَ"	""	"قال/PV"	"(null)/PVSUFF_SUBJ:3MS+ه/PVSUFF_DO:3MS"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"75"	"6"	"7"	"بنعمي"	"بنعمي"	"ياإلهي"	""	"بنعمي/INTERJ"	""	"none"	"none"	"na"	"na"	"neutral"	"god!"	"mon_dieu"
"76"	"6"	"8"	"ترونتميل"	"ترونتميل"	"ثلاثمائة"	""	"ترونتميل/FOREIGN"	""	"none"	"none"	"na"	"na"	"neutral"	""	"three_hundred;_trois_cent"
"77"	"6"	"9"	"بزاف"	"بزاف"	"كَثيرا"	""	"بزاف/ADV"	""	"none"	"none"	"na"	"na"	"neutral"	"a_lot"	"beaucoup"
"78"	"6"	"10"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"79"	"7"	"1"	"واه"	"واه"	"نعم"	""	"واه/YES_NO_RESP_PART"	""	"none"	"none"	"na"	"na"	"neutral"	"yes"	"oui"
"80"	"7"	"2"	"ايا"	"ايا"	"ثُمَّ"	""	"ايا/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"then,afterwards,next,moreover"
"81"	"7"	"3"	"ترونتميل"	"ترونتميل"	"ثلاثمائة"	""	"ترونتميل/FOREIGN"	""	"none"	"none"	"na"	"na"	"neutral"	""	"three_hundred;_trois_cent"
"82"	"7"	"4"	"خلصنا"	"خلصنا"	"خَلَص"	""	"خلص/PV"	"نا/PVSUFF_SUBJ:1P"	"خلص"	"فعَل - يفعَل"	"na"	"na"	"neutral"	"pay"	"payer"
"83"	"7"	"5"	","	","	"فاصلة"	""	",/PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	","
"84"	"7"	"6"	"دخلنا"	"دخلنا"	"دَخَلَ"	""	"دخل/PV"	"نا/PVSUFF_SUBJ:1P"	"دخل"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"enter"	"rentre"
"85"	"7"	"7"	"لسوق"	"لسوق"	"سُوق"	"l/PREP"	"سوق/NOUN"	""	"سوق"	"فُعْل"	"s"	"m"	"neutral"	""	"market,mall;_marché,_super_marché"
"86"	"7"	"8"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"87"	"7"	"9"	"قعدنا"	"قعدنا"	"قَعَدَ"	""	"قعد/PV"	"نا/PVSUFF_SUBJ:1P"	"قعد"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"remain"
"88"	"7"	"10"	"نقارعوا"	"نقارعوا"	"{ِنْتَظَرَ"	"n/IV1P"	"قارع/IV"	"وا/IVSUFF_SUBJ:1P"	"قرع"	"فَاعَل - يفَاعَل"	"na"	"na"	"neutral"	"wait_for"	"attendre"
"89"	"7"	"11"	"كان"	"كان"	"كَانَ"	""	"كان/PV"	"(null)/PVSUFF_SUBJ:3MS"	"كون"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"was,were"	"était,étaient"
"90"	"7"	"12"	"حال"	"حال"	"حَال"	""	"حال/NOUN_ABSTRACT"	"(null)/CASE_INDEF_(ACC_GEN)"	"حول"	"فَعْل"	"na"	"na"	"neutral"	""	"day"
"91"	"7"	"13"	"مازال"	"ما_أزال"	"مازال"	"mA/NEG_PART"	"أزال/PV"	"(null)/PVSUFF_SUBJ:3MS"	"none"	"none"	"na"	"na"	"neutral"	"still"	"encore"
"92"	"7"	"14"	"مبانش"	"مبانش"	"بَانَ"	"m/NEG_PART"	"بان/PV"	"(null)/PVSUFF_SUBJ:3MS+ش/NEG_PART"	"بين"	"فعَل - يفعَل"	"na"	"na"	"neutral"	""	"appear;_apparaitre"
"93"	"7"	"15"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"94"	"8"	"1"	"كي"	"كي"	"لَمّا"	""	"كي/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	"when"	"quand"
"95"	"8"	"2"	"بان"	"بان"	"بان"	""	"بان/PV"	"(null)/PVSUFF_SUBJ:3MS"	"بين"	"فعَل - يفعَل"	"na"	"na"	"neutral"	""	"appear;_apparaitre"
"96"	"8"	"3"	"الحال"	"الحال"	"حال"	"Al/DET"	"حال/NOUN"	""	"حول"	"فَعْل"	"s"	"m"	"neutral"	""	"day_time;_journée"
"97"	"8"	"4"	"جاو"	"جاو"	"جاء"	""	"جا/PV"	"و/PVSUFF_SUBJ:3MP"	"جيء"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"came"	"venir"
"98"	"8"	"5"	"غاشي"	"غاشي"	"ناس"	""	"غاشي/NOUN"	""	"none"	"none"	"sp"	"m"	"neutral"	"people"	"gens"
"99"	"8"	"6"	"يساومو"	"يساومو"	"ساوَم"	"y/IV3MP"	"ساوم/IV"	"و/IVSUFF_SUBJ:3MP"	"سوم"	"فاعَل - يفاعَل"	"na"	"na"	"neutral"	""	"bargain,_négocier"
"100"	"8"	"7"	"فلوطو"	"فلوطو"	"سَيّارَة"	"f/PREP"	"لوطو/NOUN"	""	"none"	"none"	"s"	"m"	"neutral"	"car"	"voiture"
"101"	"8"	"8"	"شعال"	"شعال"	"كَمْ"	""	"شعال/INTERROG_PART"	""	"none"	"none"	"na"	"na"	"neutral"	"how_many,_much"	"combien"
"102"	"8"	"9"	"عطاوك"	"عطاوك"	"أعطى"	""	"عطا/PV"	"و/PVSUFF_SUBJ:3MP+ك/PVSUFF_DO:2MS"	"عطي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"give"
"103"	"8"	"10"	"?"	"?"	"?"	""	"?/PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"?"
"104"	"8"	"11"	"شعال"	"شعال"	"كَمْ"	""	"شعال/INTERROG_PART"	""	"none"	"none"	"na"	"na"	"neutral"	"how_many,_much"	"combien"
"105"	"8"	"12"	"عطاوك"	"عطاوك"	"أعطى"	""	"عطا/PV"	"و/PVSUFF_SUBJ:3MP+ك/PVSUFF_DO:2MS"	"عطي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"give"
"106"	"8"	"13"	"?"	"?"	"?"	""	"?/PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"?"
"107"	"8"	"14"	"مازال"	"ما_أزال"	"مازال"	"mA/NEG_PART"	"أزال/PV"	"(null)/PVSUFF_SUBJ:3MS"	"none"	"none"	"na"	"na"	"neutral"	"still"	"encore"
"108"	"8"	"15"	"عطاوني"	"عطاوني"	"أعطى"	""	"عطا/PV"	"و/PVSUFF_SUBJ:3MP+ني/PVSUFF_DO:1S"	"عطي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"give;_donne"
"109"	"8"	"16"	"45"	"45"	""	""	"45/NOUN_NUM"	""	"none"	"none"	"na"	"na"	"neutral"	""	"45;_45"
"110"	"8"	"17"	"عطاوني"	"عطاوني"	"أعطى"	""	"عطا/PV"	"و/PVSUFF_SUBJ:3MP+ني/PVSUFF_DO:1S"	"عطي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"give;_donne"
"111"	"8"	"18"	"48"	"48"	""	""	"48/NOUN_NUM"	""	"none"	"none"	"na"	"na"	"neutral"	""	"48;_48"
"112"	"8"	"19"	"تلاقيت"	"تلاقيت"	"إِلتَقى"	""	"تلاقي/PV"	"ت/PVSUFF_SUBJ:1S"	"لقي"	"تفعَل - يَتْفعَل"	"na"	"na"	"neutral"	"meet"	"rencontrer"
"113"	"8"	"20"	"مع"	"مع"	"مَعَ"	""	"مع/PREP"	""	"none"	"none"	"na"	"na"	"neutral"	"with"	"avec"
"114"	"8"	"21"	"واحد"	"واحد"	"واحِد"	""	"واحد/NOUN"	""	"وحد"	"فَاعِل"	"s"	"m"	"neutral"	"someone"	"quelqu'un"
"115"	"8"	"22"	"قعدنا"	"قعدنا"	"قَعَدَ"	""	"قعد/PV"	"نا/PVSUFF_SUBJ:1P"	"قعد"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"remain"
"116"	"8"	"23"	"نحكوا"	"نحكوا"	"حَكَى"	"n/IV1P"	"حك/IV"	"وا/IVSUFF_SUBJ:1P"	"حكي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"talk,dicuss"	"discuter"
"117"	"8"	"24"	"هو"	"هو"	"هُوَ"	""	"هو/PRON_3MS"	""	"none"	"none"	"s"	"m"	"neutral"	"he"	"il"
"118"	"8"	"25"	"ثاني"	"ثاني"	"أيضا"	""	"ثاني/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"also;_aussi"
"119"	"8"	"26"	"قعد"	"قعد"	"قَعَدَ"	""	"قعد/PV"	"(null)/PVSUFF_SUBJ:3MS"	"قعد"	"فعَل - يُفْعُل"	"na"	"na"	"neutral"	"remain"	"rester"
"120"	"8"	"27"	"يبيع"	"يبيع"	"باعَ"	"y/IV3MS"	"بيع/IV"	"(null)/PVSUFF_SUBJ:3MS"	"بيع"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"sell"	"vendre"
"121"	"8"	"28"	"لوطو"	"لوطو"	"سَيّارَة"	""	"لوطو/NON_ARABIC"	""	"none"	"none"	"s"	"m"	"neutral"	"car;automobile"	"voiture;_automobile"
"122"	"8"	"29"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"123"	"9"	"1"	"قعدنا"	"قعدنا"	"قَعَدَ"	""	"قعد/PV"	"نا/PVSUFF_SUBJ:1P"	"قعد"	"فعَل - يفعُل"	"na"	"na"	"neutral"	""	"remain"
"124"	"9"	"2"	"نحكوا"	"نحكوا"	"حَكَى"	"n/IV1P"	"حك/IV"	"وا/IVSUFF_SUBJ:1P"	"حكي"	"فعَل - يفعِل"	"na"	"na"	"neutral"	"talk,dicuss"	"discuter"
"125"	"9"	"3"	"انا"	"انا"	"انا"	""	"انا/PRON_1S"	""	"none"	"none"	"s"	"u"	"neutral"	"me"	"moi"
"126"	"9"	"4"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"127"	"9"	"5"	"ياه"	"ياه"	"مَعَه"	""	"يا/PREP"	"ه/PRON_3MS"	"none"	"none"	"na"	"na"	"neutral"	""	"with_him"
"128"	"9"	"6"	"ناس"	"ناس"	"نَاس"	""	"ناس/NOUN"	"(null)/CASE_INDEF_(ACC_GEN)"	"ءنس"	"فعَل - يفعِل"	"s"	"m"	"neutral"	"people"	"gens"
"129"	"9"	"7"	"ملاح"	"ملاح"	"لَطِيف"	""	"ملاح/NOUN"	""	"ملح"	"فْعال"	"sp"	"m"	"positive"	"kind"	"sympa"
"130"	"9"	"8"	"مسكين"	"مسكين"	"مِسْكِين"	""	"مسكين/NOUN"	"(null)/CASE_INDEF_(ACC_GEN)"	"سكن"	"مِفْعِيل"	"s"	"m"	"negative"	"poor,_humble"	"pauvre,_modeste"
"131"	"9"	"9"	"قالي"	"قالي"	"قَالَ"	""	"قال/PV"	"(null)/PV SUFF_SUBJ :3MS+ي/POSS_PRON"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"132"	"9"	"10"	"شوف"	"شوف"	"شاف"	""	"شوف/CV"	"(null)/CVSUFF_SUBJ:2MS"	"شوف"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"look,_listen"	"écoute,_regarde"
"133"	"9"	"11"	"ديرها"	"ديرها"	"عَمِل"	""	"دير/CV"	"(null)/CVSUFF_SUBJ:2MS+ها/CVSUFF_DO:3FS"	"دير"	"فعَل - يفعِل"	"na"	"na"	"neutral"	""	"do"
"134"	"9"	"12"	"زينة"	"زينة"	"جيِّدة"	""	"زين/ADJ"	"ة/NSUFF_FEM_SG"	"زين"	"فِعلَة"	"s"	"f"	"neutral"	""	"good"
"135"	"9"	"13"	"تلقاها"	"تلقاها"	"لَقِيَ"	"t/IV2MS"	"لقا/IV"	"(null)/IVSUFF_SUBJ : 2MS+ها/IVSUFF_DO:3FS"	"لقي"	"فعِل - يفعَل"	"na"	"na"	"neutral"	"find"	"trouver"
"136"	"9"	"14"	"زينة"	"زينة"	"جيِّدة"	""	"زين/ADJ"	"ة/NSUFF_FEM_SG"	"زين"	"فِعلَة"	"s"	"f"	"neutral"	""	"good"
"137"	"9"	"15"	"."	"."	"."	""	"./PUNC"	""	"none"	"none"	"na"	"na"	"neutral"	""	"."
"138"	"10"	"1"	"قالي"	"قالي"	"قَالَ"	""	"قال/PV"	"(null)/PV SUFF_SUBJ :3MS+ي/POSS_PRON"	"قول"	"فعَل - يفعُل"	"na"	"na"	"neutral"	"said"	"dis"
"139"	"10"	"2"	"أنا"	"أنا"	"أَنَا"	""	"أنا/PRON_1S"	""	"none"	"none"	"s"	"m"	"neutral"	""	"I"
"140"	"10"	"3"	"و"	"و"	"وَ"	""	"و/CONJ"	""	"none"	"none"	"na"	"na"	"neutral"	""	"and"
"141"	"10"	"4"	"الله"	"الله"	"اللَّه"	""	"الله/NOUN_PROP"	""	"ءله"	"عَال"	"s"	"m"	"positive"	""	"Allah;God"
