sample_id	cefr	domain	topic	arabic	latin	ko	en	source_locator	reviewer_id	oran_native_confirmed	rating	suggested_arabic	comment	reviewed_at
ODC-000011	A1	school_work	school and work	باغي غدوة نشاء اللع نعرضك فطور .	baghy ghdwa ncha2 all3 n3rdk ftwr .	내일 아침 식사에 너를 초대하고 싶어, 신의 뜻이라면.	I want to invite you for breakfast tomorrow, God willing.	MADOran_Sentences.tsv:Sentno=184	ORAN_R2					
ODC-000012	A1	school_work	school and work	انا حكاية قرايتي فاردن وحدها غادي نحكيلكم كي مدولي لابوغس للأردن .	ana 7kaya 9rayty fardn w7dha ghady n7kylkm ky mdwly labwghs llardn .	요르단에서 공부한 이야기는 따로 해 줄게. 그들이 나에게 요르단 장학금을 준 이야기도 해 줄게.	I’ll tell you separately about my studies in Jordan and how they gave me the scholarship to Jordan.	MADOran_Sentences.tsv:Sentno=214	ORAN_R2					
ODC-000013	A2	school_work	school and work	انا كنت كملت قرايتي و مسوتنيا و مكملا ماستير تاعي و كنت نخدم اسيستونس كوماخسيال فوحد سونتخ كوماغسيال	ana knt kmlt 9rayty w mswtnya w mkmla mastyr ta3y w knt nkhdm asystwns kwmakhsyal fw7d swntkh kwmaghsyal	나는 공부를 마치고 석사 학위도 끝냈으며 상업 센터에서 판매 보조원으로 일했어.	I had finished my studies, completed my master's degree, and worked as a sales assistant in a commercial center.	MADOran_Sentences.tsv:Sentno=215	ORAN_R2					
ODC-000014	A2	school_work	school and work	خدامة عادي من بعد خدمت في جمعية في بروجي و كنتانا انيماتريس مام ندير بيلو و نخدم كومينيكسيون في جمعية .	khdama 3ady mn b3d khdmt fy jm3ya fy brwjy w kntana anymatrys mam ndyr bylw w nkhdm kwmynyksywn fy jm3ya .	평범하게 일하다가 협회 프로젝트에서 진행자로 일하고 소통 업무도 맡았어.	I worked normally, then I worked in an association project as an organizer and handled communication.	MADOran_Sentences.tsv:Sentno=216	ORAN_R2					
ODC-000015	A2	school_work	school and work	وحد خطرة نشوف في فيس بوك فقروب تع جامعة يحوسو عليا و يرسلولي فلي ميساج بلي جامعة راها تحوس عليك و لي يعرفها يقوللها تجي للجامعة ايرجون	w7d khtra nchwf fy fys bwk f9rwb t3 jam3a y7wsw 3lya w yrslwly fly mysaj bly jam3a raha t7ws 3lyk w ly y3rfha y9wllha tjy lljam3a ayrjwn	한번은 페이스북 대학교 그룹에서 나를 찾는다는 메시지를 받았고, 대학교가 나를 찾고 있다고 했어.	One time I saw on Facebook that a university group was looking for me and sent me a message saying the university wanted me.	MADOran_Sentences.tsv:Sentno=217	ORAN_R2					
ODC-000016	A2	school_work	school and work	ايا مديتهاش قاع حتى قالي شا راكي تقولي عندك بورس ليترونجي للاردن ايا طرت بفرحة و رايحة للجامعة نشوف باسكو مأمنتش حتى وصلت	aya mdythach 9a3 7ta 9aly cha raky t9wly 3ndk bwrs lytrwnjy llardn aya trt bfr7a w ray7a lljam3a nchwf baskw mamntch 7ta wslt	그들이 요르단 장학금을 받았다고 말할 때까지 믿지 않았어. 도착할 때까지 믿을 수 없어 기쁜 마음으로 대학교에 갔어.	I did not take it at all until they told me I had a scholarship to Jordan; I flew with joy to the university because I did not believe it until I arrived.	MADOran_Sentences.tsv:Sentno=219	ORAN_R2					
ODC-000017	A2	school_work	school and work	قالولي بلي كلاسيتي لولا ماجور دبرومو و راه عندك بورس بصحتك و عندك دوصي لايميه و دفعيه .	9alwly bly klasyty lwla majwr dbrwmw w rah 3ndk bwrs bs7tk w 3ndk dwsy laymyh w df3yh .	그들은 내가 반에서 1등이고 장학금이 있다고 했어. 작성해서 제출할 서류가 있었어.	They told me I was first in my class and had a scholarship; I had a file to complete and submit.	MADOran_Sentences.tsv:Sentno=220	ORAN_R2					
ODC-000018	A2	school_work	school and work	كي كنت في جامعة تع وهران قالولي بلي وصل هنا كيفاه مكانش قالولي حنا اصلن قلنا غي جامعة وهران لي مرسلوناش	ky knt fy jam3a t3 whran 9alwly bly wsl hna kyfah mkanch 9alwly 7na asln 9lna ghy jam3a whran ly mrslwnach	오랑대학교에 있을 때 결과가 여기 도착했다고 들었어. 우리는 오랑대학교가 우리를 보냈다고만 알고 있었어.	When I was at the University of Oran, they told me the result had arrived here; we had only said it was the University of Oran that sent us.	MADOran_Sentences.tsv:Sentno=223	ORAN_R2					
ODC-000019	A2	school_work	school and work	و نعيط للجامعة لعمادة و ترفد عليا فيس دوايان لي حطيت عندها دوسيي	w n3yt lljam3a l3mada w trfd 3lya fys dwayan ly 7tyt 3ndha dwsyy	대학교 행정실에 전화했더니 내 서류를 가지고 있던 여성이 전화를 받았어.	I called the university administration, and the woman who had my file answered me.	MADOran_Sentences.tsv:Sentno=224	ORAN_R2					
ODC-000020	A2	school_work	school and work	خدمنا بزاف و عيينا و في تورناج تاني عيينا و تعبنا رانا نصوروا فنهارو فليل حتى يوم كملنا حتى 7 تع صباح خدمنا قاع لانوي بلونش	khdmna bzaf w 3yyna w fy twrnaj tany 3yyna w t3bna rana nswrwa fnharw flyl 7ta ywm kmlna 7ta 7 t3 sba7 khdmna 9a3 lanwy blwnch	우리는 많이 일했고 촬영 중에 지쳤어. 밤낮으로 일해서 아침 7시에 끝냈어.	We worked a lot, got tired during filming, and worked day and night until we finished at seven in the morning.	MADOran_Sentences.tsv:Sentno=277	ORAN_R2					
ODC-000021	A2	school_work	school and work	انا غلطة لي درتها كون كي حطيته تمدلي غوسو اكيزي بلي دفعته و مسؤوليتها انا معرفتش	ana ghlta ly drtha kwn ky 7tyth tmdly ghwsw akyzy bly df3th w mswwlytha ana m3rftch	내가 실수는 서류를 제출했을 때 제출했다는 확인 영수증을 받아야 한다는 걸 몰랐던 거야.	The mistake I made was that, when I submitted it, I didn’t know I was supposed to get an acknowledgment receipt proving I had submitted it.	MADOran_Sentences.tsv:Sentno=235	ORAN_R2					
ODC-000022	A2	school_work	school and work	حنا مجاتش غير هكا مزية و لا 6 مو و حنا نخدموا قريب 16 ساعة فنهار سي با غيان في سيناريو	7na mjatch ghyr hka mzya w la 6 mw w 7na nkhdmwa 9ryb 16 sa3a fnhar sy ba ghyan fy synaryw	우리는 시나리오 작업을 하루에 거의 16시간씩 했어.	We worked almost sixteen hours a day on the screenplay.	MADOran_Sentences.tsv:Sentno=276	ORAN_R2					
ODC-000023	A2	school_work	school and work	دونك هاد مسلسل ولاد حلال مسلسل حمد لله تعبنا عليه بزاف صافي 6 موا رانا نخدموا فيه .	dwnk had mslsl wlad 7lal mslsl 7md llh t3bna 3lyh bzaf safy 6 mwa rana nkhdmwa fyh .	이 드라마는 힘든 일이었어. 우리는 6개월 동안 작업했어.	This series was hard work; we worked on it for six months.	MADOran_Sentences.tsv:Sentno=275	ORAN_R2					
ODC-000024	A2	school_work	school and work	كاين مخرج خدم مع ممثلين بزاف و يعطيه الصحة و كاين شركة انتاج امنت بمشروع دونك مشروع ناجح	kayn mkhrj khdm m3 mmthlyn bzaf w y3tyh als7a w kayn chrka antaj amnt bmchrw3 dwnk mchrw3 naj7	많은 배우와 함께 일한 감독이 있었고 제작사가 그 프로젝트를 믿어서 성공했어.	There is a director who worked with many actors, and a production company believed in the project, so it succeeded.	MADOran_Sentences.tsv:Sentno=287	ORAN_R2					
ODC-000025	A1	city_transport	city and transport	غادي دروك نحكيلك بغيت نبيع بولو قلت لنسيبي تروح معيا لسوق قالي واه نروح معاك لسوق .	ghady drwk n7kylk bghyt nby3 bwlw 9lt lnsyby trw7 m3ya lsw9 9aly wah nrw7 m3ak lsw9 .	나는 폴로를 팔고 싶다고 했고 처남에게 시장에 같이 가자고 했어. 그는 그러겠다고 했어.	I said I wanted to sell a Polo, and I told my brother-in-law to go with me to the market. He agreed.	MADOran_Sentences.tsv:Sentno=3	ORAN_R2					
ODC-000026	A1	city_transport	city and transport	صباح بكرنا روحنا انا و ياه في الطريق قولنا نتقهوا ايا قالي نتقهوا .	sba7 bkrna rw7na ana w yah fy altry9 9wlna nt9hwa aya 9aly nt9hwa .	우리는 아침 일찍 출발했어. 가는 길에 커피를 마시자고 했고 그는 동의했어.	We left early in the morning. On the way we said we would have coffee, and he agreed.	MADOran_Sentences.tsv:Sentno=4	ORAN_R2					
ODC-000027	A1	city_transport	city and transport	تقهوينا و ضربنا ميل فاي قهوة حليب و قضبنا الطريق .	t9hwyna w drbna myl fay 9hwa 7lyb w 9dbna altry9 .	우리는 카페에서 커피와 밀푀유를 먹고 길을 계속 갔어.	We had coffee and a mille-feuille pastry at a café, then continued on the road.	MADOran_Sentences.tsv:Sentno=5	ORAN_R2					
ODC-000028	A1	city_transport	city and transport	كي وصلنا لسوق خلصنا ترونتميل قاله بنعمي ترونتميل بزاف .	ky wslna lsw9 khlsna trwntmyl 9alh bn3my trwntmyl bzaf .	시장에 도착했을 때 3만을 냈고 그는 너무 많다고 했어.	When we reached the market, we paid thirty thousand; he said it was too much.	MADOran_Sentences.tsv:Sentno=6	ORAN_R2					
ODC-000029	A1	city_transport	city and transport	واه ايا ترونتميل خلصنا , دخلنا لسوق و قعدنا نقارعوا كان حال مازال مبانش .	wah aya trwntmyl khlsna , dkhlna lsw9 w 93dna n9ar3wa kan 7al mazal mbanch .	돈을 내고 시장에 들어가 앉아서 기다렸어. 아직 날이 밝지 않았어.	We paid, entered the market, and sat waiting; it was not daylight yet.	MADOran_Sentences.tsv:Sentno=7	ORAN_R2					
ODC-000030	A1	city_transport	city and transport	قالي أنا و الله خطرة تلاقيت بمرا مسكينة شبانية في طريق شفتني حبست رفدتها	9aly ana w allh khtra tla9yt bmra mskyna chbanya fy try9 chftny 7bst rfdtha	한번은 길에서 가엾은 노파를 만났어. 내가 멈추자 그녀를 태워 줬어.	One time I met a poor old woman on the road. When she saw me stop, I picked her up.	MADOran_Sentences.tsv:Sentno=10	ORAN_R2					
ODC-000031	A1	city_transport	city and transport	قالي غدوة روحت قضبت لوطو روحت عندها قلتلها ياضرا شا قلتي كون تجي عندي	9aly ghdwa rw7t 9dbt lwtw rw7t 3ndha 9ltlha yadra cha 9lty kwn tjy 3ndy	다음 날 차를 타고 그녀에게 가서 나에게 오라고 한 말이 무엇인지 물었어.	The next day I took the car to her and asked what she had said about coming to me.	MADOran_Sentences.tsv:Sentno=18	ORAN_R2					
ODC-000032	A1	city_transport	city and transport	قال لوحدين حمبوك وخروا وخروا هادا راه باع لوطو باغي يخرج .	9al lw7dyn 7mbwk wkhrwa wkhrwa hada rah ba3 lwtw baghy ykhrj .	그들은 두 사람에게 비키라고 했어. 이 남자는 차를 팔고 떠나려 했어.	They told two people to move away; this man had sold the car and wanted to leave.	MADOran_Sentences.tsv:Sentno=52	ORAN_R2					
ODC-000033	A1	city_transport	city and transport	مسكين الله يكثر خيره وخلي زوج لواطا دالي طريق	mskyn allh ykthr khyrh wkhly zwj lwata daly try9	하나님이 그에게 보답하시길. 그는 차 두 대를 비켜서 내 길을 열어 줬어.	May God reward him; he moved two cars aside and cleared the way for me.	MADOran_Sentences.tsv:Sentno=54	ORAN_R2					
ODC-000034	A1	city_transport	city and transport	قظبت طريق 11.30 جيت خارج من سوق تلاقيت بهادوك لي يبيعوا دلاع و بتيخ شريت حبة دلاع و جيت لحقت على 12.30 و لا صليت جمعة و رقدت غاية .	9zbt try9 11.30 jyt kharj mn sw9 tla9yt bhadwk ly yby3wa dla3 w btykh chryt 7ba dla3 w jyt l79t 3la 12.30 w la slyt jm3a w r9dt ghaya .	11시 30분에 길을 나서 시장에서 나와 수박을 샀고 12시 30분에 도착해 금요 예배를 드리고 푹 잤어.	I took the road at 11:30, left the market, bought a watermelon, arrived at 12:30, prayed Friday prayer, and slept well.	MADOran_Sentences.tsv:Sentno=55	ORAN_R2					
ODC-000035	A1	city_transport	city and transport	خويا نتا باغي تهدر مراكش باغي تسقسي . مشي تليفون راه يصوني لا ? لا خويا معنديش تليفون . انا قلت حس تع تليفون صحا باغي نسقسيك ما دايرين لكمش ترونسوبور هنا	khwya nta baghy thdr mrakch baghy ts9sy . mchy tlyfwn rah yswny la ? la khwya m3ndych tlyfwn . ana 9lt 7s t3 tlyfwn s7a baghy ns9syk ma dayryn lkmch trwnswbwr hna	오빠, 너는 말하고 싶어 하지만 물어볼 게 없네. 이건 전화가 아니지? 나는 전화가 없어. 여기서 교통편을 제공하는지 물어보려 했어.	Brother, you want to talk, but you are not asking anything. This is not a phone, is it? I do not have a phone. I wanted to ask whether they have transport here.	MADOran_Sentences.tsv:Sentno=155	ORAN_R2					
ODC-000036	A1	city_transport	city and transport	و نولي لوهران انا و بابا روحنلها للبيرو قلنلها وين راه دوصيي تقولنا معلبليش	w nwly lwhran ana w baba rw7nlha llbyrw 9lnlha wyn rah dwsyy t9wlna m3lblych	아버지와 나는 오랑으로 돌아가 사무실에 갔어. 서류가 어디 있는지 물었지만 그녀는 모른다고 했어.	My father and I went back to Oran and went to the office; we asked where the file was, and she said she did not know.	MADOran_Sentences.tsv:Sentno=227	ORAN_R2					
ODC-000037	A2	city_transport	city and transport	كي بان الحال جاو غاشي يساومو فلوطو شعال عطاوك ? شعال عطاوك ? مازال عطاوني 45 عطاوني 48 تلاقيت مع واحد قعدنا نحكوا هو ثاني قعد يبيع لوطو .	ky ban al7al jaw ghachy ysawmw flwtw ch3al 3tawk ? ch3al 3tawk ? mazal 3tawny 45 3tawny 48 tla9yt m3 wa7d 93dna n7kwa hw thany 93d yby3 lwtw .	차가 보이자 사람들이 흥정하러 왔어. 얼마를 제안했어? 나도 차를 팔고 있던 사람을 만났어.	When the car appeared, people came to bargain. How much did they offer you? I met another man who was also selling a car.	MADOran_Sentences.tsv:Sentno=8	ORAN_R2					
ODC-000038	A2	city_transport	city and transport	تعرفي شا ندير غادي انا نعيط لشوفور هو يرجه لوهران و نتي بقاي حتا لسمانة جاية داكور ? تزعقس عليا واقيلا .	t3rfy cha ndyr ghady ana n3yt lchwfwr hw yrjh lwhran w nty b9ay 7ta lsmana jaya dakwr ? tz39s 3lya wa9yla .	내가 어떻게 할지 알아? 운전기사에게 전화할게. 그는 오랑으로 돌아가고, 너는 다음 주까지 있어. 알겠지? 너 나한테 소리 지르는 것 같네.	You know what I’ll do? I’ll call the driver; he’ll go back to Oran, and you stay until next week, okay? Maybe you’re shouting at me.	MADOran_Sentences.tsv:Sentno=815	ORAN_R2					
ODC-000039	A2	city_transport	city and transport	قالي روحت عند هادك شاف تاعهم جريت شوي جريت شوي داروها على اسمي أيوا و عطاوها سكنة و روحنا سكنا و قعدنا أنا وياها .	9aly rw7t 3nd hadk chaf ta3hm jryt chwy jryt chwy darwha 3la asmy aywa w 3tawha skna w rw7na skna w 93dna ana wyaha .	나는 담당자에게 가서 조금 뛰어다녔고 집을 내 이름으로 등록해 주어서 우리는 함께 살았어.	I went to their official, ran a little, and they registered the home in my name; then we lived there together.	MADOran_Sentences.tsv:Sentno=36	ORAN_R2					
ODC-000040	A2	city_transport	city and transport	أيا عليها أنا بعت لوطو و قتله أيا تبقى على خير قالي مسكين بون قالي مين بعتها ارجى ارجى باش تخرج ارجى دوك نحلك طريق .	aya 3lyha ana b3t lwtw w 9tlh aya tb9a 3la khyr 9aly mskyn bwn 9aly myn b3tha arja arja bach tkhrj arja dwk n7lk try9 .	나는 차를 팔고 작별했어. 그는 길을 열 수 있게 기다리라고 했어.	I sold the car and said goodbye. He told me to wait so that he could open a route for me.	MADOran_Sentences.tsv:Sentno=51	ORAN_R2					
ODC-000041	A2	city_transport	city and transport	حنا غادي فليل نكونوا أنا و صحابي نكونو فوهران نكونو في بلسدارم بدات مور طراويح رانا نروحو نقصرو تما و قاع و اللي يبغي يجي يشوفنا مرحبا بيه	7na ghady flyl nkwnwa ana w s7aby nkwnw fwhran nkwnw fy blsdarm bdat mwr trawy7 rana nrw7w n9srw tma w 9a3 w ally ybghy yjy ychwfna mr7ba byh	밤에는 친구들과 오랑에 있을 거야. 같이 놀고 싶은 사람은 누구나 와도 돼.	At night we will be in Oran with our friends; we will go out and anyone who wants to join us is welcome.	MADOran_Sentences.tsv:Sentno=288	ORAN_R2					
ODC-000042	A2	city_transport	city and transport	يا مسكينة تروح أبيي على كرعيك أيا قالي هودت بلوطو رفدتها قالي دخلتني في وحد شجر هاكا فلخلا قالي عندها دار فلخلا . مسكينة دخل جبرها وحدها مسكينة عايشة وحدها تسكن وحدها	ya mskyna trw7 abyy 3la kr3yk aya 9aly hwdt blwtw rfdtha 9aly dkhltny fy w7d chjr haka flkhla 9aly 3ndha dar flkhla . mskyna dkhl jbrha w7dha mskyna 3aycha w7dha tskn w7dha	그 불쌍한 여자는 걸어갔어. 나는 차에 태웠지만 그녀는 시골의 나무 쪽으로 나를 이끌었고 혼자 살고 있었어.	The poor woman went on foot. I took her in the car, but she led me toward some trees in the countryside; she lived alone.	MADOran_Sentences.tsv:Sentno=13	ORAN_R2					
ODC-000043	A2	city_transport	city and transport	داها قالي ديتها داها داها كي وصل وحد فيلاج قالوله متسكنش هنا هاذي ليق تزيد بصح متتمشاش بلوطو	daha 9aly dytha daha daha ky wsl w7d fylaj 9alwlh mtsknch hna hadhy ly9 tzyd bs7 mttmchach blwtw	그는 그녀를 마을로 데려갔는데, 그곳 사람들은 그에게 머물지 말라고 했어. 차보다 걸어서 계속 가는 편이 낫다고 했어.	He took her to a village, where they told him not to stay; it was better to continue on foot rather than by car.	MADOran_Sentences.tsv:Sentno=12	ORAN_R2					
ODC-000044	A2	city_transport	city and transport	معليش مداري نقارع وحدي	m3lych mdary n9ar3 w7dy	괜찮아. 나 혼자 기다리고 있어.	It is okay; I am waiting by myself.	MADOran_Sentences.tsv:Sentno=177	ORAN_R2					
ODC-000045	A2	city_transport	city and transport	قالها وين تسكني قاتله ديني لدار و نقولك وين نسكن .	9alha wyn tskny 9atlh dyny ldar w n9wlk wyn nskn .	그가 그녀에게 어디 사는지 묻자, 그녀는 “나를 집에 데려다주면 내가 어디 사는지 말해 줄게”라고 했어.	He asked her where she lived, and she told him, “Take me home and I will tell you where I live.”	MADOran_Sentences.tsv:Sentno=11	ORAN_R2					
ODC-000046	A2	city_transport	city and transport	مقلقة ? نقارع معك .	m9l9a ? n9ar3 m3k .	속상해? 내가 너와 함께 기다릴게.	Are you upset? I will wait with you.	MADOran_Sentences.tsv:Sentno=176	ORAN_R2					
ODC-000047	A2	city_transport	city and transport	لا مكانش بروبلام نقارع وحدي .	la mkanch brwblam n9ar3 w7dy .	문제없어. 나 혼자 기다리고 있어.	No problem; I am waiting by myself.	MADOran_Sentences.tsv:Sentno=179	ORAN_R2					
ODC-000048	A2	city_transport	city and transport	كي سقسينا قالك كانو يجرو و كاميون باش يجبد دخل فلوطو تخابطو ايا جاو بومبيا رفدهوم مساكين و بعدو لوطو و كاميون باش يدوهم لافراي باش يحلو طريق و نفوتو .	ky s9syna 9alk kanw yjrw w kamywn bach yjbd dkhl flwtw tkhabtw aya jaw bwmbya rfdhwm msakyn w b3dw lwtw w kamywn bach ydwhm lafray bach y7lw try9 w nfwtw .	물어보니 자동차와 트럭이 충돌했대. 소방대원들이 사람들을 구조하고 차와 트럭을 치워 길을 열어 우리가 지나갈 수 있게 했어.	When we asked, they said a car and a truck had collided. The firefighters rescued them and moved the car and truck aside so the road could be cleared and we could pass.	MADOran_Sentences.tsv:Sentno=402	ORAN_R2					
ODC-000049	A1	food_shopping	food and shopping	كي شربت كوكا باردة هي لي دارتلي هاك . شفت ياك ضارتك . واه ضرتني .	ky chrbt kwka barda hy ly dartly hak . chft yak dartk . wah drtny .	차가운 콜라를 마셨더니 이렇게 됐어. 봐, 너도 아팠지? 응, 나도 아팠어.	When I drank a cold Coke, it made me feel like this. You see, it hurt you? Yes, it hurt me.	MADOran_Sentences.tsv:Sentno=1	ORAN_R2					
ODC-000050	A1	food_shopping	food and shopping	نجيبلك حمود ? جيبلي حمود هادي مالها تعوج فروحها . مادم ?	njyblk 7mwd ? jybly 7mwd hady malha t3wj frw7ha . madm ?	함우드 음료를 가져다줄까? 함우드 하나 가져다줘. 그게 뭐가 문제야?	Shall I bring you a Hamoud drink? Bring me a Hamoud. What is wrong with it?	MADOran_Sentences.tsv:Sentno=530	ORAN_R2					
ODC-000051	A1	food_shopping	food and shopping	صحيتي ميمتي . نديرلكم لي سوندويتش ? واه ديرلي كاش حاجا ناكالها . من عينيا شا ندريلك فيه ? تعرفيني شا نبغي فيه . صحا . زينو هيا .	s7yty mymty . ndyrlkm ly swndwytch ? wah dyrly kach 7aja nakalha . mn 3ynya cha ndrylk fyh ? t3rfyny cha nbghy fyh . s7a . zynw hya .	샌드위치 먹을래? 응, 먹을 것을 좀 만들어 줘. 네가 좋아하는 걸 준비할게.	Would you like a sandwich? Yes, make me something to eat. I will prepare what you like.	MADOran_Sentences.tsv:Sentno=908	ORAN_R2					
ODC-000052	A1	food_shopping	food and shopping	كيفاه ريحة دجاج ? انا قبل ما نكمل خدمة نغسل و منبعد نجيب لكم . اني قتلك و صايي . صحا كيما تبغي .	kyfah ry7a djaj ? ana 9bl ma nkml khdma nghsl w mnb3d njyb lkm . any 9tlk w sayy . s7a kyma tbghy .	닭고기 냄새는 어때? 일을 마치기 전에 씻어서 가져다줄게. 내가 말했잖아, 그게 다야. 그래, 네가 원하는 대로 해.	What about the smell of the chicken? Before I finish work, I’ll wash it and then bring it to you. I told you, that’s it. Okay, as you like.	MADOran_Sentences.tsv:Sentno=871	ORAN_R2					
ODC-000053	A1	food_shopping	food and shopping	كي تسمعي هداك حس تع بلي غلات تعاودي تمرقيها حتى يتغطى لحم و خضرا عينك هي ميزانك و تخليها تطيب ساعة هكا شوفها ساعة على ساعة .	ky tsm3y hdak 7s t3 bly ghlat t3awdy tmr9yha 7ta ytghta l7m w khdra 3ynk hy myzank w tkhlyha ttyb sa3a hka chwfha sa3a 3la sa3a .	그 소리가 들리면 끓기 시작했다는 뜻이야. 고기와 채소가 잠길 때까지 국물을 더 붓고 약 한 시간 익히면서 가끔 확인해.	When you hear that sound, it means it has come to a boil. Add more broth until the meat and vegetables are covered, then let it cook for about an hour, checking it from time to time.	MADOran_Sentences.tsv:Sentno=377	ORAN_R2					
ODC-000054	A1	food_shopping	food and shopping	كي طيب لولا تشوفي لحم ادا طاب توخريه على جهة و تشوفي ادا طابت تفي عليها باش تميكسيها و لا تطحنيها ف رحة تاني خير	ky tyb lwla tchwfy l7m ada tab twkhryh 3la jha w tchwfy ada tabt tfy 3lyha bach tmyksyha w la tt7nyha f r7a tany khyr	익으면 먼저 고기를 확인해. 다 익었으면 한쪽에 빼 두고, 나머지도 익었으면 불을 끈 뒤 갈아. 믹서로 갈거나 분쇄기로 갈아도 되고 후자가 더 좋아.	When it cooks, first check the meat. If it is done, set it aside; if the rest is cooked, turn off the heat so you can blend it, or grind it in a grinder, which is even better.	MADOran_Sentences.tsv:Sentno=378	ORAN_R2					
ODC-000055	A1	food_shopping	food and shopping	و نخلطو كلشي و منبعد نخلو تشيشة تاعنا طيب لربع ساعة هاكا و نطفو عليها تخرج مترتقة و بنينة .	w nkhltw klchy w mnb3d nkhlw tchycha ta3na tyb lrb3 sa3a haka w ntfw 3lyha tkhrj mtrt9a w bnyna .	모두 섞고 티치샤를 약 15분 익힌 다음 불을 꺼. 부드럽고 맛있게 될 거야.	Mix everything, let our tchicha cook for about fifteen minutes, then turn off the heat; it will come out tender and tasty.	MADOran_Sentences.tsv:Sentno=386	ORAN_R2					
ODC-000056	A1	food_shopping	food and shopping	شويا راهم غاليين نتي ساومي و شوفي متحصيش تطيحي في حاجة شابة عينك هي ميزانك	chwya rahm ghalyyn nty sawmy w chwfy mt7sych tty7y fy 7aja chaba 3ynk hy myzank	어떤 것들은 비싸. 흥정하고 잘 살펴봐. 네 눈이 저울이야.	Some things are expensive. Bargain and look carefully; your eye is your scale.	MADOran_Sentences.tsv:Sentno=149	ORAN_R2					
ODC-000057	A1	food_shopping	food and shopping	خلي انا نخلص	khly ana nkhls	내가 계산할게.	Let me pay.	MADOran_Sentences.tsv:Sentno=296	ORAN_R2					
