"source_uid"	"sentno"	"latin"	"english"	"korean"	"cefr_level"	"difficulty_score"	"domain"	"topic"	"genre"	"speech_act"	"register"	"context_dependency"
"madoran-s6-sentno-0013"	"13"	"ya mskina trouh abiy 3la kr3ik. aya gali hwdt bloto rft-ha. dkhltni f wahd chjr haka flkhla. 3ndha dar flkhla."	"The poor woman went away on foot. He said he took her by car and brought her into a place with a tree out in the countryside. She had a house there."	"그 불쌍한 여자는 걸어서 가려 했어. 그는 차를 돌려 그녀를 태우고 시골의 나무가 있는 곳으로 데려갔다고 했어. 그녀에게는 시골에 집이 있었어."	"B2"	"65"	"family_relationships"	"helping_elder"	"narrative"	"narration"	"colloquial"	"high"
"madoran-s6-sentno-0014"	"14"	"aya gali qltlha chandir lk? qatlni barak allah fik w q3dt tdi3li f dwa khir."	"He said, I asked her what I could do for her. She told me, May God reward you, and kept praying for me."	"그는 내가 그녀에게 무엇을 해 줄까 물었다고 했어. 그녀는 신의 은총이 있기를 바란다고 했고 계속 나를 위해 좋은 기도를 했어."	"A2"	"35"	"family_relationships"	"gratitude"	"narrative"	"thanks"	"colloquial"	"medium"
"madoran-s6-sentno-0015"	"15"	"wlit gali ki wlit mchit ldar dkhelt q3dt nkhmm. q3dt nkhmm nkhmm."	"When I returned, I went home, sat down, and thought and thought and thought."	"돌아와서 집에 가 앉아 계속 생각하고 또 생각했어."	"A1"	"20"	"daily_life"	"thinking"	"narrative"	"narration"	"colloquial"	"low"
"madoran-s6-sentno-0016"	"16"	"qlt ana mskina hadi mra wahdha w kolchi. 3lach mn ghdwa nroh njibha?"	"I thought, This poor woman is alone; why not go and get her tomorrow?"	"나는 생각했어. 이 불쌍한 여자는 혼자야. 내일 가서 데려오면 어떨까?"	"A2"	"30"	"family_relationships"	"helping_elder"	"narrative"	"wish"	"colloquial"	"medium"
"madoran-s6-sentno-0017"	"17"	"w cheft-ha cheftni gali cheftni. qlt ana ndi dwa khir mnha w kolch."	"He saw her, and when she saw me he said she had seen me. I said, I will take good care of her and everything."	"그가 그녀를 봤고 그녀도 나를 봤다고 했어. 나는 내가 그녀를 잘 돌보고 모든 것을 책임지겠다고 했어."	"B1"	"45"	"family_relationships"	"taking_care"	"narrative"	"information"	"colloquial"	"high"
"madoran-s6-sentno-0018"	"18"	"gali ghdwa rht qdbt loto rht 3ndha. qltlha ya dhra ch qlti kon tji 3ndi?"	"He said, The next day I took the car and went to her. I asked her, Hey old woman, what would you say if you came to my place?"	"그는 다음 날 차를 몰고 그녀에게 갔다고 했어. 그는 그녀에게 여기 와서 나와 함께 사는 게 어떻겠냐고 물었어."	"B1"	"50"	"family_relationships"	"invitation"	"narrative"	"request"	"colloquial"	"high"
"madoran-s6-sentno-0019"	"19"	"qatlou ki ma tbghi. galha ma3ndk hata malik? qatlou ma3ndi hata malia la familia la walo. rft-ha wditha ldar 3nd ma w boya."	"She told him, As you wish. He said, You have no family. She said, I have no family, no relatives, nothing. He picked her up and took her home to his mother and father."	"그녀는 네가 원하는 대로 하라고 했어. 그는 가족이 없느냐고 물었고, 그녀는 가족도 친척도 아무도 없다고 했어. 그는 그녀를 부모님 집으로 데려갔어."	"B1"	"55"	"family_relationships"	"orphanhood"	"narrative"	"narration"	"colloquial"	"high"
"madoran-s6-sentno-0020"	"20"	"gali ki ditha 3nd ma w boya galoulou w had chbaniya? ql lhom hadi mskina chbaniya 3aycha wahdha bghit njibha t3ich m3ana. ma bghawch."	"He said, When I took her to my parents, they asked what this old woman was doing there. I told them she was poor and lived alone, and I wanted her to live with us. They refused."	"그가 그녀를 부모님께 데려가자 부모님은 이 할머니가 누구냐고 물었어. 그는 불쌍하고 혼자 사는 분이라 우리와 함께 살게 하고 싶다고 했지만 부모님은 거절했어."	"B2"	"60"	"family_relationships"	"family_conflict"	"narrative"	"narration"	"colloquial"	"high"
"madoran-s6-sentno-0021"	"21"	"ma bghawch nadouli yz3fou boya. gali ghi hadi li mdirthach. galou ghi hadi."	"They refused, and my parents became angry with me. My father said, At least this is what you did."	"그들은 거절했고 부모님은 나에게 화를 냈어. 아버지는 적어도 네가 한 일은 이것이라고 말했어."	"B1"	"50"	"family_relationships"	"parental_anger"	"narrative"	"complaint"	"colloquial"	"high"
"madoran-s6-sentno-0022"	"22"	"qtlou mskina ki tdir w 3aycha wahdha khliha ana nthml mas2ouliya. galou la kon tkhliha ghodwa lbolis ygololk blli khteftha. lazem t3lm t7sel w tdekleri."	"I told him, What can the poor woman do, living alone? Let me take responsibility for her. He said, No, if you keep her, the police may say you kidnapped her. You must inform them and declare it."	"나는 그 불쌍한 분이 혼자 사는데 어떻게 하겠냐며 내가 책임지겠다고 했어. 그는 안 된다고 했어. 데리고 있으면 경찰이 납치했다고 할 수도 있으니 신고하고 정식으로 등록해야 한다고 했어."	"B2"	"65"	"administration"	"legal_guardianship"	"narrative"	"warning"	"colloquial"	"high"
"madoran-s6-sentno-0023"	"23"	"gali rht 3nd jdar mia w qlt lhom blli had makhlouqa bghit ndiha w ma3ndha hata 7ad mskina."	"He said, I went to the gendarmerie and told them that this woman had no one and that I wanted to take care of her."	"그는 헌병대에 가서 이 여자는 의지할 사람이 아무도 없고 내가 돌보고 싶다고 말했어."	"B1"	"55"	"administration"	"gendarmerie"	"narrative"	"information"	"colloquial"	"high"
"madoran-s6-sentno-0024"	"24"	"qaloulou chouf liq 7ta ndirolk wahd wra9a bach t9bl. ila qblat dawla w l7kouma qblat nkhlouk tkhliha t3ich 3ndk."	"They told him they would make a paper for him, and if the state and government accepted it, they would let her live with him."	"그들은 서류를 만들어 줄 테니 국가와 정부가 승인하면 그녀가 그와 함께 살도록 허락하겠다고 했어."	"B2"	"65"	"administration"	"housing_permission"	"narrative"	"information"	"neutral"	"high"
"madoran-s6-sentno-0025"	"25"	"qaloulou bsah bchrt ila t9bl thla fiha w twklha. qlt lhom ani qbel."	"They told him, But on one condition: if it is accepted, take care of her and feed her. I told them, I agree."	"그들은 승인되면 그녀를 돌보고 먹여야 한다는 조건을 달았어. 나는 동의한다고 말했어."	"B1"	"45"	"administration"	"legal_condition"	"narrative"	"agreement"	"neutral"	"medium"
"madoran-s6-sentno-0026"	"26"	"daroulou gali darouli dik wra9a w jbt-ha ldar. q3dt takol w tchrab w tdi3li dwa khir. 7md allah."	"They made the paper for him, and he brought her home. She ate and drank and prayed for him. Thank God."	"그들은 서류를 만들어 주었고 그는 그녀를 집에 데려왔어. 그녀는 먹고 마시며 그를 위해 좋은 기도를 했어. 신께 감사해."	"A2"	"38"	"family_relationships"	"caring_for_elder"	"narrative"	"thanks"	"colloquial"	"medium"
"madoran-s6-sentno-0027"	"27"	"ghi howa w hiya?"	"Just him and her?"	"그 사람과 그 여자 둘만?"	"A1"	"10"	"family_relationships"	"couple"	"conversation"	"question"	"colloquial"	"low"
"madoran-s6-sentno-0028"	"28"	"wah. howa m3a bouh w mah. ah sa7a."	"Yes. He was with his father and mother. Ah, right."	"응. 그는 아버지와 어머니와 함께 있었어. 아, 그렇구나."	"A1"	"10"	"family_relationships"	"parents"	"conversation"	"answer"	"colloquial"	"low"
"madoran-s6-sentno-0029"	"29"	"qaloulou ila tjib wra9a khliha. bouh galou ila tjib wra9a sa7a ila ma tjibch wra9a ma tkhlihach."	"They told him, If you bring the paper, keep her. His father said, If you bring the paper, fine; if you do not, do not keep her."	"그들은 서류를 가져오면 그녀를 데리고 있으라고 했어. 아버지는 서류를 가져오면 괜찮지만 가져오지 않으면 안 된다고 했어."	"A2"	"30"	"family_relationships"	"family_rule"	"conversation"	"command"	"colloquial"	"medium"
"madoran-s6-sentno-0030"	"30"	"gali jbt wra9a. boya ki jbt wra9a qbl. fr7t. mskina hadi kol youm nwdiha l7mam w nlbs-ha w nthla fiha. fr7t bzaf wlat tdi3li ghi dwa khir."	"He said, I brought the paper, and my father accepted it. I was happy. Every day I took the poor woman to the bath, dressed her, cared for her, and she kept praying for me."	"그는 서류를 가져왔고 아버지가 받아 주었다고 했어. 나는 기뻤어. 매일 그 불쌍한 분을 목욕탕에 데려가고 옷을 입혀 돌봤더니 계속 나를 위해 좋은 기도를 해 주었어."	"B2"	"60"	"family_relationships"	"caring_for_elder"	"narrative"	"thanks"	"colloquial"	"high"
"madoran-s6-sentno-0031"	"31"	"gali qlt ana rahi hnaya w kolchi. 3lach ma ndirch dossie ta3 skna? blak y3touha skna w n3ich m3aha. ana tani nroh ntzwj w kolchi."	"He said, I thought she was here and everything; why not make a housing application? Maybe they would give her a home and I could live with her. I would also get married and everything."	"그는 그녀가 여기 있으니 주거 신청을 해 볼까 생각했어. 집을 받으면 그녀와 살 수 있고 나도 결혼할 수 있을 것 같았어."	"B2"	"65"	"housing"	"housing_application"	"narrative"	"suggestion"	"colloquial"	"high"
"madoran-s6-sentno-0032"	"32"	"dar dossier ta3 skna. ql lhom ana m3a chbaniya w 3ndi boya w ma w rani la skna la walo. hadi mskina ma3ndhach ta 7ad. 3touha skna."	"He filed a housing application and told them that this poor woman had no one and needed a home."	"그는 주거 신청서를 내고 이 불쌍한 분에게 아무도 없으니 집을 달라고 말했어."	"B2"	"65"	"housing"	"housing_application"	"narrative"	"request"	"colloquial"	"high"
"madoran-s6-sentno-0033"	"33"	"darou lonkat jab rbi b9drt allah w dwa khir 3tawha skna. sb7an allah."	"They drew lots, and by God's grace and her good prayers, they gave her a home. Glory be to God."	"그들은 추첨을 했고 신의 은총과 그녀의 좋은 기도 덕분에 집을 받았어. 신이 찬미받으소서."	"B1"	"48"	"housing"	"lottery_result"	"narrative"	"exclamation"	"colloquial"	"medium"
"madoran-s6-sentno-0034"	"34"	"ki 3tawha skna jit fr7an qltlha choufi ya chbaniya rahom 3tawk skna."	"When they gave her a home, I came happily and told her they had given her a home."	"그들이 그녀에게 집을 주자 나는 기뻐서 와서 집을 받았다고 말해 주었어."	"A2"	"35"	"housing"	"receiving_home"	"conversation"	"information"	"colloquial"	"low"
"madoran-s6-sentno-0035"	"35"	"qtlha chouf ya wlidi skna kon dirha 3la smi ghdwa kach wa7d mn familti ydiwha lak. dirha 3la smk w ma tdirhach 3la smi."	"I told her, Put the home in my name. Someone from my family might come tomorrow and take it from you. Put it in your name, not mine."	"나는 그녀에게 집을 내 이름으로 하라고 했어. 내일 우리 가족 중 누군가 와서 집을 빼앗을 수도 있으니 내 이름으로, 네 이름이 아니라 하라고 했어."	"B2"	"62"	"housing"	"property_protection"	"narrative"	"warning"	"colloquial"	"high"
"madoran-s6-sentno-0036"	"36"	"gali rht 3nd hadak chaf ta3hom. jrit chwi jrit chwi darouha 3la smi. 3tawha skna w rohna skna ana w hiya."	"He said, I went to their official, hurried a little, and they put it in my name. They gave her a home, and we went to live together."	"그는 담당자에게 가서 조금 서둘렀고 집을 자기 이름으로 처리했다고 했어. 그녀는 집을 받았고 우리는 함께 살러 갔어."	"B1"	"50"	"housing"	"obtaining_home"	"narrative"	"narration"	"colloquial"	"medium"
"madoran-s6-sentno-0037"	"37"	"dor ma dor lyam. 3ndha zouj khwatha q3 ma3lbalhomch biha. nhar li sm3ou biha jawo yjro ki sm3ou bli dat skna."	"Days went by. She had two siblings who knew nothing about her. When they heard she had received a home, they came running."	"며칠이 지났어. 그녀에게는 자신을 전혀 모르고 지내던 형제자매가 둘 있었어. 그녀가 집을 받았다는 소식을 듣자 달려왔어."	"B2"	"65"	"family_relationships"	"sibling_reunion"	"narrative"	"narration"	"colloquial"	"high"
"madoran-s6-sentno-0038"	"38"	"jawo ytbtabou sksou ytbtabou. qaloulha hna flana? qaloulha hna flana."	"They came knocking and asking whether so-and-so was there. They asked her if she was there."	"그들은 문을 두드리며 그 여자가 여기 있느냐고 물었어. 정말 그 여자가 여기 있느냐고 물었어."	"A2"	"35"	"family_relationships"	"knocking_on_door"	"conversation"	"question"	"colloquial"	"medium"
"madoran-s6-sentno-0039"	"39"	"howa ki chafhom galhom chkoun? 7na khwatha. gal ana chandir khwatha? ma bghitch n9aed kayn klam binathom. dert telefon boit vocal w khraj."	"When he saw them, he asked who they were. They said they were her siblings. He did not want to stay, so he made a voice recording and went out while they did not know."	"그가 그들을 보고 누구냐고 물었어. 그들은 그녀의 형제자매라고 했어. 그는 남고 싶지 않아 음성 녹음을 해 두고 그들이 모르게 밖으로 나갔어."	"B2"	"70"	"family_relationships"	"family_confrontation"	"narrative"	"narration"	"colloquial"	"high"
"madoran-s6-sentno-0040"	"40"	"ah khwatha 7sbou bli ma kan ta wa7d. s7i ki khraj khrajou."	"They thought nobody was there; when he left, they left too."	"그들은 아무도 없다고 생각했고 그가 나가자 그들도 나갔어."	"A2"	"30"	"family_relationships"	"leaving_home"	"narrative"	"information"	"colloquial"	"medium"
"madoran-s6-sentno-0041"	"41"	"kayn ghi homa w hiya. galoulha choufi skna khwatek ydiwha lak. rdiha 3la smana. chwtnouha w q3dou ygouloulha."	"Only they and her were there. They told her that her siblings would take the home from her and pressured her to put it in their name."	"그곳에는 그들과 그녀만 있었어. 그들은 형제자매가 집을 빼앗을 거라며 자기들 이름으로 돌리라고 계속 압박했어."	"B2"	"70"	"housing"	"property_conflict"	"narrative"	"command"	"colloquial"	"high"
"madoran-s6-sentno-0042"	"42"	"hada dar bik w jabk bl3ani ghir bach ydik skna. jabk w 3tawk skna w drok y7ws ydik skna."	"This man took you in and brought you here deliberately just to take your home. They gave you a home, and now he wants to take it from you."	"이 남자는 집을 빼앗으려고 일부러 너를 데려온 거야. 집을 받았는데 이제 그가 그 집을 빼앗으려 해."	"B2"	"70"	"housing"	"property_conflict"	"narrative"	"description"	"colloquial"	"high"
"madoran-s6-sentno-0043"	"43"	"qaloulha ana n9olk rdi skna 3la smana w khatek chi. 7na nthlaw fik w ma kan 7ta mochkil."	"They told her, Put the home in our name and you will be safe. We will take care of you, and there will be no problem."	"그들은 그녀에게 집을 자기들 이름으로 돌리면 안전하고 자신들이 돌봐 주겠다고 말했어."	"B2"	"65"	"housing"	"property_protection"	"narrative"	"suggestion"	"colloquial"	"high"
"madoran-s6-sentno-0044"	"44"	"aya gali drbt wa7d sa3a wla sa3tin w jit. ki jit dkhelt ya drari kirmakom ghaya labas?"	"He said, I was away for an hour or two. When I came back in, I asked how everyone was and whether everything was okay."	"그는 한두 시간 나갔다가 돌아와서 여러분 잘 지냈냐고, 다 괜찮냐고 물었다고 했어."	"A2"	"35"	"daily_life"	"returning_home"	"conversation"	"greeting"	"colloquial"	"low"
"madoran-s6-sentno-0045"	"45"	"labas 7md allah. qlt lhom bghit nsm3 hdra ch hdrtou. sjlha. aya nodou kharjou w ma tjiwch had dar."	"I'm fine, thank God. I made a voice recording and told them to leave and not come back to this house."	"나는 괜찮아, 신께 감사해. 나는 녹음한 말을 듣고 싶다고 했어. 다 녹음하고 일어나서 나가며 이 집에 다시 오지 말라고 했어."	"B2"	"70"	"family_relationships"	"recording_conversation"	"narrative"	"command"	"colloquial"	"high"
"madoran-s6-sentno-0046"	"46"	"3tawha q3dt ana w chbaniya. qatlni ha wlidi ma kaynch rajel kifk. 3lik dwa khir w wld familia."	"They gave it to her, and she and I sat together. She told me there was no man like me in this world, that I deserved good prayers, and that I was a family man."	"그들은 그것을 그녀에게 주었고 그녀와 나는 함께 앉았어. 그녀는 이 세상에 너 같은 남자는 없다며 너는 좋은 기도를 받을 사람이고 가정적인 사람이라고 했어."	"B2"	"65"	"family_relationships"	"gratitude"	"narrative"	"thanks"	"colloquial"	"high"
"madoran-s6-sentno-0047"	"47"	"w skna mzya drtha 3la smk. khater kon drtha 3la smi kanou hadou ydirou chhal bal w ydiwha. ya sb7an allah."	"The home is good because I put it in your name. If I had put it in mine, those people would have done all sorts of things and taken it from you. Glory be to God."	"집을 네 이름으로 한 건 잘한 일이야. 내 이름으로 했다면 저 사람들이 온갖 수를 써서 집을 빼앗았을 거야. 신이 찬미받으소서."	"B2"	"60"	"housing"	"property_protection"	"narrative"	"information"	"colloquial"	"high"
"madoran-s6-sentno-0048"	"48"	"wah aya gali fr7t w 3liha rht. tlaqit bent familia w tzwjt. rah 3ndi mra w bent w 7md allah."	"Yes, I was happy, and then I left. I met a good-family girl, got married, and now I have a wife and a daughter, praise God."	"그래, 나는 기뻤고 그 뒤에 떠났어. 좋은 집안의 여자를 만나 결혼했고 지금은 아내와 딸이 있어. 신께 감사해."	"A2"	"35"	"family_relationships"	"marriage"	"narrative"	"information"	"colloquial"	"low"
"madoran-s6-sentno-0049"	"49"	"w hiya mazal raha 3aycha m3ah? w hiya mazal 3aycha m3aya w rani mthli fiha w ma khas-ha walo."	"Is she still living with him? She is still living with me. I take good care of her, and she lacks nothing."	"그녀는 아직 그와 살고 있어? 그녀는 아직 나와 살고 있고 나는 잘 돌보고 있어서 부족한 것이 없어."	"A2"	"38"	"family_relationships"	"caring_for_elder"	"conversation"	"question"	"colloquial"	"medium"
"madoran-s6-sentno-0050"	"50"	"ya sb7an allah l9odra ki dayra. qltlha wallah choufi dirha zina tl9aha zina w hada rbi rah li ysir fiha."	"Glory be to God, how wonderful is destiny. I told her, By God, make it good and you will find it good; God is the one guiding it."	"신이 찬미받으소서, 운명이란 참 놀라워. 내가 그녀에게 잘하면 좋은 것을 얻게 되고, 이 모든 일을 이끄는 분은 신이라고 했어."	"B1"	"50"	"religion"	"fate"	"conversation"	"opinion"	"colloquial"	"high"
"madoran-s6-sentno-0051"	"51"	"aya 3liha ana b3t loto w qltlha tb9a 3la khir. gali mskin bon min b3tha arja arja bach tkhrj. arja dok n7lk triq."	"So I sold the car and said goodbye. He told me to wait so I could get out, and said he would clear the way for me."	"그래서 차를 팔고 잘 지내라고 작별 인사를 했어. 그는 내가 나갈 수 있게 기다리라고 하며 길을 열어 주겠다고 했어."	"A2"	"30"	"transport"	"selling_car"	"conversation"	"thanks"	"colloquial"	"medium"
"madoran-s6-sentno-0052"	"52"	"gal l wa7din 7ambouk w kharjou. kharjou. hada rah ba3 loto bgha ykhrj."	"He told two people to move aside because this man had sold his car and wanted to leave."	"그는 두 사람에게 비키라고 했어. 이 사람이 차를 팔았고 나가려고 한다고 했어."	"A2"	"25"	"transport"	"clearing_road"	"conversation"	"command"	"colloquial"	"low"
"madoran-s6-sentno-0053"	"53"	"khaters kanet 3ad 11, khaters 7ta 12 ykumnos ykhrjou."	"Because it was only eleven; even at twelve they start leaving."	"아직 열한 시였거든. 열두 시가 되어야 사람들이 나가기 시작해."	"A2"	"25"	"transport"	"departure_time"	"conversation"	"information"	"colloquial"	"medium"
"madoran-s6-sentno-0054"	"54"	"mskin allah ykthr khirou w khla zouj lwata dli triq."	"Poor man, may God increase his good fortune; he left two vehicles aside so I could pass."	"그 사람 참 고마워. 신이 그의 복을 더해 주시길. 그는 내가 지나가도록 차 두 대를 비켜 두었어."	"A2"	"30"	"transport"	"traffic"	"narrative"	"thanks"	"colloquial"	"low"
"madoran-s6-sentno-0055"	"55"	"qdbt triq 11.30 jit kharj mn souq tlaqit bhadou li ybi3ou dla3 w btikh. chrit 7ba dla3 w jit l7qt 12.30."	"I took the road at 11:30. On the way out of the market I met people selling watermelons and melons, bought a watermelon, and arrived at 12:30."	"11시 30분에 길을 나섰어. 시장을 나오다가 수박과 멜론을 파는 사람들을 만나 수박 하나를 사고 12시 30분에 도착했어."	"B1"	"50"	"food"	"buying_watermelon"	"narrative"	"narration"	"colloquial"	"medium"
"madoran-s6-sentno-0056"	"56"	"bsah sb7an allah istghrab ki dayra."	"But, glory be to God, how strange it is."	"그런데 신이 찬미받으소서, 참 이상하네."	"B1"	"45"	"daily_life"	"surprise"	"conversation"	"exclamation"	"colloquial"	"high"
"madoran-s6-sentno-0057"	"57"	"ki kna sghar kna nchoufo sindrila tkhrej nss lil, captain majid yzrti mn l9raya bah yl3b match, w robin hood khayin. ntfrjou tarzan dayman 3ryan w l'amira nayma khas-ha slma bach tnod."	"When we were young, we watched Cinderella come out at midnight, Captain Majid sneak out of school to play a match, and Robin Hood as a thief. We watched Tarzan always naked and a sleeping princess who needed a slap to wake up, and they tell you we grew up messed up."	"어릴 때 우리는 신데렐라가 한밤중에 나오는 것, 축구를 하려고 학교를 빠져나오는 캡틴 마지드, 도둑인 로빈 후드를 봤어. 늘 벌거벗은 타잔과 잠에서 깨려면 한 대 맞아야 하는 공주도 봤지. 그러고는 우리가 엉망으로 자랐다고들 해."	"B2"	"65"	"entertainment_music"	"childhood_cartoon"	"narrative"	"opinion"	"colloquial"	"high"
"madoran-s6-sentno-0058"	"58"	"wa7d khatra couple kan flb7ar. gal lkhtibto t3rfi l9mar ch7al b3id? qtlteh wah. galha ri7t kr3ik raha wasla ltem."	"Once a couple were at the beach. He asked his fiancée whether she knew how far the moon was. She said yes. He told her the smell of her feet reached there."	"한번은 연인이 바닷가에 있었어. 그는 약혼녀에게 달이 얼마나 먼지 아느냐고 물었어. 그녀가 안다고 하자 발 냄새가 거기까지 간다고 했어."	"B1"	"50"	"humor"	"beach_joke"	"joke"	"exclamation"	"colloquial"	"high"
"madoran-s6-sentno-0059"	"59"	"galek wa7d nhar wa7d 7ayest labs kostima four w kharj ytmcha. dar fiha garou nssim fatet wa7da chaba. drq garou f jib w howa ch3al. ch3let fih nar. jat 3ndou qtlteh khouya rak tch3l."	"Once an unemployed man put on a suit and went out for a walk. He had a cigarette, and when a very beautiful young woman passed, he hid the lit cigarette in his pocket and caught fire. She came over and said, Brother, you are burning."	"어느 날 한 백수가 정장을 입고 산책을 나갔어. 담배를 피우고 있었는데 아주 예쁜 여자가 지나가자 불붙은 담배를 주머니에 숨겼고 불이 붙었어. 그녀가 와서 오빠, 불타고 있네요라고 했어."	"B2"	"70"	"humor"	"flirtation"	"joke"	"warning"	"slang"	"high"
"madoran-s6-sentno-0060"	"60"	"galha khok dayman ych3l? 7sb qtlteh rak tch3l bzin."	"He told her, Does your brother always light up? She asked how, and he said, You are on fire with beauty."	"그는 네 오빠는 늘 불을 켜고 있느냐고 물었어. 그녀가 무슨 뜻이냐고 하자 그는 네 미모에 불타고 있다고 했어."	"B1"	"50"	"humor"	"compliment"	"joke"	"opinion"	"slang"	"medium"
