Token,Frequency
تسما,20
بغيت,20
3,20
شوفي,20
مرحبا,20
صاحبي,20
قاتلي,20
تروح,19
جا,19
كلمة,19
جات,19
لله,19
ديجا,19
قالك,19
هوما,19
كلشي,19
لك,19
غدوة,19
مازال,19
قبل,19
فيا,19
يوم,18
تبغي,18
ني,18
قاتله,18
بنت,18
بكري,18
قالها,18
مسكينة,18
نص,17
فيلا,17
طريق,17
نجي,17
ابري,17
مسكين,17
هواري,17
بيها,17
2,17
ليق,17
تاعه,17
غايا,17
ماما,16
مرا,16
دو,16
مهم,16
لولا,16
حزيم,16
ملايين,16
حيا,16
برا,16
:,16
جاي,16
نبغي,16
نديرو,16
جامعة,15
ديك,15
تاعنا,15
جاية,15
هاديك,15
عندنا,15
تشوف,15
وي,15
تقول,15
ولد,15
فوق,15
راسك,15
لوكان,15
الخير,15
خدمة,15
قهوة,15
معاهم,15
كانو,15
حبة,15
تهدر,15
رايحة,15
4,15
فمك,15
باغية,14
مالك,14
نشوف,14
أونقلي,14
مدام,14
راكم,14
خليني,14
ياه,14
علينا,14
يدي,14
مليحة,14
شويا,14
شاف,14
قتلك,14
قعدت,14
دايمن,13
خوك,13
تتزوج,13
اي,13
قالو,13
شي,13
بابا,13
@@Lاط@@ذ,13
بلا,13
لوطو,13
قالهم,13
مام,13
دي,13
نورمال,13
سلعة,13
دايرة,13
دارنا,13
لدار,13
قال,13
منا,13
كيفاه,13
ب,13
يقول,13
جماعة,13
داير,13
فيهم,13
اون,13
زيد,12
راجل,12
خاطر,12
ساعة,12
شفت,12
نروحو,12
يقولو,12
له,12
سيدي,12
مليون,12
مالكي,12
يقولها,12
قعد,12
رجال,12
زواج,12
شيرة,12
علابالي,12
تاعهم,12
10,12
تخدم,12
دعوة,12
معاها,12
بلاك,12
روحه,12
بوك,12
زين,12
شباب,12
حق,12
معاكم,12
يبغي,11
(,11
خدام,11
نشوفو,11
اف,11
حلال,11
درت,11
تعرفي,11
ريحة,11
شيخ,11
مليح,11
رحت,11
داك,11
قبيلة,11
ورقة,11
قول,11
يروح,11
تاكل,11
جاو,11
با,11
مي,11
كبير,11
معنديش,11
دوصيي,11
معانا,11
تعرف,11
لحم,11
تاعها,10
ياك,10
جمال,10
لاباس,10
قتله,10
نموت,10
قناة,10
هنايا,10
مدينة,10
نولي,10
يدير,10
راح,10
داخل,10
هادوا,10
بيكم,10
وحدها,10
لقيت,10
قليل,10
تلقاهم,10
قتلها,10
فات,10
نتزوج,10
دخل,10
نعطيك,10
صغيرة,10
عايش,10
نعم,10
تزيد,10
قلبي,10
فاتك,10
وهرانية,10
براس,10
راسي,10
شهر,10
نقول,10
الليل,10
كرية,10
صغار,10
نسقسيك,10
تخرج,10
ماكنش,9
بلع,9
نفهمك,9
مك,9
دونك,9
وحدين,9
طلع,9
صرا,9
باع,9
كيراك,9
قالولي,9
منها,9
خرجت,9
جديد,9
ولات,9
شعب,9
كلش,9
لكم,9
ياكل,9
شيرات,9
سيد,9
تفضل,9
فوهران,9
ماكلة,9
لوهران,9
بيان,9
وجه,9
مغرف,9
شاه,9
يعرف,9
باب,9
تالية,9
فرونسي,9
نزيد,9
تلقى,9
تحت,9
صوالح,9
عرس,9
مول,9
بلاصة,9
نخدم,9
كنا,9
كيف,9
بارح,8
اسكت,8
يا ا,8
6,8
تكري,8
يقولوا,8
هيا,8
غاشي,8
بون,8
عبد,8
ولي,8
مساكين,8
ا,8
قضية,8
عليهم,8
دكتور,8
تشوفي,8
عريس,8
بلاد,8
بنعمي,8
داها,8
صغير,8
جيب,8
نقعد,8
ادي,8
عشية,8
تقولي,8
الحمد,8
لنا,8
يسلمك,8
دخلوا,8
للبحر,8
كاينة,8
زينو,8
بلعي,8
يهدروا,8
دليلة,8
نخرج,8
مصطفى,8
مكان,8
تما,8
نعرف,8
باغيين,8
سنين,8
جزايري,8
خص,8
بروبلام,8
عندهم,8
سبع,8
دجاج,8
حمار,8
قالوله,8
جايين,8
يقولك,8
تجيب,8
باينة,8
نخاف,8
خالتي,8
حال,8
هود,8
ارواح,8
بيا,8
بزوز,8
بيشة,7
تبيع,7
هارندوا,7
مسلسل,7
50,7
سمحيلي,7
تاعكم,7
سيرتو,7
عاد,7
تبعني,7
وهارنة,7
ليا,7
البنت,7
طعام,7
نلبس,7
بيك,7
دوار,7
يسكن,7
ولاو,7
كلب,7
لازم,7
جزايرية,7
ماه,7
حساب,7
بوه,7
ألف,7
بارك,7
مولخير,7
دورو,7
تلات,7
نقولها,7
وحده,7
),7
وخداخور,7
عبدقا,7
باه,7
نهدرو,7
تدخل,7
ف,7
علي,7
جينا,7
لول,7
عرب,7
ملهيه,7
راجلي,7
تدي,7
ارواحي,7
لرض,7
المهم,7
نار,7
نقارع,7
تليفون,7
القادر,7
غاديش,7
طاح,7
فوته,7
نشاء,7
قولي,7
مداري,7
صح,7
يجو,7
عايشة,7
تقوله,7
ندخل,7
بن,7
يروحوا,7
نسا,7
اسمع,7
صحاب,7
هديك,7
جزاير,7
قالتلها,7
قعدوا,7
ديتها,7
ماكان,7
عارفة,7
كيراكي,6
ليزامريكان,6
يشوف,6
نديها,6
هدر,6
تقد,6
نكونو,6
فدار,6
بعض,6
فتيتة,6
وصل,6
وصلنا,6
5,6
حلوة,6
45,6
قرعة,6
لقا,6
فيكم,6
تو,6
حالة,6
قاطو,6
حاي,6
بوها,6
ليلة,6
كبار,6
دوروا,6
ماء,6
نكملو,6
جابك,6
أي,6
اوك,6
رايح,6
سمحلي,6
مرت,6
احنا,6
قلتلك,6
قارعي,6
فرحت,6
شاشرا,6
لو,6
خمس,6
حاسبة,6
طيب,6
تلاتة,6
زينة,6
ديرها,6
حس,6
النهار,6
خاطرش,6
بالله,6
مرته,6
تبرادي,6
خرج,6
سؤال,6
الجامعة,6
منه,6
اسكتي,6
عكاشة,6
شغل,6
راس,6
دخلت,6
بطاطا,6
ماغديش,6
 ,6
الحرب,6
رمضان,6
حياتك,6
سردينا,6
الواد,6
ملايير,6
تلاقيت,6
شبانية,6
ليزانديان,6
فاهم,6
عارف,6
اسمعي,6
دور,6
بعيد,6
قراية,6
قريب,6
علبالك,6
تحوس,6
لهم,6
شير,6
خصني,6
هاداك,6
روحت,6
ندي,6
ايه,6
للجامعة,6
نوضي,6
دنيا,6
نحكيلكم,6
قلتلها,6
ياضرا,6
نجيبلك,6
فاتت,6
عطيها,6
الهدرة,6
غالية,6
فرحان,6
سبحان,6
بنتك,6
داري,6
نعاود,6
هادوك,6
يقوله,6
جامي,6
دخلو,6
7,6
عيد,6
فليل,6
متقدش,6
عمره,6
بيهم,6
زمان,5
الحال,5
امان,5
نورمالمون,5
محمد,5
ممثلين,5
تالي,5
فينا,5
حنايا,5
هايا,5
نحبس,5
اذا,5
مزية,5
درتها,5
خاطش,5
تروحي,5
رخس,5
راحت,5
أرواحي,5
يحفظ,5
الناس,5
لمك,5
ريح,5
واحدة,5
كلاب,5
بروحك,5
عايشين,5
مهبول,5
صاي,5
ليل,5
بدا,5
شت,5
جمعية,5
بز,5
مفتاح,5
يدخل,5
مرتك,5
نديروا,5
اليوم,5
جوارين,5
فور,5
هه,5
طماطيس,5
وحدي,5
شفتني,5
معنتها,5
بنات,5
حي,5
كيفكيف,5
جيبيلي,5
ناضت,5
كبرت,5
نعيش,5
دم,5
صحيت,5
روحها,5
تكوني,5
فاميليا,5
نزيدو,5
نولو,5
فهمتني,5
كلام,5
بولبو,5
خيما,5
يدك,5
عباد,5
علام,5
بيبي,5
ربع,5
نخلطو,5
شوي,5
فالدار,5
حتي,5
تلقاه,5
ماتش,5
فيديو,5
لهجة,5
مالها,5
مادم,5
تمشي,5
يدخلو,5
زيروا,5
خلينا,5
نحكي,5
الياس,5
كتر,5
جو,5
دايرين,5
ملاح,5
ليام,5
رانيش,5
نقعدو,5
قسبر,5
قليلة,5
عيدان,5
طابلة,5
دومينو,5
دقايق,5
علبالي,5
قدام,5
تلقاها,5
يلعب,5
حانوت,5
شحال,5
عاود,5
نجيب,5
يدوها,5
جبت,5
نقولكم,5
باغيني,5
تقرى,5
هات,5
قتلهم,5
مفاتيح,5
دقيقة,5
حياتي,5
معسكري,5
نقولو,5
يخرج,5
قور,5
لافامي,5
بشوية,5
وما,5
أرض,5
تماك,5
كنتي,5
جلابة,5
صاحبه,5
فطور,5
أيام,5
يحوس,5
لتاي,5
يهدر,5
وخدوخرا,5
مور,5
نقرا,5
بو,5
سليمة,5
بغا,5
نقيس,5
حقه,5
عمي,5
هاكي,5
خاطرك,5
توفيق,5
راسه,5
خطاش,5
40,5
بوكو,5
ودي,5
نطلع,5
شاولا,5
يحفظك,5
نعطيكم,5
حميد,5
تاعش,5
كيلو,5
عود,5
حتا,5
كحلة,5
عيط,5
قدامك,5
مرقة,5
جهة,5
يكري,5
يخلص,5
ميرسي,5
خلي,5
نكمل,5
حد,5
تقبل,5
يبارك,5
قش,5
غالي,5
بعضهم,5
يظلوا,5
كوارا,5
هدي,5
الطريق,5
حكاية,5
أأي,4
شاب,4
واجدة,4
نتايا,4
كرعين,4
لالجيري,4
أنيا,4
دخلنا,4
دخلوها,4
عينيا,4
تحسب,4
مهبولة,4
فجزاير,4
تقعد,4
ولادك,4
نشرو,4
جميع,4
عطاوك,4
سبنيول,4
يافي,4
خدم,4
يكدب,4
حل,4
نكري,4
حياتنا,4
يخرجوا,4
لواطا,4
نجم,4
سمع,4
يشوفنا,4
نظام,4
شد,4
راجلك,4
جال,4
روطار,4
شوفلي,4
يديرو,4
صرالها,4
قبلت,4
طلقني,4
ولادهم,4
نطلب,4
رافد,4
بدات,4
تزقي,4
بنتكم,4
لافي,4
شروط,4
وليتي,4
حرام,4
خرجي,4
تفوا,4
راهش,4
قدرة,4
تعيش,4
مبغاوش,4
لمن,4
نوضيه,4
كريم,4
فتليفون,4
شيباني,4
يرحمه,4
تسقسيه,4
تتمشى,4
منديرش,4
تولي,4
سما,4
فايت,4
يدور,4
معرفتش,4
علابالك,4
تلحق,4
ميقدش,4
تديها,4
يدها,4
توجوغ,4
وجهي,4
معندهاش,4
عطاوها,4
قروب,4
قلتي,4
الف,4
خمسمية,4
ألجي,4
لألجي,4
ملف,4
معلبليش,4
لباس,4
بصحتك,4
نفس,4
نوع,4
بمعنى,4
هدري,4
بعدا,4
شكارة,4
بنادم,4
بسم,4
ديركت,4
وليدي,4
كملت,4
فيس,4
عادي,4
فلي,4
لابورس,4
دفعته,4
تعرفوا,4
قاعدة,4
راحتلي,4
غدوا,4
براهيم,4
عيان,4
زيت,4
ثوم,4
كروطة,4
وزين,4
الشيطان,4
حمير,4
صيادة,4
فارية,4
مرزاق,4
خته,4
يعاود,4
بغيتي,4
مني,4
نتفاهموا,4
قدامي,4
فلواد,4
كولي,4
طالع,4
واقفة,4
وليت,4
نخمم,4
فايدة,4
نقد,4
بنة,4
ملح,4
معسكر,4
ليزبيس,4
داروها,4
اسمي,4
للدار,4
بها,4
فلعين,4
هاه,4
لياه,4
مرايا,4
تهدري,4
عندكم,4
تشوفو,4
خضرا,4
يلعبو,4
بنينة,4
تفوت,4
عمك,4
يديك,4
جبتلك,4
بنيادم,4
ندخلو,4
1,4
بداو,4
حامي,4
تقيلة,4
نديروها,4
طاجين,4
نقي,4
كلمار,4
بغاو,4
ارفد,4
تخونوا,4
ليقلك,4
لفت,4
فوتها,4
فاتحة,4
عروسة,4
باين,4
عرفت,4
يبدا,4
ساهل,4
انت,4
رجع,4
دبر,4
او,4
لكحل,4
بلوطو,4
ايام,4
روز,4
صحيتي,4
توعنا,4
يتمشى,4
دارها,4
يقولوها,4
قلب,4
فمها,4
صاحبك,4
خوه,4
يزيد,4
نطير,4
كوبوي,4
نحكوا,4
القط,4
قالولها,4
الباب,4
واد,4
بحر,4
ساردينا,4
جيبلي,4
بليس,4
كوبل,4
الوهرانية,4
اعطيني,4
نحوس,4
باي,4
عين,4
يعجبك,4
ز,4
نزقي,4
يخليك,4
حمود,4
باطل,4
ستغلي,4
موضوع,4
خارج,4
خمسة,4
خطرات,4
تبان,4
عشا,4
يمد,4
تخرجي,4
يبيع,4
اسمحولي,4
يولي,4
راحو,4
والديه,4
تخلص,4
منطولش,4
بالي,4
تاريخ,4
تحكي,4
فيل,4
داورو,4
قعدنا,4
تاوعنا,4
عكلي,4
العرب,4
لسوق,4
خبز,4
بغات,4
يديروا,4
وهراني,4
حسني,4
كيراكم,4
كرا,4
سليم,4
منهم,4
هاي,4
كملنا,4
نجاح,4
قلتلهم,4
فو,4
ميمتي,4
غولة,4
نتلاقو,4
بيبان,4
قاعد,4
لفرنسا,4
عيطت,4
نيشان,4
قتلكم,4
الى,3
علابيها,3
تدخلي,3
يديه,3
طبق,3
ماميدوا,3
يستر,3
صحبتك,3
شبيبة,3
جزايريين,3
بوراك,3
ورد,3
يرجع,3
صحبة,3
غلمي,3
قو,3
نبدو,3
فحريرة,3
رواح,3
ديروا,3
نحطو,3
حبات,3
خضرة,3
يلعبوا,3
عمر,3
وهايا,3
دزاير,3
قعدو,3
ايوا,3
خوتي,3
يبيعو,3
كروية,3
تغلي,3
ربطة,3
نحطها,3
يباعروا,3
الباراج,3
تسمعي,3
خاصني,3
محاصره,3
تعرفش,3
ليك,3
درسة,3
جدي,3
لاميري,3
درتي,3
كيسان,3
رحبا,3
نجيبو,3
22,3
أودي,3
اسم,3
خطراتش,3
فلفلة,3
واجد,3
حلو,3
قعدي,3
ميت,3
نديرها,3
طيبي,3
قضبي,3
تلت,3
لاصوص,3
خليه,3
خبر,3
طلعنا,3
كاتقوري,3
قلبه,3
براني,3
خفوا,3
معيا,3
اريي,3
النار,3
والله,3
كاميون,3
لمرته,3
لاتاي,3
درنا,3
ديراكت,3
يبغيها,3
مارهش,3
قادر,3
لاكريم,3
بداك,3
مت,3
يقرى,3
فوا,3
حنة,3
ليزاميركان,3
يدوروا,3
يخافوا,3
منعرت,3
دارو,3
حباب,3
يوكلوا,3
تكمل,3
نبغيها,3
يشرب,3
بالضرب,3
سمعي,3
يضل,3
راقد,3
يشوفوا,3
متال,3
قفل,3
يسموا,3
يوقلي,3
عشنا,3
ينشنا,3
جديدة,3
ذهب,3
يفطر,3
فيلم,3
عربي,3
راقدين,3
خلصنا,3
ترونتميل,3
مقبرة,3
نحكيها,3
سروال,3
يعيطولهم,3
لواست,3
يقد,3
خاوية,3
ضربة,3
الما,3
وجهك,3
واش,3
تشعل,3
400,3
تعيط,3
شر,3
ليفغونسي,3
عينك,3
شرع,3
20,3
بات,3
كبش,3
شجرة,3
ولدك,3
طول,3
شركة,3
طيح,3
يجري,3
الراس,3
الحديث,3
جاك,3
لفرونسي,3
اسبانيول,3
يتزوج,3
دارك,3
روحو,3
ضربني,3
امها,3
عسل,3
الدنيا,3
النصارى,3
للمعسكريين,3
30,3
خسارة,3
جاء,3
هرب,3
يد,3
يبقى,3
نشف,3
قالتله,3
جيناكم,3
دخول,3
بيس,3
شوفور,3
موسيقى,3
راي,3
عيب,3
نقص,3
نوصلك,3
طويلة,3
بنان,3
مبقاش,3
فهميني,3
غالب,3
عيني,3
طيري,3
سبور,3
سيمانة,3
الغاشي,3
اللهجة,3
-,3
تحشم,3
مراكش,3
تسقسي,3
خاين,3
ديما,3
تنوض,3
برك,3
عرفتني,3
نعوم,3
تعومي,3
بديت,3
يخلف,3
علابلك,3
خصك,3
الدار,3
واك,3
نشبهولها,3
وحدك,3
نخلص,3
نعاودو,3
لغة,3
بجزايرية,3
ايستواغ,3
عقارب,3
نكون,3
احسن,3
زعفان,3
قافز,3
نوجدوا,3
مادام,3
سامط,3
شوربة,3
مراقي,3
منبغيش,3
زيتون,3
نطيب,3
منعرفش,3
نيفو,3
الصحة,3
بقلاوة,3
مريكان,3
فقناة,3
مليار,3
أحنا,3
قريت,3
رزق,3
تقارعي,3
سوق,3
دلاع,3
شريت,3
جمعة,3
شتي,3
نبدل,3
خصنا,3
لهيه,3
منهدروش,3
نقابل,3
رفدتها,3
تسكني,3
ألوغ,3
يبغو,3
تصور,3
دولة,3
قعدة,3
ديرو,3
مزيا,3
مو,3
سلكني,3
لقاه,3
ارجى,3
تديه,3
بالسلامه,3
اييه,3
صافي,3
موا,3
الهزيه,3
لعمرك,3
نسكن,3
هاذي,3
جبتوني,3
ديه,3
يرحم,3
املي,3
يطاوعوا,3
يخدموا,3
يسموه,3
فدوك,3
نحبك,3
حرب,3
ياكلك,3
سوسن,3
الحلا,3
تزوج,3
انتي,3
بنيه,3
احمد,3
200,3
ضد,3
لسان,3
كيفك,3
ديرلك,3
درتو,3
شيبانية,3
عادة,3
نسمع,3
عللى,3
دراع,3
قيرا,3
رواحنا,3
عقلك,3
خطاك,3
امبوسيبل,3
منقدش,3
كامل,3
لافير,3
تعطيه,3
ولاده,3
يعيش,3
عقبة,3
تاوعه,3
حطيته,3
لخرا,3
أبيي,3
كرعيك,3
كياسة,3
بنتها,3
8,3
بروحي,3
25,3
جنيرال,3
فزواج,3
يخمم,3
يدبر,3
ملقيتش,3
فلانة,3
خواتتها,3
حاسب,3
للواد,3
خلادر,3
خف,3
أه,3
هاو,3
تعاير,3
حب,3
نجيك,3
يقيس,3
نستاهل,3
يخدم,3
سمعوا,3
ديله,3
عطيه,3
بسلامة,3
نتفاهم,3
حومة,3
فليتشة,3
لها,3
معمرة,3
لافمي,3
نو,3
يستاهل,3
خبرني,3
نطل,3
تاكلي,3
دخلك,3
قتولي,3
وخدوخرة,3
اسمك,3
هادك,3
وينتا,3
نريح,3
هاهو,3
انعل,3
راكش,3
د,3
ديت,3
تري,3
نسيت,3
رب,3
مغبون,3
طويل,3
سو,3
انسان,3
عرة,3
تا,3
داروا,3
نجيبها,3
التبن,3
ضرب,3
حط,3
جاب,3
أنواع,3
وجهه,3
حقهم,3
يجيب,3
متشدليش,3
نشدلك,3
دوسيي,3
فخر,3
معها,3
صحبتي,3
مالا,3
يزقي,3
طيبلك,3
يسلك,3
جمع,3
يحلم,3
قوله,3
كولا,3
كمل,3
دخلني,3
يحكم,3
استاد,3
لقاو,3
السلام,3
بيع,3
مبروك,3
جايبين,3
قلبك,3
واقيلا,3
تصيد,3
معمر,3
بسيف,3
جيتي,3
صوالحه,3
خالد,3
منك,3
أني,3
قابل,3
دارولي,3
جبتها,3
تشرب,3
تفضلو,3
تخلصوها,3
يعني,3
معندك,3
زوليخة,3
يموت,3
قلعت,3
قلنا,3
نعيط,3
ولده,3
ساكنين,3
ديزولي,3
تفهم,3
اقسم,3
نريمان,3
حسين,3
حبس,3
صبحة,3
بابوش,3
تاكلني,3
هكدا,3
ضياف,3
بيناتنا,3
دراري,3
حضارات,3
مواطن,3
حزب,3
يعرفها,3
ايرجون,3
بورس,3
تبلع,3
خدامة,3
بروجي,3
نيك,3
100,3
لاقي,3
نهود,3
نعاودها,3
خليها,3
تخليها,3
يعطيه,3
قرايتي,3
مدولي,3
مشينة,3
خوها,3
رنا,3
لوزين,3
عمال,3
مها,3
خارجة,3
دارت,3
دج,3
بركي,3
عينين,3
عدنا,3
الحمام,3
مدخلك,2
يوسع,2
زيفطله,2
لولدي,2
حسيت,2
وصفة,2
جبتلكم,2
أاه,2
نبيكي,2
يعشي,2
كيراها,2
ديرولي,2
مدابزة,2
حطني,2
جعت,2
نحكيلك,2
عندكي,2
رسول,2
تراتقي,2
متحشمش,2
دايهم,2
انيا,2
دراهمك,2
كازيرنا,2
خرجنا,2
طاحلي,2
لحق,2
خايفة,2
نقضي,2
هاكك,2
بقري,2
مبغيتش,2
فمي,2
يخدمو,2
صباطي,2
قانون,2
لابوبال,2
قد,2
ولت,2
كارطا,2
افار,2
سوندويش,2
كرانتيكا,2
ممنوع,2
يعاونك,2
شهادة,2
زبي,2
ظلي,2
مراها,2
شومبرا,2
ترقد,2
سوندويتش,2
ديرلي,2
ندريلك,2
به,2
فري,2
شم,2
قالتلهم,2
منزيدش,2
كالمي,2
لافوكا,2
قرار,2
ساهلة,2
تاخد,2
برايي,2
نديهم,2
مدوخنيش,2
مرة,2
دوق,2
الطبيب,2
خيرك,2
امبريمونت,2
مسؤولية,2
تعلم,2
لابوغس,2
للأردن,2
ماستير,2
فوبيي,2
قلاليل,2
خاطيهم,2
عم,2
مالكم,2
جيبي,2
خدمت,2
فقروب,2
يحوسو,2
كيفها,2
كيفكم,2
سامحني,2
خرا,2
طبايع,2
خطبة,2
جزائري,2
أورو,2
مراية,2
مطلوعة,2
مدمر,2
عاقل,2
يجيبلي,2
تهرب,2
قديتش,2
تعرفني,2
نغسل,2
سبيسيال,2
ليزاباج,2
يكحل,2
ميساج,2
معلي,2
تيتو,2
مكلوب,2
عيطي,2
تعطيني,2
ميتصنعش,2
بطاين,2
مديرهاش,2
روبو,2
زهر,2
الدولة,2
شري,2
نوض,2
ندبر,2
تشو,2
عقد,2
ملكطة,2
تخطبني,2
بوالو,2
طرت,2
بفرحة,2
وصلت,2
سوي,2
طولت,2
اسمعني,2
فهمت,2
تليفونك,2
مخلوقة,2
يتبع,2
يرسلوه,2
للسكريتيرة,2
رقم,2
الفرنسي,2
الداكرة,2
بنتهم,2
اله,2
تنقرشي,2
غسلتي,2
ديلك,2
مطلوع,2
صبحية,2
باعهم,2
ناصر,2
مراهش,2
اصلن,2
ترفد,2
دوايان,2
حطيت,2
قالتلي,2
رسلناه,2
بوغ,2
سا,2
اوموان,2
نجيبهالك,2
تبدلي,2
فهدرة,2
تكدب,2
اكيزي,2
تقوليلي,2
ستدعيتك,2
انشا,2
المرحوم,2
جلابتي,2
وخري,2
نسب,2
لشاف,2
نشاور,2
تفضلوا,2
صبع,2
بصنعة,2
تشالي,2
تشوفش,2
نسيتي,2
واقيل,2
يقابله,2
مية,2
متين,2
داروله,2
والوا,2
تعايري,2
تعرفيه,2
مقلق,2
طلعي,2
اوغفوار,2
ريحو,2
فوزارة,2
حقا,2
جوغ,2
لبابا,2
ودروهلي,2
تقعدي,2
ماليك,2
وبويا,2
بريكة,2
نشعل,2
معلابلكش,2
يخطبوا,2
اههم,2
حمام,2
صيدت,2
تعلب,2
يحضروا,2
خايف,2
اقطع,2
حشمان,2
طيارة,2
رايكم,2
اتفقنا,2
رايي,2
يدو,2
حقي,2
استادة,2
هاولا,2
تهبل,2
نتكلو,2
بالاورو,2
لفيلا,2
متعرفش,2
متكطعليش,2
تسمع,2
وياها,2
تجيبش,2
شاري,2
البيع,2
نقارعو,2
بغى,2
ميليقش,2
جون,2
صافا,2
سومة,2
لل,2
بش,2
كوراج,2
الو,2
ممبعد,2
منقدوش,2
بطيمات,2
حالتك,2
امك,2
يجيها,2
الوجه,2
نعطيش,2
العائلة,2
لبلاصتك,2
صشيات,2
مورصويات,2
دراهمه,2
بابيون,2
سونس,2
كورتاج,2
نخلي,2
الصباح,2
لماما,2
أملي,2
ريكتور,2
بشير,2
سلم,2
قله,2
ودرولها,2
نديك,2
موالف,2
حبيبها,2
حبيبتي,2
قليع,2
زايدين,2
كابرين,2
دمر,2
صي,2
غيقالي,2
لبنات,2
كاتيقوري,2
يعرفوها,2
شبر,2
تم,2
سوا,2
نكره,2
يعيطلي,2
مشاكل,2
غيكتور,2
كلاست,2
جري,2
تعاود,2
وسط,2
الكلاب,2
استر,2
وليد,2
وقف,2
رسلنا,2
تحته,2
مبلقة,2
الخبر,2
وصلتني,2
اسمعوا,2
عمرها,2
طلقتو,2
النسا,2
شاندير,2
خضر,2
متشرفين,2
وياه,2
حبا,2
امر,2
سكن,2
غبينة,2
يقلع,2
رسلوه,2
وخداخر,2
دوصيات,2
ديركتريس,2
صوالحك,2
مولا,2
فناس,2
مننساش,2
عرقان,2
السكنة,2
ديلي,2
جانا,2
خاطينا,2
رونديفو,2
جيتك,2
داولك,2
جدك,2
تبعوني,2
فاكتور,2
ينعله,2
يخزيه,2
رقد,2
صاشيات,2
لابستي,2
أمن,2
نكمله,2
عاوديها,2
ليستوما,2
نديلك,2
نندبه,2
لغاية,2
تنقرش,2
بهاد,2
رواحهم,2
بالك,2
محطوطة,2
قوليلي,2
ينوضوا,2
ينوض,2
فاميلتي,2
يدوهالك,2
بي,2
تلق,2
نشوفوا,2
نقضب,2
واح,2
يطلع,2
حقرته,2
اربع,2
قلة,2
دهان,2
أعطيني,2
يامات,2
نمر,2
نصيده,2
داخلها,2
فوتناها,2
رواحكم,2
نتيري,2
اهه,2
مجيت,2
حيط,2
قدامها,2
تزير,2
ولينا,2
كتبهالي,2
حاسة,2
غابة,2
ملك,2
قمجة,2
جريت,2
معلبالهومش,2
كروش,2
جاوني,2
نديلهم,2
دخلي,2
خلانا,2
وزير,2
قلع,2
روحله,2
هودي,2
غسلي,2
بارودي,2
أمانة,2
كرعيا,2
بانتش,2
روحلي,2
يطيح,2
تعقل,2
كومبلي,2
24,2
18,2
حياته,2
عيشة,2
يتزوجو,2
يفوت,2
متتقلقيش,2
خرجتي,2
نده,2
ختك,2
فخاد,2
بوربو,2
مقتلكش,2
يجروا,2
يطبطبوا,2
فلخلا,2
تسكن,2
فلحمام,2
حوست,2
يروحو,2
باغ,2
خلصة,2
توصل,2
غلاصو,2
ج,2
يبني,2
لافونير,2
ضو,2
لحد,2
الان,2
أمور,2
البلاد,2
بوات,2
فوكال,2
فوقها,2
دوسيات,2
عاودت,2
قادة,2
بيقوس,2
الحقيقة,2
قهوك,2
عكرمي,2
حبيبي,2
فروح,2
كبر,2
لعبنا,2
ولدها,2
مساج,2
بلعاني,2
يديلك,2
تبعو,2
كادب,2
كاري,2
صاليغ,2
تمنمية,2
يكملو,2
شفتها,2
فيزا,2
ميتة,2
سينو,2
افونس,2
فشهر,2
معيشة,2
عاجبني,2
كونترا,2
تاكلونا,2
كوزينة,2
نطيبو,2
قضيان,2
يكتر,2
عدد,2
صريح,2
جدا,2
