source_word	latin	ko	en	cefr	topic	note
عليكم	3likom	여러분에게; 여러분 위에	on you (plural)	A1	function	전치사+2인칭 복수 접미사
ديري	diri	해!(여성에게)	do! (to a woman)	A1	verbs	2인칭 여성 명령형
بنتي	benti	내 딸	my daughter	A1	family	1인칭 소유형
معايا	m3aya	나와 함께	with me	A1	function	전치사+1인칭 접미사
دوك	duk	지금	now	A1	time	시간 부사
كاش	kach	어떤; 무엇인가	any; some	A2	function	비특정 표지
كيفاش	kifach	어떻게	how	A1	questions	방법 의문사
سكنة	sokna	집; 거처	home; dwelling	A1	home	주거 명사
كانت	kanet	그녀는 ~였다	she was	A1	verbs	완료형 3인칭 여성
منبعد	menba3d	그 후에	afterwards	A1	time	시간 부사
مانيش	manich	나는 ~이 아니다	I am not	A1	state	1인칭 부정 현재 제시형
هاكا	haka	이렇게	like this	A1	manner	방식 지시어
شوالا	chwala	뭐	what	A1	questions	오랑 코퍼스 의문사형
عنده	3anduh	그에게 있다; 그가 가지고 있다	he has	A1	state	3인칭 남성 소유
نروح	nru7	나는 간다	I go	A1	verbs	미완료 1인칭 단수
بيه	bih	그것으로; 그와 함께	with it; by it	A1	function	전치사+3인칭 남성 접미사
تجي	tji	너는 온다(여성)	you come (feminine)	A1	verbs	미완료 2인칭 여성
قلت	qolt	나는 말했다	I said	A1	verbs	완료형 1인칭 단수
حريرة	7rira	하리라 수프	Harira soup	A1	food	지역 음식
شابة	chaba	예쁜(여성형)	beautiful (feminine)	A1	adjectives	여성 단수형
عندها	3andha	그녀에게 있다; 그녀가 가지고 있다	she has	A1	state	3인칭 여성 소유
أرواح	arwa7	와!	come!	A1	verbs	2인칭 남성 명령형
يكون	ykun	그는 ~이 된다; ~일 것이다	he becomes; he will be	A1	verbs	미완료 3인칭 남성
مرحبا	mar7ba	환영해; 안녕하세요	welcome; hello	A1	greeting	인사말
صاحبي	sa7bi	내 친구	my friend	A1	people	1인칭 소유형
شوفي	chufi	봐!(여성에게)	look! (to a woman)	A1	verbs	2인칭 여성 명령형
جات	jat	그녀가 왔다	she came	A1	verbs	완료형 3인칭 여성
قالك	qalek	그가 네게 말했다	he told you	A1	verbs	3인칭 남성+2인칭 목적어
ديجا	dija	이미	already	A1	time	프랑스어계 부사
تروح	tru7	너는 간다(남성)	you go (masculine)	A1	verbs	미완료 2인칭 남성
لك	lek	너에게; 너를 위해	to you; for you	A1	function	전치사+2인칭 접미사
مسكينة	meskina	불쌍한(여성형)	poor (feminine)	A1	adjectives	여성 단수형
يوم	yum	날; 하루	day	A1	time	시간 명사
بيها	biha	그것으로; 그녀와 함께	with it; with her	A1	function	전치사+3인칭 여성 접미사
تاعه	ta3uh	그의 것	his	A1	function	3인칭 남성 소유 표현
نص	nos	절반	half	A1	quantity	분수 명사
غايا	ghaya	좋은; 아주 좋아	good; very good	A1	adjectives	평가 표현
مسكين	meskin	불쌍한(남성형)	poor (masculine)	A1	adjectives	남성 단수형
نجي	nji	나는 온다	I come	A1	verbs	미완료 1인칭 단수
مهم	mohim	중요한	important	A1	adjectives	평가 형용사
جاي	jay	오는 중인(남성)	coming (masculine)	A1	state	남성 단수 능동분사
نديرو	ndiru	우리는 한다	we do	A1	verbs	미완료 1인칭 복수
جاية	jaya	오는 중인(여성)	coming (feminine)	A1	state	여성 단수 능동분사
معاهم	m3ahom	그들과 함께	with them	A1	function	전치사+3인칭 복수 접미사
فمك	fomek	네 입	your mouth	A1	body	2인칭 소유형
تاعنا	ta3na	우리 것	ours; our	A1	function	1인칭 복수 소유 표현
راسك	rasek	네 머리	your head	A1	body	2인칭 소유형
تهدر	thder	너는 말한다(남성)	you speak (masculine)	A1	verbs	미완료 2인칭 남성
ديك	dik	저것; 그	that	A1	demonstrative	지시사
حبة	7abba	한 개; 낟알	one piece; grain	A1	quantity	개체 단위 명사
تقول	tqul	너는 말한다(남성)	you say (masculine)	A1	verbs	미완료 2인칭 남성
لوكان	lukan	만약	if	A2	function	조건 접속사
هاديك	hadik	저것; 그것	that	A1	demonstrative	여성 지시사
وي	wi	네	yes	A1	greeting	응답 표현
رايحة	ray7a	가는 중인(여성)	going (feminine)	A1	state	여성 단수 능동분사
خليني	khallini	나를 내버려 둬; 내가 ~하게 해줘	leave me; let me	A1	verbs	명령형+1인칭 목적어
قعدت	qe3det	그녀는 앉았다; 머물렀다	she sat; stayed	A1	verbs	완료형 3인칭 여성
علينا	3lina	우리에게; 우리 위에	on us	A1	function	전치사+1인칭 복수 접미사
راكم	rakom	여러분은 ~이다	you are (plural)	A1	state	2인칭 복수 현재 제시형
مليحة	mli7a	좋은; 예쁜(여성형)	good; pretty (feminine)	A1	adjectives	여성 단수형
نشوف	nchuf	나는 본다	I see	A1	verbs	미완료 1인칭 단수
مالك	malek	왜 그래?	what is wrong with you?	A1	questions	상태 질문
يدي	yeddi	내 손	my hand	A1	body	1인칭 소유형
فيهم	fihom	그들 안에; 그들 가운데	in them; among them	A1	function	전치사+3인칭 복수 접미사
سلعة	sel3a	상품; 물건	goods; merchandise	A1	shopping	물품 명사
نورمال	normal	정상적인; 보통의	normal; usual	A1	adjectives	프랑스어 차용형
شي	chi	무언가; 것	something; thing	A1	function	비특정 대명사
دارنا	darna	우리 집	our home	A1	home	1인칭 복수 소유형
قالو	qalu	그들이 말했다	they said	A1	verbs	완료형 3인칭 복수
بلا	bla	~없이	without	A1	function	전치사
جماعة	jma3a	무리; 그룹	group	A1	people	집단 명사
كيفاه	kifah	어떻게	how	A1	questions	방법 의문사
قالهم	qalhom	그가 그들에게 말했다	he told them	A1	verbs	3인칭 남성+3인칭 복수 목적어
خوك	khuk	네 형제	your brother	A1	family	2인칭 소유형
دايمن	daymen	항상	always	A1	time	빈도 부사
له	luh	그에게; 그를 위해	to him; for him	A1	function	전치사+3인칭 남성 접미사
مليون	melyun	백만	million	A1	number	큰 수
زين	zin	아름다움; 좋은 것	beauty; goodness	A2	emotion	추상 명사
روحه	ru7uh	그 자신; 그의 영혼	himself; his soul	A2	people	3인칭 남성 소유형
رجال	rjal	남자들	men	A1	people	복수형
شيرة	chira	소녀	girl	A1	people	오랑 지역 어휘
زواج	zwaj	결혼	marriage	A1	family	추상 명사
يقولو	yqulu	그들은 말한다	they say	A1	verbs	미완료 3인칭 복수
نروحو	nru7u	우리는 간다	we go	A1	verbs	미완료 1인칭 복수
تاعهم	ta3hom	그들의 것	theirs; their	A1	function	3인칭 복수 소유 표현
معاكم	m3akom	여러분과 함께	with you (plural)	A1	function	전치사+2인칭 복수 접미사
زيد	zid	더해!; 더	more; add!	A1	verbs	2인칭 남성 명령형
علابالي	3labali	나는 안다	I know	A1	state	관용적 인지 표현
معاها	m3aha	그녀와 함께	with her	A1	function	전치사+3인칭 여성 접미사
تخدم	tkhdem	너는 일한다(남성)	you work (masculine)	A1	verbs	미완료 2인칭 남성
سيدي	sidi	선생님; 어르신	sir; mister	A1	people	존칭
داك	dak	저것; 그	that	A1	demonstrative	남성 지시사
تعرف	ta3ref	그녀는 안다	she knows	A1	verbs	미완료 3인칭 여성
جاو	jaw	그들이 왔다	they came	A1	verbs	완료형 3인칭 복수
تعرفي	ta3refi	너는 안다(여성)	you know (feminine)	A1	verbs	미완료 2인칭 여성
معانا	m3ana	우리와 함께	with us	A1	function	전치사+1인칭 복수 접미사
يبغي	ybghi	그는 원한다	he wants	A1	verbs	미완료 3인칭 남성
مي	mi	하지만	but	A1	function	프랑스어 차용 접속사
حلال	7lal	할랄의; 허용된	halal; permitted	A1	food	문화·종교 어휘
معنديش	ma3andich	나는 가지고 있지 않다	I do not have	A1	state	1인칭 소유 부정
