id	field	corrected_value	reason
OD-0632	ko	나는 할 수 없다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0632	en	I cannot	영어 문법·시제·인칭 및 의미 교정
OD-0634	ko	나는 너를 위해 잡아 준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0634	en	I hold it for you	영어 문법·시제·인칭 및 의미 교정
OD-0638	ko	나는 그것(여성형)에 대해 이야기한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0638	en	I talk about it (f.)	영어 문법·시제·인칭 및 의미 교정
OD-0639	ko	너(남성 단수)는 모른다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0639	en	you (m.sg.) do not know	영어 문법·시제·인칭 및 의미 교정
OD-0640	ko	그것이 너를 지치게 한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0640	en	it tires you	영어 문법·시제·인칭 및 의미 교정
OD-0641	ko	나는 너에게 청혼한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0641	en	I propose to you	영어 문법·시제·인칭 및 의미 교정
OD-0642	ko	나는 너희를 내버려 둔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0642	en	I leave you (pl.) alone	영어 문법·시제·인칭 및 의미 교정
OD-0643	ko	나는 그것(여성형)을 너에게 가져다준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0643	en	I bring it (f.) to you	영어 문법·시제·인칭 및 의미 교정
OD-0644	ko	너(남성 단수)는 나에게 청혼한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0644	en	you (m.sg.) propose to me	영어 문법·시제·인칭 및 의미 교정
OD-0645	ko	나는 너를 위해 해 준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0645	en	I do it for you	영어 문법·시제·인칭 및 의미 교정
OD-0647	ko	나는 너에게 알려 준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0647	en	I tell you	영어 문법·시제·인칭 및 의미 교정
OD-0648	ko	우리는 할 수 없었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0648	en	we could not	영어 문법·시제·인칭 및 의미 교정
OD-0652	ko	너는 알고 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0652	en	you know	영어 문법·시제·인칭 및 의미 교정
OD-0653	ko	나를 용서해 줘 (남성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0653	en	forgive me (imperative, m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0654	ko	나는 알고 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0654	en	I know	영어 문법·시제·인칭 및 의미 교정
OD-0656	ko	너(여성 단수)는 ~이다/있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0656	en	you (f.sg.) are / will be	영어 문법·시제·인칭 및 의미 교정
OD-0657	ko	너(남성 단수)는 그것(여성형)을 했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0657	en	you (m.sg.) did it (f.)	영어 문법·시제·인칭 및 의미 교정
OD-0660	ko	우리는 계속 머문다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0660	en	we stay / keep on	영어 문법·시제·인칭 및 의미 교정
OD-0662	ko	그들은 계속 머문다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0662	en	they stay / remain	영어 문법·시제·인칭 및 의미 교정
OD-0663	ko	우리는 이야기한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0663	en	we talk / discuss	영어 문법·시제·인칭 및 의미 교정
OD-0666	ko	나는 모른다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0666	en	I do not know	영어 문법·시제·인칭 및 의미 교정
OD-0668	ko	그녀에게 일이 생겼다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0668	en	something happened to her	영어 문법·시제·인칭 및 의미 교정
OD-0669	ko	우리는 만난다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0669	en	we meet	영어 문법·시제·인칭 및 의미 교정
OD-0670	ko	그녀는 그것(여성형)을 했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0670	en	she did it (f.)	영어 문법·시제·인칭 및 의미 교정
OD-0671	ko	너(여성 단수)는 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0671	en	you (f.sg.) speak / talk	영어 문법·시제·인칭 및 의미 교정
OD-0675	ko	나를 용서해 주세요 (복수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0675	en	forgive me (imperative, pl.)	영어 문법·시제·인칭 및 의미 교정
OD-0676	ko	나에게 줘 (남성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0676	en	give me (imperative, m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0677	ko	나는 그것(남성형)을 놓았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0677	en	I put it (m.)	영어 문법·시제·인칭 및 의미 교정
OD-0678	ko	너는 나를 알아보았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0678	en	you recognized me	영어 문법·시제·인칭 및 의미 교정
OD-0679	ko	나를 구해 줘 (남성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0679	en	save me (imperative, m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0680	ko	그는 그를/그것을 찾았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0680	en	he found him/it	영어 문법·시제·인칭 및 의미 교정
OD-0681	ko	너는 알고 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0681	en	you know	영어 문법·시제·인칭 및 의미 교정
OD-0682	ko	너(여성 단수)는 기다린다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0682	en	you (f.sg.) wait	영어 문법·시제·인칭 및 의미 교정
OD-0683	ko	TV 채널에서	자연스러운 한국어 및 형태·접사 해석 교정
OD-0683	en	on a TV channel	영어 문법·시제·인칭 및 의미 교정
OD-0684	ko	우리는 다시 한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0684	en	we do it again	영어 문법·시제·인칭 및 의미 교정
OD-0685	ko	나는 필요하다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0685	en	I need	영어 문법·시제·인칭 및 의미 교정
OD-0686	ko	우리는 시작한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0686	en	we start	영어 문법·시제·인칭 및 의미 교정
OD-0687	ko	너(여성 단수)는 듣는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0687	en	you (f.sg.) hear / listen	영어 문법·시제·인칭 및 의미 교정
OD-0689	ko	그들은 먹인다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0689	en	they feed	영어 문법·시제·인칭 및 의미 교정
OD-0690	ko	그가 나를 때렸다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0690	en	he hit me	영어 문법·시제·인칭 및 의미 교정
OD-0691	ko	너(여성 단수)는 수영한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0691	en	you (f.sg.) swim	영어 문법·시제·인칭 및 의미 교정
OD-0693	ko	무사히; 안녕히	자연스러운 한국어 및 형태·접사 해석 교정
OD-0693	en	safely; goodbye	영어 문법·시제·인칭 및 의미 교정
OD-0694	ko	그들은 따른다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0694	en	they obey / comply	영어 문법·시제·인칭 및 의미 교정
OD-0695	ko	그는/그녀는 너를 위해 해 준다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0695	en	he/she does it for you	영어 문법·시제·인칭 및 의미 교정
OD-0696	ko	나 혼자; 스스로	자연스러운 한국어 및 형태·접사 해석 교정
OD-0696	en	by myself	영어 문법·시제·인칭 및 의미 교정
OD-0697	ko	그에게 해 줘 (남성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0697	en	do it for him (imperative, m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0698	ko	그에게 줘 (남성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0698	en	give it to him (imperative, m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0700	ko	네가 무슨 상관이야?	자연스러운 한국어 및 형태·접사 해석 교정
OD-0700	en	what is it to you? / none of your business	영어 문법·시제·인칭 및 의미 교정
OD-0701	ko	그녀가 너를 위해 요리했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0701	en	she cooked for you	영어 문법·시제·인칭 및 의미 교정
OD-0702	ko	그가 나를 들여보냈다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0702	en	he let me in	영어 문법·시제·인칭 및 의미 교정
OD-0703	ko	네 평생에; 네 목숨을 걸고	자연스러운 한국어 및 형태·접사 해석 교정
OD-0703	en	in your life; by your life	영어 문법·시제·인칭 및 의미 교정
OD-0705	ko	그들은 돌아다닌다/돈다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0705	en	they go around / turn	영어 문법·시제·인칭 및 의미 교정
OD-0706	ko	그들은 두려워한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0706	en	they are afraid	영어 문법·시제·인칭 및 의미 교정
OD-0708	ko	우리는 청혼한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0708	en	we propose marriage	영어 문법·시제·인칭 및 의미 교정
OD-0710	ko	우리는 의지한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0710	en	we rely / trust	영어 문법·시제·인칭 및 의미 교정
OD-0712	ko	내 영혼; 나 자신	자연스러운 한국어 및 형태·접사 해석 교정
OD-0712	en	my soul; myself	영어 문법·시제·인칭 및 의미 교정
OD-0713	ko	네 영혼; 너 자신	자연스러운 한국어 및 형태·접사 해석 교정
OD-0713	en	your soul; yourself	영어 문법·시제·인칭 및 의미 교정
OD-0714	ko	내 삶; 내 사랑	자연스러운 한국어 및 형태·접사 해석 교정
OD-0714	en	my life; my dear	영어 문법·시제·인칭 및 의미 교정
OD-0715	ko	너(여성 단수)는 왜 그래?	자연스러운 한국어 및 형태·접사 해석 교정
OD-0715	en	what is wrong with you? (f.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0716	ko	너(남성 단수)는 어떻게 지내?	자연스러운 한국어 및 형태·접사 해석 교정
OD-0716	en	how are you doing? (m.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0718	ko	무엇	자연스러운 한국어 및 형태·접사 해석 교정
OD-0718	en	what	영어 문법·시제·인칭 및 의미 교정
OD-0719	ko	나는 머문다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0719	en	I stay	영어 문법·시제·인칭 및 의미 교정
OD-0720	ko	바다로; 바다에	자연스러운 한국어 및 형태·접사 해석 교정
OD-0720	en	to the sea; at the sea	영어 문법·시제·인칭 및 의미 교정
OD-0721	ko	나는 무서워한다/걱정한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0721	en	I am afraid / worried	영어 문법·시제·인칭 및 의미 교정
OD-0723	ko	내 이모	자연스러운 한국어 및 형태·접사 해석 교정
OD-0723	en	my maternal aunt	영어 문법·시제·인칭 및 의미 교정
OD-0725	ko	그들은 들어갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0725	en	they entered	영어 문법·시제·인칭 및 의미 교정
OD-0726	ko	나는 기다린다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0726	en	I wait	영어 문법·시제·인칭 및 의미 교정
OD-0729	ko	신이 원하신다면	자연스러운 한국어 및 형태·접사 해석 교정
OD-0729	en	God willing	영어 문법·시제·인칭 및 의미 교정
OD-0730	ko	내 남편	자연스러운 한국어 및 형태·접사 해석 교정
OD-0730	en	my husband	영어 문법·시제·인칭 및 의미 교정
OD-0732	ko	나는 입는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0732	en	I wear	영어 문법·시제·인칭 및 의미 교정
OD-0733	ko	그들은 ~이 되었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0733	en	they became	영어 문법·시제·인칭 및 의미 교정
OD-0735	ko	너(여성 단수)는 어떻게 지내?	자연스러운 한국어 및 형태·접사 해석 교정
OD-0735	en	how are you doing? (f.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0736	ko	그녀는 찾는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0736	en	she looks for	영어 문법·시제·인칭 및 의미 교정
OD-0737	ko	~하지 않을 것이다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0737	en	will not	영어 문법·시제·인칭 및 의미 교정
OD-0739	ko	너(남성 단수)는 할 수 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0739	en	you (m.sg.) can	영어 문법·시제·인칭 및 의미 교정
OD-0741	ko	그의 삶; 평생	자연스러운 한국어 및 형태·접사 해석 교정
OD-0741	en	his life; lifetime	영어 문법·시제·인칭 및 의미 교정
OD-0742	ko	일어나 (여성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0742	en	get up (imperative, f.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0743	ko	그녀는 받아들인다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0743	en	she accepts	영어 문법·시제·인칭 및 의미 교정
OD-0744	ko	그는 나간다/떠난다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0744	en	he goes out / leaves	영어 문법·시제·인칭 및 의미 교정
OD-0745	ko	그 뜻은; 즉	자연스러운 한국어 및 형태·접사 해석 교정
OD-0745	en	it means; that is	영어 문법·시제·인칭 및 의미 교정
OD-0746	ko	그의 친구	자연스러운 한국어 및 형태·접사 해석 교정
OD-0746	en	his friend	영어 문법·시제·인칭 및 의미 교정
OD-0747	ko	나를 원하는	자연스러운 한국어 및 형태·접사 해석 교정
OD-0747	en	wanting me	영어 문법·시제·인칭 및 의미 교정
OD-0748	ko	네 아내	자연스러운 한국어 및 형태·접사 해석 교정
OD-0748	en	your wife	영어 문법·시제·인칭 및 의미 교정
OD-0749	ko	나 혼자	자연스러운 한국어 및 형태·접사 해석 교정
OD-0749	en	alone / by myself	영어 문법·시제·인칭 및 의미 교정
OD-0750	ko	그녀 자신	자연스러운 한국어 및 형태·접사 해석 교정
OD-0750	en	herself	영어 문법·시제·인칭 및 의미 교정
OD-0751	ko	그는 말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0751	en	he speaks / talks	영어 문법·시제·인칭 및 의미 교정
OD-0752	ko	나는 가져온다/데려온다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0752	en	I bring / get	영어 문법·시제·인칭 및 의미 교정
OD-0753	ko	집에서; 집 안에	자연스러운 한국어 및 형태·접사 해석 교정
OD-0753	en	at home / in the house	영어 문법·시제·인칭 및 의미 교정
OD-0754	ko	너(여성 단수)는 ~였다/있었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0754	en	you (f.sg.) were	영어 문법·시제·인칭 및 의미 교정
OD-0755	ko	그는 축복한다/축하한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0755	en	he blesses / congratulates	영어 문법·시제·인칭 및 의미 교정
OD-0756	ko	그는 임대한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0756	en	he rents out	영어 문법·시제·인칭 및 의미 교정
OD-0758	ko	네 마음; 네 기분	자연스러운 한국어 및 형태·접사 해석 교정
OD-0758	en	your mind / feelings	영어 문법·시제·인칭 및 의미 교정
OD-0759	ko	나는 올라간다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0759	en	I go up	영어 문법·시제·인칭 및 의미 교정
OD-0763	ko	그들은 원했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0763	en	they wanted	영어 문법·시제·인칭 및 의미 교정
OD-0764	ko	그들은 시작했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0764	en	they started	영어 문법·시제·인칭 및 의미 교정
OD-0765	ko	괜찮음; 별일 없음	자연스러운 한국어 및 형태·접사 해석 교정
OD-0765	en	fine / no problem	영어 문법·시제·인칭 및 의미 교정
OD-0766	ko	축하해; 잘 써	자연스러운 한국어 및 형태·접사 해석 교정
OD-0766	en	congratulations / enjoy it	영어 문법·시제·인칭 및 의미 교정
OD-0767	ko	그의 누이	자연스러운 한국어 및 형태·접사 해석 교정
OD-0767	en	his sister	영어 문법·시제·인칭 및 의미 교정
OD-0768	ko	그는 더한다/늘어난다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0768	en	he adds / increases	영어 문법·시제·인칭 및 의미 교정
OD-0770	ko	나는 찾는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0770	en	I look for	영어 문법·시제·인칭 및 의미 교정
OD-0771	ko	나는 날아간다/달아난다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0771	en	I fly / run off	영어 문법·시제·인칭 및 의미 교정
OD-0772	ko	그녀는 지나간다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0772	en	she passes	영어 문법·시제·인칭 및 의미 교정
OD-0773	ko	그는 다시 한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0773	en	he does it again	영어 문법·시제·인칭 및 의미 교정
OD-0774	ko	너(여성 단수)는 ~이 되었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0774	en	you (f.sg.) became	영어 문법·시제·인칭 및 의미 교정
OD-0776	ko	그녀는 소리친다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0776	en	she shouts	영어 문법·시제·인칭 및 의미 교정
OD-0777	ko	그녀는 도착한다/따라잡는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0777	en	she reaches / catches up	영어 문법·시제·인칭 및 의미 교정
OD-0778	ko	그녀는 산책한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0778	en	she walks around	영어 문법·시제·인칭 및 의미 교정
OD-0782	ko	나는 할 수 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0782	en	I can	영어 문법·시제·인칭 및 의미 교정
OD-0783	ko	깨끗이 해 (여성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0783	en	clean it (imperative, f.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0784	ko	고마워 (여성에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0784	en	thank you (to a woman)	영어 문법·시제·인칭 및 의미 교정
OD-0785	ko	그는 시작한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0785	en	he starts / begins	영어 문법·시제·인칭 및 의미 교정
OD-0786	ko	네 친구	자연스러운 한국어 및 형태·접사 해석 교정
OD-0786	en	your friend	영어 문법·시제·인칭 및 의미 교정
OD-0787	ko	그의 형제	자연스러운 한국어 및 형태·접사 해석 교정
OD-0787	en	his brother	영어 문법·시제·인칭 및 의미 교정
OD-0788	ko	나는 소리친다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0788	en	I shout	영어 문법·시제·인칭 및 의미 교정
OD-0789	ko	그는 ~이 된다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0789	en	he becomes	영어 문법·시제·인칭 및 의미 교정
OD-0790	ko	그녀가 보인다/드러난다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0790	en	she appears / becomes visible	영어 문법·시제·인칭 및 의미 교정
OD-0791	ko	그녀는 머문다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0791	en	she stays	영어 문법·시제·인칭 및 의미 교정
OD-0792	ko	그는 거짓말한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0792	en	he lies	영어 문법·시제·인칭 및 의미 교정
OD-0794	ko	그의 부모	자연스러운 한국어 및 형태·접사 해석 교정
OD-0794	en	his parents	영어 문법·시제·인칭 및 의미 교정
OD-0796	ko	내 마음; 내 생각	자연스러운 한국어 및 형태·접사 해석 교정
OD-0796	en	my mind / thoughts	영어 문법·시제·인칭 및 의미 교정
OD-0798	ko	너(여성 단수)는 원했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0798	en	you (f.sg.) wanted	영어 문법·시제·인칭 및 의미 교정
OD-0799	ko	그녀는 ~이 된다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0799	en	she becomes	영어 문법·시제·인칭 및 의미 교정
OD-0800	ko	네 남편	자연스러운 한국어 및 형태·접사 해석 교정
OD-0800	en	your husband	영어 문법·시제·인칭 및 의미 교정
OD-0801	ko	나는 요청한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0801	en	I request / ask for	영어 문법·시제·인칭 및 의미 교정
OD-0804	ko	너희는 배신한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0804	en	you (pl.) betray	영어 문법·시제·인칭 및 의미 교정
OD-0806	ko	우리는 지불했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0806	en	we paid	영어 문법·시제·인칭 및 의미 교정
OD-0807	ko	나는 산다/거주한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0807	en	I live / reside	영어 문법·시제·인칭 및 의미 교정
OD-0808	ko	너에게는 없다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0808	en	you do not have	영어 문법·시제·인칭 및 의미 교정
OD-0809	ko	너처럼	자연스러운 한국어 및 형태·접사 해석 교정
OD-0809	en	like you	영어 문법·시제·인칭 및 의미 교정
OD-0810	ko	그의 아내에게	자연스러운 한국어 및 형태·접사 해석 교정
OD-0810	en	to his wife	영어 문법·시제·인칭 및 의미 교정
OD-0811	ko	그들은 머물렀다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0811	en	they stayed	영어 문법·시제·인칭 및 의미 교정
OD-0812	ko	그는 잰다/측정한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0812	en	he measures	영어 문법·시제·인칭 및 의미 교정
OD-0813	ko	우리의 삶	자연스러운 한국어 및 형태·접사 해석 교정
OD-0813	en	our life	영어 문법·시제·인칭 및 의미 교정
OD-0815	ko	그는 결혼한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0815	en	he gets married	영어 문법·시제·인칭 및 의미 교정
OD-0816	ko	그녀는 부끄러워한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0816	en	she is ashamed / embarrassed	영어 문법·시제·인칭 및 의미 교정
OD-0817	ko	너(여성 단수)는 ~이 아니다/없다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0817	en	you (f.sg.) are not	영어 문법·시제·인칭 및 의미 교정
OD-0818	ko	너(남성 단수)는 묻는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0818	en	you (m.sg.) ask / inquire	영어 문법·시제·인칭 및 의미 교정
OD-0819	ko	그는 자비를 베푼다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0819	en	he has mercy	영어 문법·시제·인칭 및 의미 교정
OD-0820	ko	억지로; 강제로	자연스러운 한국어 및 형태·접사 해석 교정
OD-0820	en	by force	영어 문법·시제·인칭 및 의미 교정
OD-0821	ko	그는 통제한다/판단한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0821	en	he controls / judges	영어 문법·시제·인칭 및 의미 교정
OD-0822	ko	그는 빠져나간다/해결한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0822	en	he gets away / manages	영어 문법·시제·인칭 및 의미 교정
OD-0823	ko	나는 받을 만하다	자연스러운 한국어 및 형태·접사 해석 교정
