"frequency"	"source_form"	"diac"	"msa"	"stem"	"proclitic"	"enclitic"	"num"	"gen"	"en_gloss"	"fr_gloss"	"token_id"	"sentence_id"
"31"	"نتيا"	"نتيا"	"أَنْتِ"	"نتيا/PRON"	""	""	"na"	"na"	""	"you_[fem.sg.]"	"2862"	"154"
"30"	"انشاء"	"انشاء"	"إنشَاءَ"	"شاء/PV"	"An/OTHER"	"(null)/PVSUFF_SUBJ:3MS"	"na"	"na"	"want"	"vouloir"	"3161"	"185"
"24"	"حمد"	"حمد"	"حَمْد"	"حمد/NOUN"	""	""	"s"	"m"	"praise"	"merci"	"437"	"26"
"22"	"عمري"	"عمري"	"نَفْسِي"	"عمر/ADJ_QUALIT"	""	"ي/POSS_PRON"	"s"	"m"	"myself"	"moi_même"	"4696"	"250"
"21"	"هكا"	"هكا"	"هَكَذَا"	"هكا/NOUN_ABSTRACT"	""	""	"na"	"na"	"like_this"	"comme_ça"	"2823"	"152"
"20"	"قاتلي"	"قاتلي"	"قالَ"	"قات/PV"	""	"ت/PVSUFF_SUBJ:3FS+ل/PREP+ي/POSS_PRON_1S"	"na"	"na"	"said"	"dire"	"219"	"14"
"19"	"فيا"	"فيا"	"فِي"	"في/PREP"	""	"ا/POSS_PRON"	"na"	"na"	""	"in_me"	"2406"	"116"
"18"	"ني"	"ني"	"لاهذاولاذاك"	"ني/FOREIGN"	""	""	"na"	"na"	"neither_nor"	"ni"	"2674"	"146"
"18"	"قاتله"	"قاتله"	"قالت"	"قا/PV"	""	"ت/PVSUFF_SUBJ:3FS+ل/PREP+ه/POSS_PRON_3MS"	"na"	"na"	""	"said"	"155"	"11"
"18"	"قالها"	"قالها"	"قالَ"	"قال/PV"	""	"(null)/PVSUFF_SUBJ:3MS+ها/PVSUFF_DO:3FS"	"na"	"na"	"said"	"dire"	"152"	"11"
"17"	"ابري"	"ابري"	"بعد,بعدما"	"ابري/FOREIGN"	""	""	"na"	"na"	""	"after"	"1187"	"61"
"17"	"ليق"	"ليق"	"لازِم"	"ليق/NOUN"	""	""	"na"	"na"	"required"	"obliger"	"176"	"12"
"17"	"فيلا"	"فيلا"	"فِيلّا"	"فيلا/FOREIGN"	""	""	"s"	"m"	"villa"	"villa"	"16636"	"775"
"16"	"ملايين"	"ملايين"	"مَلَايِين"	"ملايين/NOUN_NUM"	""	""	"bp"	"m"	"millions"	"millions"	"6373"	"331"
"16"	"حيا"	"حيا"	"الشَيّء"	"حيا/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"thing"	"l'_affaire,_chose"	"1464"	"72"
"16"	"دو"	"دو"	"مِن"	"دو/FOREIGN"	""	""	"na"	"na"	""	"of"	"4778"	"253"
"15"	"كانو"	"كانو"	"كانو"	"كان/PV"	""	"و/PVSUFF_SUBJ:3MP"	"na"	"na"	"was,were"	"était.étaient"	"901"	"47"
"15"	"عندنا"	"عند"	"عِنْد"	"عند/ADV"	""	""	"na"	"na"	"with_us,_at"	"chez_nous"	"4056"	"222"
"15"	"الخير"	"الخير"	"خَيْر"	"خير/NOUN_ABSTRACT"	"Al/DET"	"(null)/CASE_DEF_GEN"	"s"	"m"	""	"good"	"2701"	"147"
"14"	"شويا"	"شويا"	"قَلِيل"	"شويا/NOUN_QUANT"	""	""	"na"	"na"	""	"some,_a_little_bit"	"1405"	"70"
"14"	"شاف"	"شاف"	"رئيس"	"شاف/FOREIGN"	""	""	"s"	"m"	"chief"	"chef"	"629"	"36"
"14"	"مدام"	"مدام"	"مدام"	"مدام/FOREIGN"	""	""	"s"	"f"	"madam"	"madame"	"17890"	"826"
"14"	"أونقلي"	"أونقلي"	"إنْجْليزي"	"أونقلي/FOREIGN"	""	""	"na"	"na"	""	"english"	"25792"	"1169"
"14"	"قتلك"	"قتلك"	"قالَ"	"قت/PV"	""	"ت/PV SUFF_SUBJ :1S+ل/PREP+ك/POSS_PRON"	"na"	"na"	"said"	"dire"	"3283"	"192"
"14"	"ياه"	"ياه"	"مَعَه"	"يا/PREP"	""	"ه/PRON_3MS"	"na"	"na"	""	"with_him"	"49"	"4"
"13"	"اي"	"ايا"	"ثُمَّ"	"ايا/CONJ"	""	""	"na"	"na"	"then,afterwards,next,moreover"	"puis,_après,_ensuite"	"9637"	"442"
"13"	"اون"	"اون"	"فِي"	"اون/FOREIGN"	""	""	"na"	"na"	"in"	"en"	"3484"	"199"
"13"	"منا"	"منا"	"مِنَا"	"من/PREP"	""	"نا/PRON_1P"	"sp"	"m"	"from"	"à_partir_de"	"1391"	"70"
"13"	"دي"	"دي"	"آداةالجَمْع"	"دي/FOREIGN"	""	""	"na"	"na"	""	"des_;x;-s"	"5140"	"268"
"13"	"مام"	"مام"	"لَمَا"	"مام/FOREIGN"	""	""	"na"	"na"	"even"	"même"	"881"	"46"
"13"	"داير"	"داير"	"هَكَذا"	"داير/NOUN_ACTIVE_PART"	""	""	"s"	"m"	"look_like"	"ressembler"	"6418"	"333"
"13"	"لدار"	"لدار"	"دَار"	"دار/NOUN_CONCRETE"	"l/PREP"	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	""	"house;home"	"157"	"11"
"13"	"دايرة"	"دايرة"	"هَكَذا"	"داير/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"how_is_it"	"comment__elle_est"	"1072"	"56"
"12"	"مالكي"	"مالكي"	"مابِك"	"ما/INTERROG_PART"	""	"ل/PREP+كي/POSS_PRON"	"s"	"f"	"What's_your_problem"	"qu'est_ce_que_ta"	"9083"	"422"
"12"	"يقولها"	"يقولها"	"يَقُول"	"قول/IV"	"y/IV3MS"	"(null)/IVSUFF_SUBJ: 3MS +ها/IVSUFF_DO:3FS"	"na"	"na"	""	"said"	"1198"	"61"
"12"	"دعوة"	"دعوة"	"دَعْوَة"	"دعو/NOUN"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	""	"(Islamic)_missionary_work;Da'wah;propaganda"	"227"	"14"
"11"	"قبيلة"	"قبيلة"	"قَبِيلَة"	"قبيل/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"tribe"	"tribu"	"17822"	"822"
"11"	"دوصيي"	"دوصيي"	"مِلَف"	"دوصيي/FOREIGN"	""	""	"na"	"na"	"file"	"dossier"	"4018"	"221"
"11"	"ورقة"	"ورقة"	"وَرَقة"	"ورق/NOUN"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	""	"paper;sheet"	"390"	"24"
"11"	"نشوفو"	"نشوفو"	"نَرَى"	"شوف/IV"	"n/IV1P"	"و/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	""	"see,watch"	"1078"	"57"
"11"	"تاكل"	"تأكل"	"أَكَلُ"	"أكل/IV"	"t/IV3FS"	"(null)/IVSUFF_MOOD:S"	"na"	"na"	"eat,consume"	"manger,consommer"	"429"	"26"
"11"	"رحت"	"رحت"	"راحَ"	"رح/PV"	""	"ت/PVSUFF_SUBJ:1S"	"na"	"na"	"went"	"allé"	"368"	"23"
"11"	"با"	"با"	"لَيْسَ"	"با/FOREIGN"	""	""	"na"	"na"	"not"	"pas"	"5368"	"276"
"11"	"ريحة"	"ريحة"	"رائحة"	"ريح/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"smell"	"odeur"	"1127"	"58"
"11"	"شيخ"	"شيخ"	"شَيْخ"	"شيخ/NOUN_CONCRETE"	""	""	"s"	"m"	"sheikh;chieftain"	"sheikh,_chef_de_clan"	"2528"	"127"
"10"	"الليل"	"الليل"	"لَيْل"	"ليل/NOUN_ABSTRACT"	"Al/DET"	""	"s"	"m"	"night"	"la_nuit"	"1082"	"57"
"10"	"نسقسيك"	"نسقسيك"	"سَأَلَ"	"سقسي/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ك/IVSUFF_DO:2MS"	"na"	"na"	""	"se_renseigner;x;_ask,inquire"	"2798"	"151"
"10"	"بوك"	"بوك"	"أَبُوك"	"بو/NOUN_FIVE"	""	"ك/POSS_PRON"	"s"	"m"	"abu"	"Abu"	"10756"	"544"
"10"	"بيكم"	"بيكم"	"بِكم"	"بي/PREP"	""	"كم/POSS_PRON"	"na"	"na"	"with_you"	"avec_vous"	"7344"	"363"
"10"	"نعطيك"	"نعطيك"	"أَعْطَى"	"عطي/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ك/IVSUFF_DO:2MS"	"na"	"na"	"give,provide"	"donner,fournir"	"3437"	"198"
"10"	"تاعها"	"تاعها"	"لِ"	"تاع/PREP"	""	"ها/POSS_PRON"	"na"	"na"	""	"of"	"4482"	"241"
"10"	"نعم"	"نعم"	"نَعَم"	"نعم/YES_NO_RESP_PART"	""	""	"na"	"na"	"yes"	"oui"	"15253"	"711"
"10"	"نتزوج"	"نتزوج"	"تَزَوَّج"	"تزوج/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	""	"get_married"	"533"	"31"
"10"	"نقول"	"نقول"	"قَال"	"قول/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"say"	"dire"	"11278"	"566"
"10"	"براس"	"براس"	"رَأْس"	"راس/NOUN_CONCRETE"	"b/PREP"	""	"s"	"m"	""	"tête;x;_head"	"3072"	"175"
"10"	"تلقاهم"	"تلقاهم"	"تَجِد"	"لقا/IV"	"t/IV2MS"	"(null)/IVSUFF_SUBJ : 2MS+هم/PVSUFF_DO:3MP"	"na"	"na"	"find"	"trouver"	"6566"	"339"
"10"	"قليل"	"قَليل"	"فَقِير"	"قَليل/ADJ_QUALIT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"poor,destitute"	"pauvre"	"2043"	"95"
"10"	"هادوا"	"هادو"	"أولئك"	"هاد/DEM_PRON"	""	"و/POSS_PRON"	"sp"	"m"	"those"	"ceux"	"21448"	"983"
"10"	"ياك"	"ياك"	"حَقَّا"	"ياك/YES_NO_RESP_PART"	""	""	"s"	"m"	""	"right_?"	"11"	"1"
"10"	"وهرانية"	"وهرانية"	"وَهرَانِيّة"	"وهران/NOUN_RELATIVE"	""	"ي/RELATIVE_YA+ة/NSUFF_FEM_SG"	"s"	"f"	"Oranian"	"oranaise"	"2299"	"107"
"10"	"لقيت"	"لقيت"	"لَقِيَ"	"لقي/PV"	""	"ت/SUFF_FEM_TA"	"na"	"na"	"find"	"trouver"	"3938"	"218"
"10"	"لاباس"	"لاباس"	"لابَأْس"	"لاباس/NOUN_ABSTRACT"	""	""	"na"	"na"	"I'm_okay"	"Je_vais_bien"	"820"	"44"
"10"	"قتله"	"قتله"	"قال"	"قت/PV"	""	"(null)/PVSUFF_SUBJ:1S+ل/PREP+ه/POSS_PRON_3MS"	"na"	"na"	""	"said"	"339"	"22"
"10"	"قتلها"	"قتلها"	"قالَ"	"قت/PV"	""	"ت/PV SUFF_SUBJ :1S+ل/PREP+ها/POSS_PRON"	"na"	"na"	""	"said"	"2085"	"96"
"10"	"كرية"	"كرية"	"الكِرَاء"	"كري/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"rent"	"location"	"13456"	"646"
"10"	"وحدها"	"وحدها"	"وَحْد"	"وحد/NOUN"	""	"(null)/CASE_DEF_NOM+ها/POSS_PRON_3FS"	"s"	"f"	"alone,only"	"seul,seulement"	"207"	"13"
"10"	"نموت"	"نموت"	"أموت"	"موت/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	""	"die"	"883"	"46"
"10"	"فاتك"	"فاتك"	"فاتَ"	"فات/PV"	""	"(null)/PVSUFF_SUBJ:3MS+ك/PVSUFF_DO:2MS"	"na"	"na"	"surpass"	"dépasser"	"9584"	"440"
"10"	"قناة"	"قناة"	"قَناة"	"قنا/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"channel"	"canal"	"5075"	"266"
"10"	"يدير"	"يدير"	"فَعَل"	"دير/IV"	"y/IV3MS"	"(null)/IVSUFF_SUBJ: 3MS"	"na"	"na"	""	"do,conduct"	"1689"	"82"
"10"	"صغيرة"	"صغيرة"	"صَغِيرة"	"صغير/ADJ_QUALIT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"small_young"	"petit__jeune"	"3304"	"193"
"10"	"فات"	"فات"	"فاتَ"	"فات/PV"	""	"(null)/PVSUFF_SUBJ:3MS"	"na"	"na"	""	"expire;go_by;pass_by"	"2144"	"99"
"10"	"عايش"	"عايش"	"عائِش"	"عايش/NOUN_ACTIVE_PART"	""	""	"s"	"m"	"living"	"vivant"	"1387"	"70"
"10"	"صغار"	"صغار"	"صِغَار"	"صغار/ADJ_QUALIT"	""	"(null)/CASE_DEF_GEN"	"bp"	"m"	"children"	"enfants"	"1076"	"57"
"10"	"راسي"	"راسي"	"رَأْس"	"راس/NOUN_CONCRETE"	""	"ي/POSS_PRON"	"s"	"m"	"head"	"tête"	"3138"	"181"
"9"	"عرس"	"عرس"	"عُرْس"	"عرس/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"wedding"	"marriage"	"3192"	"187"
"9"	"ولات"	"ولات"	"صَار"	"ولا/PV"	""	"ت/PV SUFF_SUBJ :3FS"	"na"	"na"	""	"become;begin_to"	"491"	"30"
"9"	"كلش"	"كلش"	"كُلّشَيْء"	"كلش/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	""	"everything,"	"535"	"31"
"9"	"طلع"	"طلع"	"طَلَعَ"	"طلع/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"go_up"	"monter"	"1915"	"90"
"9"	"مك"	"مك"	"أُمّك"	"م/NOUN_CONCRETE"	""	"ك/POSS_PRON"	"s"	"f"	"mother"	"mère"	"20509"	"933"
"9"	"ماكنش"	"ما_كنش"	"ماكان"	"كن/PV"	"mA/NEG_PART"	"ش/NEG_PART"	"na"	"na"	"was,were"	"était,_étaient"	"866"	"46"
"9"	"قالولي"	"قالولي"	"قَال"	"قال/PV"	""	"و/PVSUFF_SUBJ:3MP+ل/PREP+ي/POSS_PRON"	"na"	"na"	"said"	"dire"	"3984"	"220"
"9"	"تلقى"	"تلقى"	"تَجِد"	"تلقى/IV"	""	"(null)/IVSUFF_SUBJ : 2MS"	"na"	"na"	"find"	"trouver"	"9392"	"431"
"9"	"خرجت"	"خرجت"	"خَرَج"	"خرج/PV"	""	"ت/PV SUFF_SUBJ :1S"	"na"	"na"	"go_out"	"sortir"	"719"	"39"
"9"	"شيرات"	"شيرات"	"البَنَات"	"شير/NOUN_ABSTRACT"	""	"ات/NSUFF_FEM_PL"	"s"	"m"	""	"girls"	"2830"	"152"
"9"	"دونك"	"دونك"	"إذن"	"دونك/FOREIGN"	""	""	"na"	"na"	"so"	"donc"	"5295"	"273"
"9"	"وحدين"	"وحدين"	"أَشْخَاص"	"وحد/NOUN"	""	"ين/NSUFF_MASC_PL_GEN"	"sp"	"m"	"some_people"	"certaines_personnes"	"5266"	"273"
"9"	"تفضل"	"تفضل"	"تَفَضَّل"	"تفضل/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"come_in"	"entrez"	"13172"	"637"
"9"	"كيراك"	"كيراك"	"كِيفحَالَك"	"را/PRESENT_PART"	"ky/INTERROG"	"ك/POSS_PRON"	"na"	"na"	"how_are_you-doing?"	"Comment_allez_vous?"	"1482"	"73"
"9"	"منها"	"منها"	"مِن"	"من/PREP"	""	"ها/PRON_3FS"	"na"	"na"	"from"	"de"	"265"	"17"
"9"	"لكم"	"لكم"	"لَكُم"	"ل/PREP"	""	"كم/PRON_2MP"	"na"	"na"	""	"to;for_+_you_[masc.pl.]_(you_have)"	"11078"	"557"
"9"	"نفهمك"	"نفهمك"	"فَهَّمَ"	"فهم/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ك/IVSUFF_DO:2MS"	"na"	"na"	"understand"	"comprendre"	"11891"	"591"
"9"	"مول"	"مول"	"صاحِب"	"مول/NOUN_ABSTRACT"	""	""	"s"	"m"	"owner"	"propriétaire"	"1547"	"75"
"9"	"نزيد"	"نزيد"	"أَضَافَ"	"زيد/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"add"	"ajouter"	"2580"	"135"
"9"	"نخدم"	"نخدم"	"أَعْمَل"	"خدم/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"work"	"travail"	"3010"	"168"
"9"	"بلع"	"بلع"	"اصمت"	"بلع/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"shut_your_mouth"	"ferme_ta_bouche"	"12993"	"633"
"9"	"فرونسي"	"فرونسي"	"فَرِنْسِي"	"فرونسي/FOREIGN"	""	""	"s"	"m"	"French"	"Français"	"1849"	"88"
"9"	"شاه"	"شاه"	"مَاذاهو"	"شا/INTERROG_PART"	""	"ه/POSS_PRON"	"na"	"na"	"what"	"quoi"	"9333"	"428"
"9"	"شعب"	"شعب"	"الشَعْب"	"شعب/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"cp"	"m"	"people,nation"	"peuple"	"1979"	"93"
"9"	"تالية"	"تالية"	"الأخيرة"	"تالي/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG+(null)/CASE_INDEF_(ACC_GEN)"	"s"	"f"	"last"	"le_dernier"	"3438"	"198"
"9"	"بيان"	"بيان"	"جَيِّد"	"بيان/FOREIGN"	""	""	"na"	"na"	"good"	"bien"	"3529"	"202"
"9"	"بلاصة"	"بلاصة"	"مَكَان"	"بلاص/FOREIGN"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"place"	"place"	"6958"	"351"
"8"	"بيا"	"بيا"	"بِي"	"بي/PREP"	""	"ا/POSS_PRON"	"na"	"na"	"with"	"avec"	"13759"	"656"
"8"	"جزايري"	"جزايري"	"جَزائِرِيّ"	"جزاير/NOUN_RELATIVE"	""	"ي/RELATIVE_YA"	"s"	"m"	"Algerian"	"Algérien"	"2474"	"122"
"8"	"بروبلام"	"بروبلام"	"مُشْكِل"	"بروبلام/FOREIGN"	""	""	"na"	"na"	"problem"	"problème"	"3108"	"179"
"8"	"كيف"	"كيف"	"مِثْل"	"كيف/NOUN_ABSTRACT"	""	""	"na"	"na"	"as"	"comme"	"12433"	"612"
"8"	"حال"	"حال"	"حَال"	"حال/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"na"	"na"	""	"day"	"90"	"7"
"8"	"يسلمك"	"يسلمك"	"يُسَلِم"	"سلم/IV"	"y/IV3MS"	"(null)/IVSUFF_SUBJ: 3MS +ك/IVSUFF_DO:2MS"	"na"	"na"	"thank_you"	"remercie"	"2946"	"161"
"8"	"بلعي"	"بلع"	"اصمت"	"بلع/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"shut_your_mouth"	"ferme_ta_bouche"	"19007"	"876"
"8"	"بون"	"بون"	"حسنا"	"بون/FOREIGN"	""	""	"na"	"na"	"well"	"bon"	"993"	"51"
"8"	"كاينة"	"كاينة"	"هُناكَ"	"كاين/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"There_is"	"il_y_a"	"11721"	"585"
"8"	"عريس"	"عريس"	"العَرِيس"	"عريس/NOUN_CONCRETE"	""	""	"s"	"m"	"the_groom"	"le_marié"	"8774"	"414"
"8"	"هيا"	"هيا"	"هِيَ"	"هيا/PRON_3FS"	""	""	"s"	"f"	"it,she"	"il,elle"	"5017"	"263"
"8"	"للبحر"	"للبحر"	"البَحر"	"بحر/NOUN_CONCRETE"	"l/PREP+l/DET"	"(null)/CASE_DEF_GEN"	"s"	"m"	"sea"	"mer"	"1436"	"71"
"8"	"يهدروا"	"يهدروا"	"يَتَكَلَّم"	"هدر/IV"	"y/IV3MP"	"وا/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	"speak"	"parler"	"5414"	"279"
"8"	"نعرف"	"نعرف"	"عَرَفَ"	"عرف/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"sp"	"m"	"know"	"connais"	"11250"	"566"
"8"	"تشوفي"	"تشوفي"	"شَافَ"	"شوف/IV"	"t/IV2FS"	"ي/IVSUFF_SUBJ:2FS"	"na"	"na"	"see"	"voir"	"7785"	"378"
"8"	"سبع"	"سبع"	"الأَسَد"	"سبع/NOUN_CONCRETE"	""	""	"s"	"m"	"lion"	"lion"	"15522"	"722"
"8"	"مكان"	"مكان"	"كَان"	"كان/PV"	"m/NEG_PART"	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	""	"be,was,were"	"799"	"43"
"8"	"بزوز"	"بزوز"	"بَزْر(أطْفَالالصِغَار)"	"بزوز/NOUN_CONCRETE"	""	""	"sp"	"m"	"kids"	"les_enfants"	"7125"	"355"
"8"	"يقولوا"	"يقولوا"	"قالَ"	"قول/IV"	"y/IV3MP"	"وا/IVSUFF_SUBJ:3MP"	"na"	"na"	"say,_tell"	"dire"	"355"	"22"
"8"	"مساكين"	"مساكين"	"مِسْكِين"	"مساك/ADJ_INTENS"	""	"ين/NSUFF_MASC_PL_GEN"	"bp"	"m"	"poor,_miserable"	"pauvre,_misérable"	"8442"	"402"
"8"	"جايين"	"جايين"	"قَادِمِين"	"جاي/NOUN_ACTIVE_PART"	""	"ين/NSUFF_MASC_PL_GEN"	"sp"	"m"	"come"	"venir"	"11112"	"558"
"8"	"باينة"	"باينة"	"وَاضِحَة"	"باين/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"obvious,_clear"	"évidente,_claire"	"2857"	"154"
"8"	"تقولي"	"تقول"	"تَقُول"	"قول/IV"	"t/IV2MS"	"(null)/IVSUFF_SUBJ : 2MS"	"na"	"na"	"say"	"dire"	"3721"	"209"
"8"	"باغيين"	"باغيين"	"رَاغِب"	"باغي/NOUN_ACTIVE_PART"	""	"ين/NSUFF_MASC_PL_ACC"	"sp"	"m"	"want,desire"	"vouloir"	"4411"	"238"
"8"	"يقولك"	"يقولك"	"يَقُوللك"	"قول/IV"	"y/IV3MS"	"(null)/IVSUFF_SUBJ: 3MS +ل/PREP+ك/POSS_PRON"	"na"	"na"	"say,_tell"	"dire"	"1107"	"57"
"8"	"نخاف"	"نخاف"	"أخَاف"	"خاف/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"be_scared,be_worried_(of)"	"avoir_peur,_s'inquiéter_(de)"	"2838"	"152"
"8"	"نخرج"	"نخرج"	"خَرَجَ"	"خرج/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"go_out,_leave"	"sortir,_partir"	"4490"	"242"
"8"	"لنا"	"لنا"	"لِ"	"ل/PREP"	""	"نا/PRON_1P"	"na"	"na"	"to,_for_+_us"	"à,_pour_nous"	"16550"	"771"
"8"	"نقعد"	"نقعد"	"أقعَدُ"	"قعد/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"stay"	"rester"	"707"	"39"
"8"	"بنعمي"	"بنعمي"	"ياإلهي"	"بنعمي/INTERJ"	""	""	"na"	"na"	"god!"	"mon_dieu"	"75"	"6"
"8"	"سنين"	"سنين"	"سِنّ"	"سن/ADJ_QUALIT"	""	"ين/NSUFF_MASC_PL_ACC"	"sp"	"m"	"teeth"	"les_dents"	"1826"	"87"
"8"	"اسكت"	"اسكت"	"اُسْكُت"	"اسكت/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"Shut_up"	"Fermez-la"	"18068"	"833"
"8"	"يا ا"	"يا"	"يَا"	"يا/VOC_PART"	""	""	"na"	"na"	"oh,you"	"Oh,_vous"	"12328"	"609"
"8"	"قالوله"	"قالوله"	"قَالَ"	"قال/PV"	""	"و/PVSUFF_SUBJ:3MP+ل/PREP+ه/PVSUFF_DO:3MS"	"na"	"na"	"said"	"dire"	"172"	"12"
"8"	"خالتي"	"خالتي"	"خَاَلة"	"خال/NOUN_ACTIVE_PART"	""	"ت/NSUFF_FEM_SG+ي/POSS_PRON"	"s"	"f"	"maternal_aunt"	"tante_maternelle"	"5998"	"315"
"8"	"عشية"	"عشية"	"العَشِيَّة"	"عشي/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"evening"	"Soir"	"3610"	"205"
"8"	"ولي"	"ولي"	"اِرْجَع"	"ولي/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"return"	"retourner"	"4900"	"258"
"8"	"خص"	"خص"	"يَحْتَاج"	"خص/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"need"	"avoir_besoin"	"9751"	"459"
"8"	"قضية"	"قضية"	"قَضِيَّة"	"قضي/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG+(null)/CASE_DEF_GEN"	"s"	"f"	"problem"	"problème"	"3265"	"191"
"8"	"عندهم"	"عندهم"	"عِنْد"	"عند/ADV"	""	"هم/POSS_PRON"	"sp"	"m"	"have"	"ont"	"15818"	"737"
"8"	"عليهم"	"عليهم"	"عَلَى"	"علي/PREP"	""	"هم/PRON_3MP"	"na"	"na"	"on_them"	"sur_eux"	"5257"	"272"
"8"	"داها"	"داها"	"أَخَدَ"	"دا/PV"	""	"(null)/PVSUFF_SUBJ:3MS+ها/PVSUFF_DO:3FS"	"na"	"na"	"take"	"prendre"	"163"	"12"
"8"	"دكتور"	"دكتور"	"دُكْتُور"	"دكتور/FOREIGN"	""	"(null)/CASE_DEF_NOM"	"s"	"m"	"doctor"	"docteur"	"9393"	"431"
